name@price@price_after_sell
Dual Berettas | Cartel (Factory New)@11.00@10.78
Dual Berettas | Cobalt Quartz (Factory New)@0.49@0.48019999999999996
Dual Berettas | Cobalt Quartz (Field-Tested)@0.68@0.6664
Dual Berettas | Cobalt Quartz (Minimal Wear)@0.90@0.882
Dual Berettas | Dualing Dragons (Battle-Scarred)@0.44@0.43119999999999997
Dual Berettas | Dualing Dragons (Factory New)@12.00@11.76
Dual Berettas | Dualing Dragons (Field-Tested)@0.60@0.588
Dual Berettas | Dualing Dragons (Minimal Wear)@0.70@0.6859999999999999
Dual Berettas | Dualing Dragons (Well-Worn)@0.42@0.41159999999999997
Dual Berettas | Marina (Factory New)@45.00@44.1
Dual Berettas | Moon in Libra (Factory New)@3.02@2.9596
Dual Berettas | Moon in Libra (Minimal Wear)@7.00@6.859999999999999
Dual Berettas | Panther (Minimal Wear)@1.45@1.421
Dual Berettas | Royal Consorts (Battle-Scarred)@0.78@0.7644
Dual Berettas | Royal Consorts (Field-Tested)@0.39@0.3822
Dual Berettas | Royal Consorts (Well-Worn)@0.80@0.784
Dual Berettas | Stained (Battle-Scarred)@0.10@0.098
Dual Berettas | Stained (Factory New)@1.20@1.176
Dual Berettas | Stained (Field-Tested)@0.28@0.27440000000000003
Dual Berettas | Stained (Minimal Wear)@0.40@0.392
Dual Berettas | Stained (Well-Worn)@0.24@0.2352
Dual Berettas | Urban Shock (Factory New)@2.25@2.205
Dual Berettas | Urban Shock (Minimal Wear)@2.18@2.1364
Dual Berettas | Ventilators (Factory New)@0.70@0.6859999999999999
EMS Katowice 2014 Legends@28946.79@28367.8542
EMS One 2014 Souvenir Package@1112.23@1089.9854
ESL One Cologne 2014 Challengers@70.99@69.5702
ESL One Cologne 2014 Legends@94.64@92.74719999999999
ESL One Cologne 2015 Inferno Souvenir Package@43.00@42.14
ESL One Cologne 2015 Legends (Foil)@25.44@24.9312
Enfu Sticker Capsule@0.90@0.882
FAMAS | Colony (Factory New)@0.18@0.1764
FAMAS | Cyanospatter (Factory New)@8.00@7.84
FAMAS | Cyanospatter (Field-Tested)@0.26@0.2548
FAMAS | Cyanospatter (Minimal Wear)@0.38@0.3724
FAMAS | Mecha Industries (Field-Tested)@3.25@3.185
FAMAS | Mecha Industries (Minimal Wear)@4.78@4.6844
FAMAS | Mecha Industries (Well-Worn)@6.40@6.272
FAMAS | Neural Net (Field-Tested)@0.48@0.4704
FAMAS | Neural Net (Minimal Wear)@1.04@1.0192
FAMAS | Pulse (Factory New)@7.25@7.1049999999999995
FAMAS | Roll Cage (Battle-Scarred)@6.00@5.88
FAMAS | Roll Cage (Field-Tested)@3.43@3.3614
FAMAS | Sergeant (Battle-Scarred)@1.66@1.6267999999999998
FAMAS | Sergeant (Field-Tested)@1.79@1.7542
FAMAS | Sergeant (Minimal Wear)@8.00@7.84
FAMAS | Survivor Z (Factory New)@0.55@0.539
FAMAS | Survivor Z (Field-Tested)@0.13@0.1274
FAMAS | Survivor Z (Minimal Wear)@0.34@0.3332
FAMAS | Survivor Z (Well-Worn)@0.24@0.2352
FAMAS | Teardown (Battle-Scarred)@0.66@0.6468
FAMAS | Teardown (Factory New)@17.00@16.66
FAMAS | Teardown (Field-Tested)@0.42@0.41159999999999997
FAMAS | Teardown (Minimal Wear)@0.90@0.882
FAMAS | Valence (Factory New)@14.00@13.719999999999999
FAMAS | Valence (Field-Tested)@1.62@1.5876000000000001
FAMAS | Valence (Minimal Wear)@3.10@3.038
FAMAS | Valence (Well-Worn)@2.00@1.96
Falchion Case@0.84@0.8231999999999999
Falchion Case Key@11.91@11.6718
Five-SeveN | Candy Apple (Minimal Wear)@144.74@141.8452
Five-SeveN | Case Hardened (Factory New)@23.94@23.4612
Five-SeveN | Case Hardened (Minimal Wear)@13.99@13.7102
Five-SeveN | Copper Galaxy (Factory New)@20.99@20.5702
Five-SeveN | Copper Galaxy (Minimal Wear)@23.00@22.54
Five-SeveN | Fowl Play (Battle-Scarred)@4.30@4.2139999999999995
Five-SeveN | Fowl Play (Factory New)@10.72@10.505600000000001
Five-SeveN | Fowl Play (Minimal Wear)@10.00@9.8
Five-SeveN | Hot Shot (Field-Tested)@2.00@1.96
Five-SeveN | Hot Shot (Minimal Wear)@1.65@1.617
Five-SeveN | Hot Shot (Well-Worn)@2.00@1.96
Five-SeveN | Kami (Factory New)@20.00@19.6
Five-SeveN | Kami (Minimal Wear)@2.00@1.96
Five-SeveN | Monkey Business (Field-Tested)@2.70@2.646
Five-SeveN | Monkey Business (Minimal Wear)@33.00@32.339999999999996
Five-SeveN | Orange Peel (Battle-Scarred)@0.26@0.2548
Five-SeveN | Orange Peel (Factory New)@4.50@4.41
Five-SeveN | Orange Peel (Field-Tested)@0.30@0.294
Five-SeveN | Orange Peel (Minimal Wear)@0.25@0.245
Five-SeveN | Retrobution (Factory New)@3.02@2.9596
Five-SeveN | Retrobution (Field-Tested)@0.75@0.735
Five-SeveN | Retrobution (Minimal Wear)@1.50@1.47
Five-SeveN | Retrobution (Well-Worn)@1.40@1.3719999999999999
Five-SeveN | Scumbria (Factory New)@10.00@9.8
Five-SeveN | Silver Quartz (Factory New)@3.00@2.94
Five-SeveN | Silver Quartz (Field-Tested)@0.73@0.7153999999999999
Five-SeveN | Silver Quartz (Minimal Wear)@2.00@1.96
Five-SeveN | Triumvirate (Field-Tested)@1.45@1.421
Five-SeveN | Urban Hazard (Factory New)@0.89@0.8722
Five-SeveN | Urban Hazard (Minimal Wear)@1.90@1.8619999999999999
Five-SeveN | Violent Daimyo (Factory New)@0.45@0.441
Five-SeveN | Violent Daimyo (Field-Tested)@0.49@0.48019999999999996
Five-SeveN | Violent Daimyo (Minimal Wear)@0.44@0.43119999999999997
G3SG1 | Azure Zebra (Factory New)@1.26@1.2348
G3SG1 | Azure Zebra (Minimal Wear)@1.01@0.9898
G3SG1 | Contractor (Battle-Scarred)@1.50@1.47
G3SG1 | Desert Storm (Factory New)@4.00@3.92
G3SG1 | Green Apple (Factory New)@0.24@0.2352
G3SG1 | Green Apple (Minimal Wear)@0.20@0.196
G3SG1 | Murky (Factory New)@3.00@2.94
G3SG1 | Orange Crash (Factory New)@0.59@0.5781999999999999
G3SG1 | Orange Crash (Minimal Wear)@0.34@0.3332
G3SG1 | Orange Kimono (Battle-Scarred)@1.95@1.911
G3SG1 | Orange Kimono (Field-Tested)@4.00@3.92
G3SG1 | Orange Kimono (Minimal Wear)@5.00@4.9
G3SG1 | Stinger (Factory New)@3.00@2.94
G3SG1 | Stinger (Field-Tested)@0.79@0.7742
G3SG1 | Stinger (Minimal Wear)@0.73@0.7153999999999999
G3SG1 | The Executioner (Minimal Wear)@60.00@58.8
G3SG1 | The Executioner (Well-Worn)@1.07@1.0486
G3SG1 | VariCamo (Battle-Scarred)@0.28@0.27440000000000003
G3SG1 | VariCamo (Factory New)@0.60@0.588
G3SG1 | VariCamo (Field-Tested)@0.12@0.1176
G3SG1 | Ventilator (Factory New)@0.59@0.5781999999999999
Galil AR | Black Sand (Factory New)@4.50@4.41
Galil AR | Black Sand (Field-Tested)@0.20@0.196
Galil AR | Black Sand (Minimal Wear)@0.15@0.147
Galil AR | Blue Titanium (Factory New)@3.80@3.7239999999999998
Galil AR | Cerberus (Field-Tested)@13.37@13.102599999999999
Galil AR | Cerberus (Minimal Wear)@40.00@39.2
Galil AR | Cerberus (Well-Worn)@26.00@25.48
Galil AR | Chatterbox (Field-Tested)@60.00@58.8
Galil AR | Eco (Field-Tested)@4.14@4.0572
Galil AR | Eco (Well-Worn)@2.19@2.1462
Galil AR | Firefight (Battle-Scarred)@0.59@0.5781999999999999
Galil AR | Firefight (Factory New)@1.56@1.5288
Galil AR | Firefight (Field-Tested)@0.35@0.34299999999999997
Galil AR | Firefight (Minimal Wear)@1.60@1.568
Galil AR | Hunting Blind (Well-Worn)@1.44@1.4112
Galil AR | Kami (Factory New)@1.90@1.8619999999999999
Galil AR | Kami (Field-Tested)@1.99@1.9502
Galil AR | Rocket Pop (Battle-Scarred)@0.44@0.43119999999999997
Galil AR | Rocket Pop (Field-Tested)@0.73@0.7153999999999999
Galil AR | Rocket Pop (Minimal Wear)@1.68@1.6463999999999999
Galil AR | Rocket Pop (Well-Worn)@0.32@0.3136
Galil AR | Sandstorm (Field-Tested)@1.90@1.8619999999999999
Galil AR | Stone Cold (Factory New)@9.19@9.0062
Galil AR | Stone Cold (Field-Tested)@1.00@0.98
Galil AR | Stone Cold (Minimal Wear)@2.92@2.8615999999999997
Galil AR | Stone Cold (Well-Worn)@3.00@2.94
Galil AR | Tuxedo (Field-Tested)@0.68@0.6664
Galil AR | Tuxedo (Minimal Wear)@3.00@2.94
Galil AR | VariCamo (Factory New)@0.59@0.5781999999999999
Galil AR | VariCamo (Field-Tested)@0.09@0.0882
Galil AR | VariCamo (Minimal Wear)@0.40@0.392
Gamma 2 Case@1.88@1.8423999999999998
Gamma 2 Case Key@16.71@16.3758
Gamma Case@1.80@1.764
Glock-18 | Blue Fissure (Factory New)@25.00@24.5
Glock-18 | Blue Fissure (Minimal Wear)@1.99@1.9502
Glock-18 | Brass (Factory New)@77.93@76.37140000000001
Glock-18 | Bunsen Burner (Factory New)@8.00@7.84
Glock-18 | Bunsen Burner (Field-Tested)@0.56@0.5488000000000001
Glock-18 | Bunsen Burner (Minimal Wear)@0.51@0.4998
Glock-18 | Candy Apple (Factory New)@1.10@1.078
Glock-18 | Catacombs (Battle-Scarred)@1.08@1.0584
Glock-18 | Catacombs (Factory New)@7.00@6.859999999999999
Glock-18 | Catacombs (Field-Tested)@0.20@0.196
