name@price@price_after_sell
Galil AR | CAUTION! (Factory New)@50.99@49.9702
AUG | Sand Storm (Field-Tested)@50.11@49.1078
MAC-10 | Propaganda (Factory New)@34.99@34.2902
StatTrak™ MP7 | Guerrilla (Field-Tested)@0.45@0.441
StatTrak™ MP7 | Guerrilla (Factory New)@23.00@22.54
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@44.99@44.0902
AUG | Plague (Factory New)@12.00@11.76
Chem-Haz Capitaine | Gendarmerie Nationale@6.82@6.6836
Aspirant | Gendarmerie Nationale@3.00@2.94
Desert Eagle | Ocean Drive (Minimal Wear)@54.99@53.8902
SSG 08 | Spring Twilly (Well-Worn)@0.79@0.7742
Tec-9 | Safety Net (Factory New)@2.00@1.96
M4A1-S | Fizzy POP (Factory New)@1.38@1.3523999999999998
AK-47 | Green Laminate (Factory New)@17.99@17.6302
Lieutenant Rex Krikey | SEAL Frogman@6.99@6.8502
Desert Eagle | Sputnik (Well-Worn)@0.45@0.441
AWP | POP AWP (Minimal Wear)@2.62@2.5676
MP5-SD | Autumn Twilly (Factory New)@14.00@13.719999999999999
Desert Eagle | Fennec Fox (Field-Tested)@399.90@391.902
M4A4 | The Coalition (Minimal Wear)@79.99@78.3902
USP-S | Orange Anolis (Minimal Wear)@89.01@87.2298
★ Huntsman Knife | Gamma Doppler (Factory New) (Phase 1)@424.99@416.4902
Sticker | Fire Serpent Surf K (Foil)@4.00@3.92
Lieutenant 'Tree Hugger' Farlow | SWAT@5.14@5.0371999999999995
StatTrak™ AUG | Plague (Battle-Scarred)@1.30@1.274
Chef d'Escadron Rouchard | Gendarmerie Nationale@9.42@9.2316
M4A1-S | Fizzy POP (Battle-Scarred)@0.49@0.48019999999999996
Officer Jacques Beltram | Gendarmerie Nationale@6.00@5.88
Trapper Aggressor | Guerrilla Warfare@7.99@7.8302000000000005
MAG-7 | BI83 Spectrum (Battle-Scarred)@0.86@0.8428
Sticker | Miami Tier6 (Holo)@33.48@32.810399999999994
AK-47 | Green Laminate (Field-Tested)@10.99@10.7702
AK-47 | Leet Museo (Minimal Wear)@23.05@22.589
StatTrak™ Five-SeveN | Boost Protocol (Minimal Wear)@11.00@10.78
StatTrak™ USP-S | Black Lotus (Well-Worn)@2.36@2.3127999999999997
Trapper | Guerrilla Warfare@8.99@8.8102
Sticker | Watermelon Buttery (Holo)@4.00@3.92
Sticker | Abalone Strafe (Holo)@16.00@15.68
Sticker | Mood Ring Strafe (Holo)@6.90@6.7620000000000005
★ Butterfly Knife | Bright Water (Factory New)@1200.00@1176.0
Jungle Rebel | Elite Crew@3.41@3.3418
Sticker | Lore Poison Frog (Foil)@8.70@8.526
M4A4 | Spider Lily (Factory New)@16.15@15.826999999999998
Nova | Interlock (Minimal Wear)@9.29@9.104199999999999
★ Bowie Knife | Gamma Doppler (Factory New) (Phase 1)@389.99@382.1902
SG 553 | Hazard Pay (Field-Tested)@260.00@254.79999999999998
CZ75-Auto | Syndicate (Battle-Scarred)@4.00@3.92
Patch | Elder God@51.00@49.98
★ Butterfly Knife | Lore (Field-Tested)@2099.99@2057.9901999999997
★ Huntsman Knife | Black Laminate (Field-Tested)@178.20@174.636
★ Huntsman Knife | Black Laminate (Minimal Wear)@190.00@186.2
Desert Eagle | Fennec Fox (Battle-Scarred)@500.00@490.0
Five-SeveN | Fall Hazard (Factory New)@450.00@441.0
★ StatTrak™ Butterfly Knife | Black Laminate (Field-Tested)@1299.99@1273.9902
SG 553 | Hazard Pay (Factory New)@399.99@391.9902
SG 553 | Hazard Pay (Minimal Wear)@370.00@362.59999999999997
Music Kit | bbno$, u mad!@5.00@4.9
StatTrak™ Music Kit | bbno$, u mad!@8.99@8.8102
★ Shadow Daggers | Bright Water (Factory New)@129.99@127.39020000000001
★ StatTrak™ Huntsman Knife | Freehand (Factory New)@199.99@195.99020000000002
★ Huntsman Knife | Freehand (Well-Worn)@146.49@143.5602
Sticker | Renegades (Holo) | Stockholm 2021@2.54@2.4892
Sticker | Sharks Esports | Stockholm 2021@0.22@0.21559999999999999
Sticker | Natus Vincere | Stockholm 2021@0.12@0.1176
Sticker | Movistar Riders | Stockholm 2021@0.25@0.245
Sticker | PGL (Holo) | Stockholm 2021@1.88@1.8423999999999998
Sticker | Entropiq | Stockholm 2021@1.20@1.176
Sticker | GODSENT | Stockholm 2021@0.20@0.196
Sticker | Copenhagen Flames | Stockholm 2021@0.22@0.21559999999999999
Sticker | Tyloo | Stockholm 2021@1.06@1.0388
Sticker | Virtus.Pro | Stockholm 2021@0.39@0.3822
Sticker | paiN Gaming | Stockholm 2021@0.24@0.2352
Sticker | BIG | Stockholm 2021@0.26@0.2548
Sticker | Astralis | Stockholm 2021@0.33@0.3234
Sticker | Heroic | Stockholm 2021@0.12@0.1176
Sticker | Evil Geniuses (Holo) | Stockholm 2021@2.37@2.3226
Sticker | Vitality (Holo) | Stockholm 2021@11.44@11.2112
Sticker | G2 Esports (Holo) | Stockholm 2021@11.04@10.819199999999999
Sticker | Team Spirit | Stockholm 2021@0.46@0.45080000000000003
Sticker | Team Spirit (Holo) | Stockholm 2021@24.00@23.52
Sticker | Natus Vincere (Holo) | Stockholm 2021@4.77@4.6746
Stockholm 2021 Contenders Sticker Capsule@4.50@4.41
Stockholm 2021 Challengers Sticker Capsule@8.06@7.8988000000000005
Stockholm 2021 Legends Sticker Capsule@1.62@1.5876000000000001
Sticker | Team Liquid (Holo) | Stockholm 2021@20.00@19.6
Sticker | Gambit Gaming (Holo) | Stockholm 2021@14.00@13.719999999999999
Sticker | BIG (Holo) | Stockholm 2021@25.00@24.5
Sticker | Movistar Riders (Holo) | Stockholm 2021@45.00@44.1
Sticker | ENCE | Stockholm 2021@0.30@0.294
Sticker | paiN Gaming (Holo) | Stockholm 2021@13.80@13.524000000000001
Sticker | Astralis (Foil) | Stockholm 2021@24.00@23.52
Patch | PGL | Stockholm 2021@0.67@0.6566000000000001
Sticker | Entropiq (Gold) | Stockholm 2021@50.00@49.0
Patch | G2 Esports | Stockholm 2021@10.00@9.8
Stockholm 2021 Challengers Patch Pack@14.99@14.6902
Sticker | Movistar Riders (Foil) | Stockholm 2021@23.00@22.54
Stockholm 2021 Overpass Souvenir Package@5.52@5.409599999999999
Stockholm 2021 Nuke Souvenir Package@3.64@3.5672
Stockholm 2021 Inferno Souvenir Package@4.19@4.1062
★ Shadow Daggers | Black Laminate (Factory New)@170.00@166.6
Souvenir MAC-10 | Strats (Minimal Wear)@0.40@0.392
Souvenir XM1014 | Blue Tire (Field-Tested)@0.24@0.2352
Stockholm 2021 Mirage Souvenir Package@4.00@3.92
Stockholm 2021 Vertigo Souvenir Package@4.97@4.8706
Souvenir MAG-7 | Navy Sheen (Factory New)@0.28@0.27440000000000003
Stockholm 2021 Ancient Souvenir Package@4.42@4.3316
Souvenir FAMAS | CaliCamo (Factory New)@15.00@14.7
Souvenir USP-S | Purple DDPAT (Field-Tested)@25.00@24.5
Souvenir USP-S | Purple DDPAT (Factory New)@9.99@9.7902
Stockholm 2021 Dust II Souvenir Package@10.49@10.2802
Souvenir XM1014 | Blue Tire (Factory New)@0.49@0.48019999999999996
Souvenir Dual Berettas | Oil Change (Minimal Wear)@0.38@0.3724
Souvenir Glock-18 | Red Tire (Minimal Wear)@0.90@0.882
Souvenir Dual Berettas | Oil Change (Factory New)@0.49@0.48019999999999996
Souvenir UMP-45 | Mechanism (Factory New)@15.00@14.7
Souvenir Glock-18 | Red Tire (Field-Tested)@1.00@0.98
Souvenir FAMAS | Faulty Wiring (Field-Tested)@9.90@9.702
Souvenir UMP-45 | Mechanism (Field-Tested)@0.49@0.48019999999999996
Souvenir SSG 08 | Carbon Fiber (Minimal Wear)@15.00@14.7
Souvenir SSG 08 | Carbon Fiber (Factory New)@2.00@1.96
Souvenir MP9 | Music Box (Field-Tested)@0.49@0.48019999999999996
Souvenir P250 | Black & Tan (Factory New)@1.60@1.568
Souvenir AUG | Spalted Wood (Factory New)@0.21@0.20579999999999998
Souvenir Glock-18 | Red Tire (Factory New)@1.40@1.3719999999999999
Souvenir SG 553 | Lush Ruins (Factory New)@0.59@0.5781999999999999
Souvenir P2000 | Panther Camo (Factory New)@0.30@0.294
Souvenir Five-SeveN | Withered Vine (Factory New)@0.59@0.5781999999999999
Souvenir MP9 | Old Roots (Factory New)@0.25@0.245
Souvenir SG 553 | Desert Blossom (Factory New)@0.99@0.9702
Souvenir Nova | Quick Sand (Field-Tested)@0.30@0.294
Souvenir SG 553 | Desert Blossom (Minimal Wear)@0.59@0.5781999999999999
Souvenir P250 | Black & Tan (Field-Tested)@0.30@0.294
Souvenir MP9 | Music Box (Well-Worn)@0.30@0.294
Sticker | s1mple | Stockholm 2021@0.36@0.3528
Sticker | electroNic (Holo) | Stockholm 2021@1.50@1.47
Sticker | NiKo | Stockholm 2021@0.60@0.588
Sticker | cadiaN | Stockholm 2021@0.20@0.196
Sticker | arT | Stockholm 2021@0.26@0.2548
Stockholm 2021 Champions Autograph Capsule@0.75@0.735
Stockholm 2021 Finalists Autograph Capsule@0.99@0.9702
Sticker | s1mple (Holo) | Stockholm 2021@9.00@8.82
Sticker | b1t (Holo) | Stockholm 2021@1.30@1.274
Sticker | Boombl4 (Holo) | Stockholm 2021@1.50@1.47
Sticker | Perfecto (Holo) | Stockholm 2021@1.50@1.47
Sticker | sh1ro (Holo) | Stockholm 2021@4.70@4.606
Sticker | nafany (Holo) | Stockholm 2021@1.60@1.568
Sticker | ZywOo | Stockholm 2021@0.42@0.41159999999999997
Sticker | JACKZ (Holo) | Stockholm 2021@6.00@5.88
Sticker | FL1T (Holo) | Stockholm 2021@0.55@0.539
Sticker | Ax1Le (Holo) | Stockholm 2021@2.25@2.205
StatTrak™ Music Kit | The Verkkars & n0thing, Flashbang Dance@18.00@17.64
Sticker | LNZ (Holo) | Stockholm 2021@3.00@2.94
Sticker | TeSeS (Holo) | Stockholm 2021@1.80@1.764
Sticker | refrezh (Holo) | Stockholm 2021@1.30@1.274
Sticker | HObbit (Holo) | Stockholm 2021@2.00@1.96
Sticker | YEKINDAR (Holo) | Stockholm 2021@1.69@1.6562
Sticker | Plopski (Holo) | Stockholm 2021@1.70@1.666
Sticker | drop (Holo) | Stockholm 2021@3.00@2.94
Sticker | shox (Holo) | Stockholm 2021@1.56@1.5288
Sticker | AMANEK (Holo) | Stockholm 2021@1.78@1.7444
Sticker | buster (Holo) | Stockholm 2021@1.60@1.568
Sticker | sjuush (Holo) | Stockholm 2021@1.30@1.274
Sticker | Boombl4 (Gold) | Stockholm 2021@7.00@6.859999999999999
Music Kit | The Verkkars & n0thing, Flashbang Dance@12.00@11.76
Sticker | stavn (Holo) | Stockholm 2021@3.00@2.94
Sticker | Kyojin (Holo) | Stockholm 2021@1.50@1.47
Sticker | nexa (Holo) | Stockholm 2021@3.00@2.94
Sticker | interz (Holo) | Stockholm 2021@1.70@1.666
Sticker | misutaaa (Holo) | Stockholm 2021@1.50@1.47
Sticker | hampus (Holo) | Stockholm 2021@2.00@1.96
Sticker | yuurih (Holo) | Stockholm 2021@4.00@3.92
Sticker | electroNic (Gold) | Stockholm 2021@19.00@18.62
Souvenir AK-47 | Panthera onca (Field-Tested)@240.00@235.2
Sticker | PAC AI@0.59@0.5781999999999999
Sticker | PTFO (Holo)@0.90@0.882
Sticker | Mr. Chompy@1.00@0.98
Sticker | Ready For Battle (Holo)@1.50@1.47
Sticker | Forty Two@0.59@0.5781999999999999
Sticker | BF 2042@0.56@0.5488000000000001
Sticker | No Pats (Holo)@5.00@4.9
Sticker | Battlefield Portal@0.24@0.2352
Sticker | NiKo (Gold) | Stockholm 2021@79.99@78.3902
Dreams & Nightmares Case@1.00@0.98
SCAR-20 | Poultrygeist (Factory New)@0.59@0.5781999999999999
MP5-SD | Necro Jr. (Factory New)@0.30@0.294
StatTrak™ Sawed-Off | Spirit Board (Battle-Scarred)@0.48@0.4704
MP5-SD | Necro Jr. (Battle-Scarred)@0.20@0.196
StatTrak™ USP-S | Ticket to Hell (Battle-Scarred)@1.28@1.2544
Five-SeveN | Scrawl (Minimal Wear)@0.34@0.3332
USP-S | Ticket to Hell (Battle-Scarred)@0.59@0.5781999999999999
AK-47 | Nightwish (Battle-Scarred)@7.18@7.0363999999999995
XM1014 | Zombie Offensive (Factory New)@3.00@2.94
G3SG1 | Dream Glade (Battle-Scarred)@0.59@0.5781999999999999
Sawed-Off | Spirit Board (Well-Worn)@0.20@0.196
Sawed-Off | Spirit Board (Field-Tested)@0.22@0.21559999999999999
PP-Bizon | Space Cat (Factory New)@1.40@1.3719999999999999
P2000 | Lifted Spirits (Field-Tested)@9.90@9.702
MAC-10 | Ensnared (Minimal Wear)@0.16@0.1568
P2000 | Lifted Spirits (Minimal Wear)@0.38@0.3724
StatTrak™ MAC-10 | Ensnared (Minimal Wear)@0.51@0.4998
USP-S | Ticket to Hell (Field-Tested)@0.79@0.7742
Sawed-Off | Spirit Board (Minimal Wear)@0.38@0.3724
SCAR-20 | Poultrygeist (Minimal Wear)@0.30@0.294
MP9 | Starlight Protector (Field-Tested)@4.45@4.361
G3SG1 | Dream Glade (Well-Worn)@0.68@0.6664
G3SG1 | Dream Glade (Field-Tested)@0.59@0.5781999999999999
StatTrak™ P2000 | Lifted Spirits (Field-Tested)@0.46@0.45080000000000003
M4A1-S | Night Terror (Battle-Scarred)@1.43@1.4014
MAC-10 | Ensnared (Battle-Scarred)@0.20@0.196
Sawed-Off | Spirit Board (Factory New)@0.60@0.588
FAMAS | Rapid Eye Movement (Battle-Scarred)@3.00@2.94
StatTrak™ MP5-SD | Necro Jr. (Battle-Scarred)@0.59@0.5781999999999999
MAC-10 | Ensnared (Factory New)@0.79@0.7742
M4A1-S | Night Terror (Field-Tested)@0.44@0.43119999999999997
Five-SeveN | Scrawl (Battle-Scarred)@9.90@9.702
Sawed-Off | Spirit Board (Battle-Scarred)@9.90@9.702
USP-S | Ticket to Hell (Minimal Wear)@1.22@1.1956
MAG-7 | Foresight (Field-Tested)@0.22@0.21559999999999999
MP5-SD | Necro Jr. (Minimal Wear)@0.34@0.3332
MP7 | Abyssal Apparition (Field-Tested)@4.30@4.2139999999999995
StatTrak™ G3SG1 | Dream Glade (Battle-Scarred)@0.79@0.7742
StatTrak™ MAC-10 | Ensnared (Field-Tested)@0.11@0.10779999999999999
FAMAS | Rapid Eye Movement (Field-Tested)@1.47@1.4405999999999999
StatTrak™ MAC-10 | Ensnared (Battle-Scarred)@0.48@0.4704
XM1014 | Zombie Offensive (Field-Tested)@0.28@0.27440000000000003
PP-Bizon | Space Cat (Field-Tested)@0.59@0.5781999999999999
P2000 | Lifted Spirits (Factory New)@0.78@0.7644
StatTrak™ MAG-7 | Foresight (Field-Tested)@0.46@0.45080000000000003
StatTrak™ SCAR-20 | Poultrygeist (Field-Tested)@0.14@0.13720000000000002
MAG-7 | Foresight (Factory New)@0.68@0.6664
G3SG1 | Dream Glade (Minimal Wear)@0.71@0.6958
StatTrak™ SCAR-20 | Poultrygeist (Minimal Wear)@1.00@0.98
StatTrak™ PP-Bizon | Space Cat (Minimal Wear)@4.00@3.92
AK-47 | Nightwish (Minimal Wear)@35.76@35.044799999999995
M4A1-S | Night Terror (Factory New)@1.61@1.5778
Five-SeveN | Scrawl (Factory New)@0.59@0.5781999999999999
PP-Bizon | Space Cat (Well-Worn)@0.70@0.6859999999999999
MAG-7 | Foresight (Minimal Wear)@0.38@0.3724
StatTrak™ M4A1-S | Night Terror (Field-Tested)@7.00@6.859999999999999
StatTrak™ G3SG1 | Dream Glade (Well-Worn)@0.80@0.784
SCAR-20 | Poultrygeist (Battle-Scarred)@0.20@0.196
FAMAS | Rapid Eye Movement (Minimal Wear)@4.66@4.5668
StatTrak™ Five-SeveN | Scrawl (Well-Worn)@0.48@0.4704
M4A1-S | Night Terror (Well-Worn)@5.00@4.9
StatTrak™ MP5-SD | Necro Jr. (Well-Worn)@0.38@0.3724
MP9 | Starlight Protector (Factory New)@34.99@34.2902
StatTrak™ Five-SeveN | Scrawl (Minimal Wear)@1.00@0.98
Dual Berettas | Melondrama (Field-Tested)@4.10@4.018
StatTrak™ Sawed-Off | Spirit Board (Well-Worn)@0.36@0.3528
M4A1-S | Night Terror (Minimal Wear)@0.63@0.6174
AK-47 | Nightwish (Field-Tested)@18.00@17.64
StatTrak™ P2000 | Lifted Spirits (Well-Worn)@0.30@0.294
StatTrak™ XM1014 | Zombie Offensive (Field-Tested)@0.45@0.441
AK-47 | Nightwish (Well-Worn)@16.99@16.650199999999998
StatTrak™ Five-SeveN | Scrawl (Field-Tested)@0.56@0.5488000000000001
StatTrak™ USP-S | Ticket to Hell (Field-Tested)@2.30@2.254
MP7 | Abyssal Apparition (Battle-Scarred)@0.99@0.9702
StatTrak™ M4A1-S | Night Terror (Battle-Scarred)@5.96@5.8408
P2000 | Lifted Spirits (Battle-Scarred)@0.20@0.196
StatTrak™ MAG-7 | Foresight (Battle-Scarred)@0.50@0.49
StatTrak™ PP-Bizon | Space Cat (Field-Tested)@0.99@0.9702
StatTrak™ MAC-10 | Ensnared (Well-Worn)@0.44@0.43119999999999997
StatTrak™ AK-47 | Nightwish (Battle-Scarred)@21.65@21.217
StatTrak™ Five-SeveN | Scrawl (Battle-Scarred)@0.90@0.882
StatTrak™ SCAR-20 | Poultrygeist (Factory New)@0.72@0.7056
Sticker | Get Clucked@0.49@0.48019999999999996
Sticker | Hi, My Game Is@0.15@0.147
Sticker | Wallbang@0.40@0.392
Sticker | Sneaky Beaky Dept. (Holo)@3.00@2.94
Sticker | Smoke Criminal@1.70@1.666
Sticker | Flick Shotter@1.20@1.176
MP9 | Starlight Protector (Minimal Wear)@13.11@12.8478
StatTrak™ XM1014 | Zombie Offensive (Minimal Wear)@3.00@2.94
The Boardroom Sticker Capsule@2.00@1.96
Sticker | Flashblack (Holo)@2.00@1.96
Sticker | Phoenix Balaclava Co. (Holo)@4.00@3.92
Sticker | T Rush (Holo)@3.00@2.94
StatTrak™ MAG-7 | Foresight (Factory New)@0.72@0.7056
StatTrak™ MP7 | Abyssal Apparition (Minimal Wear)@7.75@7.595
StatTrak™ M4A1-S | Night Terror (Minimal Wear)@3.04@2.9792
StatTrak™ Sawed-Off | Spirit Board (Factory New)@2.00@1.96
StatTrak™ MP7 | Abyssal Apparition (Field-Tested)@10.00@9.8
StatTrak™ PP-Bizon | Space Cat (Battle-Scarred)@1.00@0.98
StatTrak™ MP5-SD | Necro Jr. (Factory New)@20.00@19.6
StatTrak™ MP7 | Abyssal Apparition (Well-Worn)@2.82@2.7636
Sticker | forZe eSports (Glitter) | Antwerp 2022@0.39@0.3822
Antwerp 2022 Legends Sticker Capsule@0.78@0.7644
Sticker | Ninjas in Pyjamas (Glitter) | Antwerp 2022@1.30@1.274
Sticker | FURIA (Glitter) | Antwerp 2022@3.00@2.94
Sticker | 9z Team | Antwerp 2022@0.40@0.392
Sticker | FaZe Clan (Glitter) | Antwerp 2022@3.20@3.136
Antwerp 2022 Contenders Autograph Capsule@1.43@1.4014
Sticker | G2 Esports | Antwerp 2022@0.40@0.392
Sticker | Imperial Esports | Antwerp 2022@0.40@0.392
Sticker | 9z Team (Glitter) | Antwerp 2022@3.40@3.332
Sticker | boltz (Glitter) | Antwerp 2022@0.44@0.43119999999999997
Sticker | EliGE (Glitter) | Antwerp 2022@0.46@0.45080000000000003
Sticker | Natus Vincere | Antwerp 2022@0.46@0.45080000000000003
Sticker | Complexity Gaming (Glitter) | Antwerp 2022@5.00@4.9
Sticker | G2 Esports (Holo) | Antwerp 2022@50.00@49.0
Sticker | qikert (Glitter) | Antwerp 2022@0.70@0.6859999999999999
Sticker | Cloud9 | Antwerp 2022@0.90@0.882
Sticker | Eternal Fire | Antwerp 2022@0.54@0.5292
Sticker | PGL (Glitter) | Antwerp 2022@1.60@1.568
Sticker | KENSi (Glitter) | Antwerp 2022@0.30@0.294
Sticker | VINI | Antwerp 2022@0.56@0.5488000000000001
Sticker | faveN (Holo) | Antwerp 2022@1.50@1.47
Antwerp 2022 Contenders Sticker Capsule@0.53@0.5194
Sticker | BIG (Holo) | Antwerp 2022@5.00@4.9
Sticker | BIG (Gold) | Antwerp 2022@9.00@8.82
Sticker | Team Spirit (Glitter) | Antwerp 2022@1.56@1.5288
Antwerp 2022 Challengers Sticker Capsule@0.52@0.5096
Sticker | Renegades (Gold) | Antwerp 2022@8.00@7.84
Sticker | Heroic (Holo) | Antwerp 2022@20.00@19.6
Sticker | Imperial Esports (Holo) | Antwerp 2022@20.99@20.5702
Sticker | syrsoN (Glitter) | Antwerp 2022@0.28@0.27440000000000003
Sticker | MIBR (Glitter) | Antwerp 2022@1.20@1.176
Sticker | Astralis | Antwerp 2022@0.36@0.3528
Sticker | ENCE (Glitter) | Antwerp 2022@1.40@1.3719999999999999
Sticker | m0NESY | Antwerp 2022@0.94@0.9211999999999999
Sticker | Renegades (Glitter) | Antwerp 2022@0.74@0.7252
Sticker | Patsi (Glitter) | Antwerp 2022@0.46@0.45080000000000003
Antwerp 2022 Legends Autograph Capsule@1.47@1.4405999999999999
Sticker | Techno4K (Glitter) | Antwerp 2022@0.24@0.2352
Sticker | Techno4K (Holo) | Antwerp 2022@2.00@1.96
Sticker | Cloud9 (Glitter) | Antwerp 2022@11.00@10.78
Sticker | Copenhagen Flames (Glitter) | Antwerp 2022@0.50@0.49
Sticker | Eternal Fire (Glitter) | Antwerp 2022@6.00@5.88
Sticker | 9z Team (Holo) | Antwerp 2022@7.50@7.35
Sticker | jabbi | Antwerp 2022@0.50@0.49
Sticker | sico (Holo) | Antwerp 2022@3.00@2.94
Sticker | Astralis (Glitter) | Antwerp 2022@4.00@3.92
Antwerp 2022 Challengers Autograph Capsule@1.65@1.617
Sticker | hatz (Glitter) | Antwerp 2022@0.22@0.21559999999999999
Sticker | electronic (Glitter) | Antwerp 2022@0.70@0.6859999999999999
Sticker | nicoodoz (Glitter) | Antwerp 2022@0.28@0.27440000000000003
Sticker | dav1d (Glitter) | Antwerp 2022@0.50@0.49
Sticker | Krimbo (Glitter) | Antwerp 2022@0.30@0.294
Sticker | huNter (Glitter) | Antwerp 2022@1.00@0.98
Sticker | Brollan (Glitter) | Antwerp 2022@0.28@0.27440000000000003
Sticker | hampus (Glitter) | Antwerp 2022@0.28@0.27440000000000003
Sticker | s1mple | Antwerp 2022@0.60@0.588
Sticker | faveN (Glitter) | Antwerp 2022@0.22@0.21559999999999999
Sticker | Spinx (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | misutaaa (Glitter) | Antwerp 2022@0.22@0.21559999999999999
Sticker | Xyp9x (Glitter) | Antwerp 2022@0.60@0.588
Sticker | es3tag (Holo) | Antwerp 2022@2.00@1.96
Sticker | jabbi (Glitter) | Antwerp 2022@1.80@1.764
Sticker | YEKINDAR (Holo) | Antwerp 2022@11.00@10.78
Sticker | G2 Esports (Glitter) | Antwerp 2022@5.20@5.096
Sticker | m0NESY (Glitter) | Antwerp 2022@12.00@11.76
Sticker | NiKo | Antwerp 2022@0.40@0.392
Sticker | karrigan (Glitter) | Antwerp 2022@0.68@0.6664
Sticker | ins (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | Norwi (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | Jerry (Holo) | Antwerp 2022@3.00@2.94
Sticker | Snappi (Glitter) | Antwerp 2022@0.24@0.2352
Sticker | Farlig (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | shalfey (Glitter) | Antwerp 2022@0.30@0.294
Sticker | FalleN (Glitter) | Antwerp 2022@1.80@1.764
Sticker | Imperial Esports (Glitter) | Antwerp 2022@4.20@4.116
Sticker | Jerry (Glitter) | Antwerp 2022@0.28@0.27440000000000003
Sticker | k0nfig (Holo) | Antwerp 2022@5.00@4.9
Sticker | apEX (Glitter) | Antwerp 2022@0.80@0.784
Sticker | Grim (Glitter) | Antwerp 2022@0.40@0.392
Sticker | bLitz (Glitter) | Antwerp 2022@0.22@0.21559999999999999
Sticker | Magisk (Glitter) | Antwerp 2022@0.34@0.3332
Sticker | Aleksib (Glitter) | Antwerp 2022@0.40@0.392
Sticker | Farlig (Holo) | Antwerp 2022@3.00@2.94
Sticker | WOOD7 (Glitter) | Antwerp 2022@0.80@0.784
Sticker | NiKo (Glitter) | Antwerp 2022@3.30@3.234
Sticker | nin9 (Glitter) | Antwerp 2022@0.70@0.6859999999999999
Sticker | sjuush (Glitter) | Antwerp 2022@0.36@0.3528
Sticker | Boombl4 (Glitter) | Antwerp 2022@0.42@0.41159999999999997
Sticker | sk0R (Holo) | Antwerp 2022@2.00@1.96
Sticker | exit (Glitter) | Antwerp 2022@0.38@0.3724
Sticker | KSCERATO (Glitter) | Antwerp 2022@1.00@0.98
Sticker | kabal (Holo) | Antwerp 2022@2.00@1.96
Sticker | nin9 (Holo) | Antwerp 2022@11.00@10.78
Sticker | dupreeh (Glitter) | Antwerp 2022@0.50@0.49
Sticker | refrezh (Glitter) | Antwerp 2022@0.30@0.294
Sticker | Norwi (Holo) | Antwerp 2022@2.00@1.96
Sticker | rox | Antwerp 2022@0.59@0.5781999999999999
Sticker | Plopski (Gold) | Antwerp 2022@12.00@11.76
Sticker | cadiaN (Glitter) | Antwerp 2022@0.80@0.784
Sticker | XANTARES (Glitter) | Antwerp 2022@0.80@0.784
Sticker | refrezh (Holo) | Antwerp 2022@3.00@2.94
Sticker | syrsoN (Holo) | Antwerp 2022@2.00@1.96
Sticker | Plopski (Holo) | Antwerp 2022@2.00@1.96
Sticker | b1t (Glitter) | Antwerp 2022@0.90@0.882
Sticker | Cloud9 (Holo) | Antwerp 2022@37.99@37.2302
Sticker | Renegades (Holo) | Antwerp 2022@6.00@5.88
Sticker | fnx (Glitter) | Antwerp 2022@0.80@0.784
Sticker | exit (Holo) | Antwerp 2022@2.00@1.96
Antwerp 2022 Dust II Souvenir Package@33.41@32.7418
Antwerp 2022 Nuke Souvenir Package@20.00@19.6
Antwerp 2022 Mirage Souvenir Package@5.08@4.9784
Sticker | KENSi (Holo) | Antwerp 2022@2.00@1.96
Antwerp 2022 Inferno Souvenir Package@6.10@5.978
Antwerp 2022 Vertigo Souvenir Package@15.00@14.7
Antwerp 2022 Overpass Souvenir Package@4.68@4.586399999999999
Sticker | magixx (Glitter) | Antwerp 2022@0.46@0.45080000000000003
Sticker | dycha (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | chopper (Glitter) | Antwerp 2022@0.46@0.45080000000000003
Sticker | xfl0ud (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | Liazz (Glitter) | Antwerp 2022@1.00@0.98
Sticker | imoRR (Holo) | Antwerp 2022@5.00@4.9
Sticker | interz (Glitter) | Antwerp 2022@0.90@0.882
Sticker | Perfecto (Holo) | Antwerp 2022@13.00@12.74
Sticker | shox (Glitter) | Antwerp 2022@0.50@0.49
Antwerp 2022 Ancient Souvenir Package@4.86@4.7628
Sticker | k0nfig (Gold) | Antwerp 2022@15.00@14.7
Sticker | tiziaN (Holo) | Antwerp 2022@1.50@1.47
Sticker | NAF (Glitter) | Antwerp 2022@0.26@0.2548
Sticker | JOTA (Holo) | Antwerp 2022@1.50@1.47
Sticker | SENER1 (Holo) | Antwerp 2022@2.00@1.96
Sticker | sinnopsyy (Holo) | Antwerp 2022@2.00@1.96
Sticker | chelo (Holo) | Antwerp 2022@2.00@1.96
Sticker | rigoN (Holo) | Antwerp 2022@3.00@2.94
Sticker | es3tag (Gold) | Antwerp 2022@13.00@12.74
Sticker | Tuurtle (Holo) | Antwerp 2022@2.00@1.96
Sticker | fer (Gold) | Antwerp 2022@32.00@31.36
Sticker | aliStair (Holo) | Antwerp 2022@2.00@1.96
Sticker | Krimbo (Holo) | Antwerp 2022@2.00@1.96
