name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
★ Butterfly Knife | Case Hardened (Factory New)@1729.00@1642.55
★ Butterfly Knife | Case Hardened (Field-Tested)@975.00@926.25
★ Butterfly Knife | Case Hardened (Minimal Wear)@1050.00@997.5
★ Butterfly Knife | Case Hardened (Well-Worn)@865.11@821.8545
★ Butterfly Knife | Crimson Web (Battle-Scarred)@887.91@843.5144999999999
★ Butterfly Knife | Crimson Web (Field-Tested)@1110.52@1054.994
★ Butterfly Knife | Crimson Web (Minimal Wear)@2114.98@2009.231
★ Butterfly Knife | Crimson Web (Well-Worn)@918.64@872.708
★ Butterfly Knife | Damascus Steel (Factory New)@1702.75@1617.6125
★ Butterfly Knife | Damascus Steel (Field-Tested)@924.99@878.7405
★ Butterfly Knife | Damascus Steel (Minimal Wear)@1071.98@1018.381
★ Butterfly Knife | Doppler (Factory New)@1780.00@1691.0
★ Butterfly Knife | Doppler (Minimal Wear)@2650.00@2517.5
★ Butterfly Knife | Fade (Factory New)@3750.00@3562.5
★ Butterfly Knife | Forest DDPAT (Battle-Scarred)@619.35@588.3825
★ Butterfly Knife | Forest DDPAT (Factory New)@1200.00@1140.0
★ Butterfly Knife | Forest DDPAT (Field-Tested)@569.00@540.55
★ Butterfly Knife | Forest DDPAT (Minimal Wear)@998.50@948.5749999999999
★ Butterfly Knife | Forest DDPAT (Well-Worn)@900.00@855.0
★ Butterfly Knife | Freehand (Factory New)@1334.52@1267.7939999999999
★ Butterfly Knife | Freehand (Field-Tested)@923.50@877.3249999999999
★ Butterfly Knife | Freehand (Minimal Wear)@1217.65@1156.7675
★ Butterfly Knife | Freehand (Well-Worn)@810.00@769.5
★ Butterfly Knife | Gamma Doppler (Factory New)@2091.05@1986.4975000000002
★ Butterfly Knife | Lore (Battle-Scarred)@1180.00@1121.0
★ Butterfly Knife | Lore (Field-Tested)@2180.00@2071.0
★ Butterfly Knife | Lore (Well-Worn)@1740.00@1653.0
★ Butterfly Knife | Marble Fade (Factory New)@2519.99@2393.9905
★ Butterfly Knife | Night (Battle-Scarred)@679.99@645.9905
★ Butterfly Knife | Night (Field-Tested)@1448.31@1375.8944999999999
