name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Bowie Knife | Black Laminate (Field-Tested)@130.0@114.4@152.66@145.027@skinport@shadowpay@15.03
★ Bowie Knife | Blue Steel (Minimal Wear)@226.47@199.2936@255.33@242.5635@skinport@shadowpay@16.09
★ Bowie Knife | Blue Steel (Well-Worn)@159.89@140.70319999999998@203.79@193.6005@skinport@shadowpay@33.71
★ Bowie Knife | Boreal Forest (Field-Tested)@137.09@120.6392@160.84@152.798@skinport@shadowpay@15.71
★ Bowie Knife | Case Hardened (Field-Tested)@247.29@217.6152@282.98@268.831@skinport@shadowpay@21.54
★ Bowie Knife | Case Hardened (Well-Worn)@229.83@202.2504@252.96@240.312@skinport@shadowpay@10.48
★ Bowie Knife | Crimson Web (Well-Worn)@178.52@157.0976@219.35@208.3825@skinport@shadowpay@29.86
★ Bowie Knife | Damascus Steel (Field-Tested)@149.63@131.6744@169.83@161.3385@skinport@shadowpay@11.71
★ Bowie Knife | Damascus Steel (Minimal Wear)@163.43@143.8184@189.39@179.92049999999998@skinport@shadowpay@16.49
★ Bowie Knife | Damascus Steel (Well-Worn)@159.98@140.7824@185.14@175.88299999999998@skinport@shadowpay@15.9
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@596.89@567.0455@skinport@shadowpay@151.69
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@591.18@561.621@skinport@shadowpay@146.26
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@523.77@497.5815@skinport@shadowpay@82.22
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@523.76@497.572@skinport@shadowpay@82.21
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@1700.0@1615.0@skinport@shadowpay@1199.64
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@1100.0@1045.0@skinport@shadowpay@629.64
★ Bowie Knife | Doppler (Factory New)@415.36@365.5168@2500.0@2375.0@skinport@shadowpay@1959.64
★ Bowie Knife | Doppler (Minimal Wear)@450.0@396.0@683.85@649.6575@skinport@shadowpay@199.66
★ Bowie Knife | Doppler (Minimal Wear)@450.0@396.0@683.84@649.648@skinport@shadowpay@199.65
★ Bowie Knife | Fade (Factory New)@369.21@324.9048@451.61@429.0295@skinport@shadowpay@59.82
★ Bowie Knife | Fade (Minimal Wear)@420.0@369.6@568.6@540.17@skinport@shadowpay@120.17
★ Bowie Knife | Forest DDPAT (Field-Tested)@121.62@107.0256@145.65@138.3675@skinport@shadowpay@16.75
★ Bowie Knife | Forest DDPAT (Minimal Wear)@157.0@138.16@202.59@192.4605@skinport@shadowpay@35.46
★ Bowie Knife | Freehand (Field-Tested)@152.18@133.91840000000002@176.54@167.713@skinport@shadowpay@15.53
★ Bowie Knife | Freehand (Minimal Wear)@162.44@142.9472@181.63@172.5485@skinport@shadowpay@10.11
★ Bowie Knife | Freehand (Well-Worn)@150.0@132.0@170.27@161.7565@skinport@shadowpay@11.76
★ Bowie Knife | Gamma Doppler (Factory New)@383.76@337.7088@447.39@425.0205@skinport@shadowpay@41.26
★ Bowie Knife | Gamma Doppler (Factory New)@383.76@337.7088@457.33@434.4635@skinport@shadowpay@50.7
★ Bowie Knife | Gamma Doppler (Factory New)@383.76@337.7088@447.38@425.011@skinport@shadowpay@41.25
★ Bowie Knife | Gamma Doppler (Factory New)@383.76@337.7088@449.88@427.386@skinport@shadowpay@43.63
★ Bowie Knife | Gamma Doppler (Factory New)@383.76@337.7088@1271.0@1207.45@skinport@shadowpay@823.69
★ Bowie Knife | Gamma Doppler (Factory New)@383.76@337.7088@649.0@616.55@skinport@shadowpay@232.79
★ Bowie Knife | Lore (Factory New)@364.11@320.4168@556.7@528.865@skinport@shadowpay@164.76
★ Bowie Knife | Marble Fade (Factory New)@312.74@275.2112@365.0@346.75@skinport@shadowpay@34.01
★ Bowie Knife | Marble Fade (Minimal Wear)@419.97@369.5736@772.14@733.5329999999999@skinport@shadowpay@313.56
★ Bowie Knife | Night (Well-Worn)@149.0@131.12@185.68@176.396@skinport@shadowpay@27.4
★ Bowie Knife | Slaughter (Factory New)@320.0@281.6@409.0@388.55@skinport@shadowpay@68.55
★ Bowie Knife | Stained (Minimal Wear)@148.4@130.592@224.68@213.446@skinport@shadowpay@65.05
★ Bowie Knife | Tiger Tooth (Factory New)@250.22@220.1936@281.16@267.10200000000003@skinport@shadowpay@16.88
★ Bowie Knife | Tiger Tooth (Minimal Wear)@286.14@251.8032@326.34@310.023@skinport@shadowpay@23.88
★ Bowie Knife | Urban Masked (Minimal Wear)@135.64@119.3632@163.76@155.57199999999995@skinport@shadowpay@19.93
★ Broken Fang Gloves | Jade (Battle-Scarred)@120.78@106.2864@141.18@134.121@skinport@shadowpay@13.34
★ Broken Fang Gloves | Jade (Field-Tested)@136.09@119.7592@154.93@147.1835@skinport@shadowpay@11.09
★ Broken Fang Gloves | Jade (Well-Worn)@140.0@123.2@159.06@151.107@skinport@shadowpay@11.11
★ Broken Fang Gloves | Needle Point (Well-Worn)@83.67@73.6296@99.26@94.297@skinport@shadowpay@10.63
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred)@74.55@65.604@92.93@88.2835@skinport@shadowpay@13.73
★ Butterfly Knife@2199.0@1935.12@2599.94@2469.943@skinport@shadowpay@270.94
★ Butterfly Knife | Autotronic (Battle-Scarred)@1199.69@1055.7272@1975.94@1877.143@skinport@shadowpay@677.45
★ Butterfly Knife | Autotronic (Factory New)@2350.0@2068.0@2655.0@2522.25@skinport@shadowpay@172.25
★ Butterfly Knife | Autotronic (Field-Tested)@1499.99@1319.9912@1766.15@1677.8425@skinport@shadowpay@177.85
★ Butterfly Knife | Autotronic (Minimal Wear)@1794.55@1579.204@2212.5@2101.875@skinport@shadowpay@307.33
★ Butterfly Knife | Autotronic (Well-Worn)@1468.11@1291.9368@1557.0@1479.15@skinport@shadowpay@11.04
★ Butterfly Knife | Black Laminate (Battle-Scarred)@1069.24@940.9312@1177.34@1118.473@skinport@shadowpay@49.23
★ Butterfly Knife | Black Laminate (Factory New)@1450.0@1276.0@1693.2@1608.54@skinport@shadowpay@158.54
★ Butterfly Knife | Black Laminate (Field-Tested)@1105.3@972.664@1325.8@1259.51@skinport@shadowpay@154.21
★ Butterfly Knife | Black Laminate (Well-Worn)@1016.2@894.2560000000001@1173.49@1114.8155@skinport@shadowpay@98.62
★ Butterfly Knife | Blue Steel (Factory New)@1800.0@1584.0@2030.0@1928.5@skinport@shadowpay@128.5
★ Butterfly Knife | Blue Steel (Field-Tested)@1340.0@1179.2@1455.0@1382.25@skinport@shadowpay@42.25
★ Butterfly Knife | Blue Steel (Minimal Wear)@1347.61@1185.8968@1515.0@1439.25@skinport@shadowpay@91.64
★ Butterfly Knife | Boreal Forest (Battle-Scarred)@707.73@622.8024@846.75@804.4124999999999@skinport@shadowpay@96.68
★ Butterfly Knife | Boreal Forest (Field-Tested)@830.72@731.0336@891.45@846.8775@skinport@shadowpay@16.16
★ Butterfly Knife | Boreal Forest (Minimal Wear)@859.1@756.008@956.99@909.1405@skinport@shadowpay@50.04
★ Butterfly Knife | Bright Water (Field-Tested)@990.65@871.7719999999999@1077.76@1023.872@skinport@shadowpay@33.22
★ Butterfly Knife | Bright Water (Minimal Wear)@1070.0@941.6@1161.93@1103.8335@skinport@shadowpay@33.83
★ Butterfly Knife | Case Hardened (Battle-Scarred)@972.21@855.5448@1259.0@1196.05@skinport@shadowpay@223.84
