name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Five-SeveN | Flame Test (Minimal Wear)@0.11@0.0968@50.59@49.5782@skinport@csdeals@49.47
Five-SeveN | Kami (Minimal Wear)@1.87@1.6456000000000002@6666.0@6532.68@skinport@csdeals@6530.81
Five-SeveN | Monkey Business (Minimal Wear)@14.49@12.7512@33.0@32.34@skinport@csdeals@17.85
Five-SeveN | Nightshade (Factory New)@3.45@3.036@25.0@24.5@skinport@csdeals@21.05
Five-SeveN | Scrawl (Factory New)@0.35@0.308@16.0@15.68@skinport@csdeals@15.33
★ Flip Knife | Autotronic (Field-Tested)@321.0@282.48@359.99@352.7902@skinport@csdeals@31.79
★ Flip Knife | Black Laminate (Field-Tested)@241.0@212.08@278.38@272.8124@skinport@csdeals@31.81
★ Flip Knife | Black Laminate (Minimal Wear)@250.0@220.0@299.99@293.9902@skinport@csdeals@43.99
★ Flip Knife | Fade (Factory New)@631.61@555.8168000000001@657.58@644.4284@skinport@csdeals@12.82
★ Flip Knife | Freehand (Field-Tested)@211.6@186.208@265.0@259.7@skinport@csdeals@48.1
★ Flip Knife | Lore (Factory New)@431.82@380.0016@510.0@499.8@skinport@csdeals@67.98
★ Flip Knife | Lore (Field-Tested)@283.94@249.8672@425.0@416.5@skinport@csdeals@132.56
★ Flip Knife | Lore (Minimal Wear)@343.2@302.016@559.99@548.7902@skinport@csdeals@205.59
★ Flip Knife | Marble Fade (Factory New)@466.0@410.08@650.0@637.0@skinport@csdeals@171.0
★ Flip Knife | Night (Field-Tested)@208.06@183.0928@235.0@230.3@skinport@csdeals@22.24
★ Flip Knife | Tiger Tooth (Factory New)@380.0@334.4@480.0@470.4@skinport@csdeals@90.4
★ Flip Knife | Ultraviolet (Minimal Wear)@276.29@243.13520000000003@315.0@308.7@skinport@csdeals@32.41
G3SG1 | Chronos (Factory New)@262.0@230.56@370.0@362.6@skinport@csdeals@100.6
G3SG1 | Demeter (Factory New)@15.99@14.0712@32.0@31.36@skinport@csdeals@15.37
G3SG1 | High Seas (Factory New)@3.27@2.8776@17.0@16.66@skinport@csdeals@13.39
G3SG1 | Keeping Tabs (Factory New)@1.36@1.1968@18.0@17.64@skinport@csdeals@16.28
G3SG1 | The Executioner (Minimal Wear)@17.99@15.8312@60.0@58.8@skinport@csdeals@40.81
Galil AR | Signal (Factory New)@1.47@1.2936@12.0@11.76@skinport@csdeals@10.29
Galil AR | Sugar Rush (Minimal Wear)@40.11@35.2968@52.99@51.9302@skinport@csdeals@11.82
Glock-18 | AXIA (Well-Worn)@41.65@36.652@57.21@56.0658@skinport@csdeals@14.42
