name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
P90 | Sand Spray (Well-Worn)@0.01@0.0095@400.0@392.0@shadowpay@csdeals@391.99
★ StatTrak™ Flip Knife | Tiger Tooth (Factory New)@461.18@438.121@530.0@519.4@shadowpay@csdeals@58.22
Desert Eagle | Hypnotic (Factory New)@99.45@94.4775@129.99@127.3902@shadowpay@csdeals@27.94
★ StatTrak™ Bayonet | Fade (Factory New)@840.42@798.3989999999999@1085.0@1063.3@shadowpay@csdeals@222.88
AWP | Medusa (Field-Tested)@2102.55@1997.4225@2299.99@2253.9902@shadowpay@csdeals@151.44
AWP | Dragon Lore (Minimal Wear)@10719.4@10183.429999999998@11999.99@11759.9902@shadowpay@csdeals@1040.59
Sticker | GeT_RiGhT | Cologne 2015@2.54@2.413@14.0@13.72@shadowpay@csdeals@11.18
Autograph Capsule | Team Kinguin | Cologne 2015@8.28@7.865999999999999@20.0@19.6@shadowpay@csdeals@11.32
Sticker | NEO | Cologne 2015@4.52@4.294@15.0@14.7@shadowpay@csdeals@10.18
ESL One Cologne 2015 Cobblestone Souvenir Package@1541.9@1464.805@2299.0@2253.02@shadowpay@csdeals@711.12
★ StatTrak™ M9 Bayonet | Marble Fade (Factory New)@1493.95@1419.2525@1549.99@1518.9902@shadowpay@csdeals@25.04
★ StatTrak™ Bayonet | Tiger Tooth (Factory New)@624.99@593.7405@700.0@686.0@shadowpay@csdeals@61.01
Dual Berettas | Black Limba (Factory New)@19.79@18.8005@60.0@58.8@shadowpay@csdeals@39.01
StatTrak™ M249 | System Lock (Factory New)@2.09@1.9855@16.0@15.68@shadowpay@csdeals@13.59
USP-S | Torque (Factory New)@1.98@1.881@14.0@13.72@shadowpay@csdeals@11.74
MAC-10 | Candy Apple (Factory New)@0.59@0.5605@13.0@12.74@shadowpay@csdeals@12.15
P250 | Metallic DDPAT (Factory New)@0.33@0.3135@20.0@19.6@shadowpay@csdeals@19.27
MAC-10 | Silver (Factory New)@0.23@0.2185@10.59@10.3782@shadowpay@csdeals@10.15
SG 553 | Army Sheen (Field-Tested)@0.04@0.038@16.0@15.68@shadowpay@csdeals@15.64
SSG 08 | Abyss (Well-Worn)@0.16@0.152@50.59@49.5782@shadowpay@csdeals@49.42
AWP | Dragon Lore (Factory New)@12894.9@12250.155@13999.99@13719.9902@shadowpay@csdeals@825.09
AK-47 | Frontside Misty (Well-Worn)@16.21@15.3995@35.0@34.3@shadowpay@csdeals@18.09
StatTrak™ FAMAS | Survivor Z (Factory New)@2.3@2.185@13.0@12.74@shadowpay@csdeals@10.44
StatTrak™ Glock-18 | Wraiths (Factory New)@5.94@5.643@25.0@24.5@shadowpay@csdeals@18.56
StatTrak™ MAG-7 | Cobalt Core (Factory New)@2.02@1.919@20.0@19.6@shadowpay@csdeals@17.58
M4A1-S | Golden Coil (Minimal Wear)@115.34@109.573@129.99@127.3902@shadowpay@csdeals@12.05
StatTrak™ P250 | Wingshot (Minimal Wear)@5.85@5.557499999999999@27.77@27.2146@shadowpay@csdeals@21.36
StatTrak™ MP7 | Special Delivery (Factory New)@9.87@9.376499999999998@40.0@39.2@shadowpay@csdeals@29.33
★ Shadow Daggers@155.01@147.25949999999995@230.0@225.4@shadowpay@csdeals@70.39
★ Shadow Daggers | Fade (Factory New)@256.76@243.922@400.0@392.0@shadowpay@csdeals@135.24
★ Shadow Daggers | Slaughter (Factory New)@201.07@191.0165@219.99@215.5902@shadowpay@csdeals@14.52
G3SG1 | The Executioner (Minimal Wear)@12.37@11.751499999999998@60.0@58.8@shadowpay@csdeals@46.43
R8 Revolver | Crimson Web (Factory New)@4.28@4.066@26.0@25.48@shadowpay@csdeals@21.2
Tec-9 | Avalanche (Factory New)@5.99@5.6905@25.0@24.5@shadowpay@csdeals@18.51
StatTrak™ Desert Eagle | Corinthian (Factory New)@4.9@4.655@28.0@27.44@shadowpay@csdeals@22.54
StatTrak™ AUG | Ricochet (Factory New)@2.32@2.204@25.0@24.5@shadowpay@csdeals@22.18
P90 | Shapewood (Well-Worn)@2.3@2.185@24.99@24.4902@shadowpay@csdeals@22.19
P90 | Shapewood (Battle-Scarred)@1.69@1.6055@24.99@24.4902@shadowpay@csdeals@22.8
StatTrak™ Sawed-Off | Yorick (Factory New)@2.38@2.261@20.0@19.6@shadowpay@csdeals@17.22
XM1014 | Teclu Burner (Factory New)@2.84@2.698@20.0@19.6@shadowpay@csdeals@16.76
R8 Revolver | Fade (Minimal Wear)@9.36@8.892@23.0@22.54@shadowpay@csdeals@13.18
P90 | Shapewood (Factory New)@10.69@10.155499999999998@50.0@49.0@shadowpay@csdeals@38.31
SG 553 | Tiger Moth (Factory New)@2.85@2.7075@45.0@44.1@shadowpay@csdeals@41.25
DreamHack Cluj-Napoca 2015 Legends (Foil)@19.82@18.829@38.35@37.583@shadowpay@csdeals@17.76
StatTrak™ R8 Revolver | Fade (Factory New)@75.71@71.9245@100.0@98.0@shadowpay@csdeals@22.29
R8 Revolver | Crimson Web (Field-Tested)@0.21@0.1994999999999999@50.0@49.0@shadowpay@csdeals@48.79
★ Bowie Knife | Crimson Web (Field-Tested)@222.56@211.432@255.0@249.9@shadowpay@csdeals@27.34
★ Bowie Knife | Scorched (Minimal Wear)@172.08@163.476@190.0@186.2@shadowpay@csdeals@14.12
AK-47 | Fuel Injector (Factory New)@415.35@394.5825@499.99@489.9902@shadowpay@csdeals@74.64
Glock-18 | Royal Legion (Factory New)@7.99@7.5905@25.0@24.5@shadowpay@csdeals@16.51
StatTrak™ Dual Berettas | Cartel (Factory New)@8.05@7.6475@30.0@29.4@shadowpay@csdeals@21.35
StatTrak™ PP-Bizon | Photic Zone (Factory New)@5.63@5.3485@60.0@58.8@shadowpay@csdeals@53.17
MAG-7 | Praetorian (Factory New)@4.23@4.0185@16.0@15.68@shadowpay@csdeals@11.45
Autograph Capsule | Legends (Foil) | MLG Columbus 2016@33.02@31.369@70.0@68.6@shadowpay@csdeals@35.58
Sticker | Luminosity Gaming (Foil) | MLG Columbus 2016@63.0@59.85@76.72@75.1856@shadowpay@csdeals@12.19
Autograph Capsule | Challengers (Foil) | MLG Columbus 2016@54.74@52.003@70.0@68.6@shadowpay@csdeals@13.86
Sticker | Fnatic (Holo) | MLG Columbus 2016@19.52@18.544@35.0@34.3@shadowpay@csdeals@14.78
StatTrak™ M249 | Spectre (Factory New)@0.93@0.8835@20.0@19.6@shadowpay@csdeals@18.67
StatTrak™ Dual Berettas | Ventilators (Factory New)@1.01@0.9595@12.0@11.76@shadowpay@csdeals@10.75
CZ75-Auto | Red Astor (Factory New)@1.55@1.4725@17.0@16.66@shadowpay@csdeals@15.11
StatTrak™ Galil AR | Firefight (Factory New)@9.13@8.6735@60.0@58.8@shadowpay@csdeals@49.67
StatTrak™ AK-47 | Fire Serpent (Minimal Wear)@3300.0@3135.0@3700.0@3626.0@shadowpay@csdeals@326.0
★ M9 Bayonet | Marble Fade (Minimal Wear)@1545.0@1467.75@1599.99@1567.9902@shadowpay@csdeals@22.99
★ StatTrak™ Bowie Knife | Fade (Factory New)@546.73@519.3935@575.0@563.5@shadowpay@csdeals@16.77
MAC-10 | Carnivore (Factory New)@0.82@0.7789999999999999@20.0@19.6@shadowpay@csdeals@18.78
StatTrak™ MAC-10 | Carnivore (Factory New)@3.03@2.8785@17.0@16.66@shadowpay@csdeals@13.63
AUG | Aristocrat (Factory New)@2.04@1.938@17.0@16.66@shadowpay@csdeals@14.62
P90 | Chopper (Factory New)@2.15@2.0425@13.0@12.74@shadowpay@csdeals@10.59
StatTrak™ SG 553 | Aerial (Factory New)@1.44@1.368@13.0@12.74@shadowpay@csdeals@11.3
R8 Revolver | Reboot (Factory New)@3.7@3.515@17.0@16.66@shadowpay@csdeals@12.96
AWP | Phobos (Factory New)@2.6@2.47@13.0@12.74@shadowpay@csdeals@10.14
M4A1-S | Mecha Industries (Minimal Wear)@52.49@49.8655@65.65@64.337@shadowpay@csdeals@11.85
★ Gut Knife | Lore (Field-Tested)@166.5@158.17499999999998@185.0@181.3@shadowpay@csdeals@14.8
★ Flip Knife | Lore (Field-Tested)@345.84@328.54799999999994@425.0@416.5@shadowpay@csdeals@70.66
★ Gut Knife | Autotronic (Minimal Wear)@214.77@204.0315@249.99@244.9902@shadowpay@csdeals@30.22
★ Bayonet | Black Laminate (Minimal Wear)@364.25@346.0375@449.99@440.9902@shadowpay@csdeals@76.74
★ Flip Knife | Black Laminate (Minimal Wear)@277.19@263.3305@299.99@293.9902@shadowpay@csdeals@16.8
★ Flip Knife | Freehand (Field-Tested)@231.56@219.982@265.0@259.7@shadowpay@csdeals@28.14
★ Flip Knife | Lore (Minimal Wear)@429.74@408.253@559.99@548.7902@shadowpay@csdeals@119.05
★ Gut Knife | Lore (Minimal Wear)@205.84@195.548@229.0@224.42@shadowpay@csdeals@18.58
★ Bayonet | Autotronic (Field-Tested)@502.5@477.375@599.99@587.9902@shadowpay@csdeals@85.49
★ M9 Bayonet | Lore (Field-Tested)@1049.85@997.3574999999998@1249.99@1224.9902@shadowpay@csdeals@175.14
★ StatTrak™ Flip Knife | Lore (Field-Tested)@336.33@319.5135@359.99@352.7902@shadowpay@csdeals@16.46
★ Gut Knife | Autotronic (Factory New)@271.39@257.8205@345.0@338.1@shadowpay@csdeals@66.71
★ M9 Bayonet | Lore (Minimal Wear)@1924.49@1828.2655@2899.99@2841.9902@shadowpay@csdeals@917.5
Cologne 2016 Cobblestone Souvenir Package@1522.77@1446.6315@2399.99@2351.9902@shadowpay@csdeals@829.22
★ StatTrak™ Bayonet | Lore (Field-Tested)@514.3@488.5849999999999@600.0@588.0@shadowpay@csdeals@73.7
★ M9 Bayonet | Black Laminate (Factory New)@1214.25@1153.5375@1500.0@1470.0@shadowpay@csdeals@255.75
★ StatTrak™ Flip Knife | Lore (Minimal Wear)@445.2@422.94@550.0@539.0@shadowpay@csdeals@93.8
★ StatTrak™ M9 Bayonet | Lore (Minimal Wear)@1696.6@1611.7699999999998@2599.99@2547.9902@shadowpay@csdeals@851.39
SG 553 | Triarch (Factory New)@2.14@2.033@18.0@17.64@shadowpay@csdeals@15.5
StatTrak™ P90 | Grim (Factory New)@2.2@2.09@23.0@22.54@shadowpay@csdeals@20.34
Glock-18 | Weasel (Factory New)@2.53@2.4035@22.0@21.56@shadowpay@csdeals@19.03
AK-47 | Neon Revolution (Field-Tested)@21.9@20.805@55.0@53.9@shadowpay@csdeals@32.0
StatTrak™ FAMAS | Roll Cage (Factory New)@112.82@107.179@5567.43@5456.0814@shadowpay@csdeals@5343.26
Nova | Gila (Factory New)@1.52@1.444@13.0@12.74@shadowpay@csdeals@11.22
StatTrak™ MP7 | Cirrus (Factory New)@2.86@2.717@20.0@19.6@shadowpay@csdeals@16.74
Dual Berettas | Royal Consorts (Factory New)@2.9@2.755@26.0@25.48@shadowpay@csdeals@22.58
USP-S | Cyrex (Minimal Wear)@2.04@1.938@24.99@24.4902@shadowpay@csdeals@22.45
M4A1-S | Flashback (Factory New)@2.95@2.8025@17.0@16.66@shadowpay@csdeals@13.71
★ Sport Gloves | Arid (Field-Tested)@679.2@645.24@1050.0@1029.0@shadowpay@csdeals@349.8
★ Moto Gloves | Spearmint (Field-Tested)@2624.25@2493.0375@3999.99@3919.9902@shadowpay@csdeals@1295.74
★ Specialist Gloves | Foundation (Field-Tested)@339.31@322.3445@499.99@489.9902@shadowpay@csdeals@150.68
★ Sport Gloves | Superconductor (Field-Tested)@3242.99@3080.8405@3599.99@3527.9902@shadowpay@csdeals@285.0
★ Driver Gloves | Diamondback (Minimal Wear)@370.17@351.6615@449.99@440.9902@shadowpay@csdeals@70.82
★ Moto Gloves | Boom! (Minimal Wear)@398.7@378.765@599.99@587.9902@shadowpay@csdeals@189.29
★ Hand Wraps | Leather (Minimal Wear)@411.58@391.001@449.99@440.9902@shadowpay@csdeals@29.41
★ Bloodhound Gloves | Bronzed (Minimal Wear)@147.04@139.688@179.0@175.42@shadowpay@csdeals@28.38
Sticker | nitr0 | Atlanta 2017@13.02@12.369@30.0@29.4@shadowpay@csdeals@16.38
Sticker | Team Liquid | Atlanta 2017@13.1@12.445@27.0@26.46@shadowpay@csdeals@13.36
Autograph Capsule | Team EnVyUs | Atlanta 2017@12.39@11.7705@24.0@23.52@shadowpay@csdeals@11.13
Sticker | Team Liquid (Holo) | Atlanta 2017@105.0@99.75@153.44@150.3712@shadowpay@csdeals@45.37
Sticker | SK Gaming (Holo) | Atlanta 2017@110.94@105.393@131.52@128.8896@shadowpay@csdeals@17.95
Sticker | G2 Esports (Holo) | Atlanta 2017@88.2@83.78999999999999@160.0@156.8@shadowpay@csdeals@68.6
Sticker | Fnatic (Foil) | Atlanta 2017@74.79@71.0505@155.0@151.9@shadowpay@csdeals@77.11
Sticker | Natus Vincere (Foil) | Atlanta 2017@76.14@72.333@125.0@122.5@shadowpay@csdeals@46.36
Sticker | FaZe Clan (Foil) | Atlanta 2017@100.26@95.247@132.0@129.36@shadowpay@csdeals@29.1
Atlanta 2017 Cobblestone Souvenir Package@1542.29@1465.1754999999998@2099.0@2057.02@shadowpay@csdeals@514.73
★ StatTrak™ Bayonet | Lore (Factory New)@1103.99@1048.7905@1250.0@1225.0@shadowpay@csdeals@121.01
★ StatTrak™ Karambit | Lore (Minimal Wear)@2236.43@2124.6085@2299.99@2253.9902@shadowpay@csdeals@17.56
