name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Sticker | AdreN | Cologne 2016@14.03@13.328499999999998@49.14@43.2432@shadowpay@skinport@29.21
Sticker | pyth (Foil) | Cologne 2016@13.49@12.8155@29.99@26.3912@shadowpay@skinport@12.9
Sticker | Team Dignitas | Cologne 2016@40.86@38.817@90.0@79.2@shadowpay@skinport@38.34
Sticker | Team EnVyUs (Holo) | Cologne 2016@16.54@15.713@32.0@28.16@shadowpay@skinport@11.62
Sticker | FaZe Clan (Foil) | Cologne 2016@40.5@38.475@59.49@52.3512@shadowpay@skinport@11.85
★ StatTrak™ Gut Knife | Lore (Field-Tested)@201.27@191.2065@249.99@219.9912@shadowpay@skinport@18.72
★ Flip Knife | Autotronic (Well-Worn)@333.29@316.6255@400.0@352.0@shadowpay@skinport@18.71
Sticker | Don't Worry (Foil)@1.05@0.9975@13.49@11.8712@shadowpay@skinport@10.82
★ Moto Gloves | Cool Mint (Battle-Scarred)@255.93@243.1335@360.0@316.8@shadowpay@skinport@60.87
★ Bloodhound Gloves | Snakebite (Well-Worn)@99.41@94.4395@128.7@113.256@shadowpay@skinport@13.85
Sticker | bondik | Atlanta 2017@25.0@23.75@50.02@44.0176@shadowpay@skinport@19.02
Sticker | nitr0 | Atlanta 2017@13.01@12.3595@35.53@31.2664@shadowpay@skinport@18.26
Autograph Capsule | Flipsid3 Tactics | Atlanta 2017@29.99@28.4905@48.0@42.24@shadowpay@skinport@12.25
Sticker | GuardiaN | Atlanta 2017@7.82@7.429@38.91@34.2408@shadowpay@skinport@26.42
Sticker | Zero | Atlanta 2017@25.49@24.2155@82.62@72.7056@shadowpay@skinport@47.22
Sticker | DeadFox | Atlanta 2017@41.6@39.52@68.46@60.2448@shadowpay@skinport@18.64
Sticker | mousesports (Holo) | Atlanta 2017@102.82@97.679@340.0@299.2@shadowpay@skinport@196.38
Sticker | cajunb (Foil) | Atlanta 2017@252.46@239.837@595.68@524.1984@shadowpay@skinport@271.74
Sticker | Astralis (Foil) | Atlanta 2017@106.23@100.9185@136.45@120.076@shadowpay@skinport@13.85
★ Specialist Gloves | Forest DDPAT (Factory New)@730.95@694.4025@1499.21@1319.3048@shadowpay@skinport@588.35
★ StatTrak™ Butterfly Knife | Damascus Steel (Field-Tested)@1230.0@1168.5@1500.0@1320.0@shadowpay@skinport@90.0
★ StatTrak™ Bowie Knife | Damascus Steel (Factory New)@259.35@246.3825@320.2@281.776@shadowpay@skinport@22.43
★ StatTrak™ Butterfly Knife | Damascus Steel (Factory New)@1639.43@1557.4585@2282.05@2008.204@shadowpay@skinport@368.77
Five-SeveN | Hyper Beast (Field-Tested)@30.72@29.184@200.0@176.0@shadowpay@skinport@145.28
Sticker | Virtus.Pro (Foil) | Krakow 2017@21.96@20.862@83.07@73.10159999999999@shadowpay@skinport@51.14
Sticker | Astralis (Holo) | Krakow 2017@9.99@9.4905@41.08@36.1504@shadowpay@skinport@26.16
Sticker | keev (Foil) | Krakow 2017@47.04@44.688@90.0@79.2@shadowpay@skinport@32.16
Sticker | Skadoodle | Krakow 2017@3.1@2.945@18.7@16.456@shadowpay@skinport@13.36
Sticker | rain | Krakow 2017@10.8@10.26@49.71@43.7448@shadowpay@skinport@32.94
Sticker | n0thing | Krakow 2017@2.53@2.4035@19.83@17.4504@shadowpay@skinport@14.92
Sticker | ropz | Krakow 2017@54.0@51.3@129.0@113.52@shadowpay@skinport@59.52
Sticker | coldzera (Foil) | Boston 2018@18.89@17.9455@53.03@46.6664@shadowpay@skinport@27.78
Sticker | Team Liquid (Holo) | Boston 2018@58.99@56.0405@250.0@220.0@shadowpay@skinport@161.01
Sticker | fitch (Foil) | Boston 2018@6.07@5.7665@51.08@44.9504@shadowpay@skinport@38.88
Sticker | kennyS (Foil) | Boston 2018@32.44@30.818@50.99@44.8712@shadowpay@skinport@12.43
Sticker | Stewie2K (Foil) | Boston 2018@63.7@60.515@215.0@189.2@shadowpay@skinport@125.5
Sticker | waterfaLLZ (Foil) | Boston 2018@6.72@6.384@21.56@18.9728@shadowpay@skinport@12.25
Sticker | Summer (Foil) | Boston 2018@36.0@34.2@60.0@52.8@shadowpay@skinport@16.8
Sticker | mousesports (Holo) | Boston 2018@47.4@45.03@75.0@66.0@shadowpay@skinport@18.6
Sticker | fer (Foil) | Boston 2018@9.5@9.025@25.0@22.0@shadowpay@skinport@12.5
Sticker | felps (Foil) | Boston 2018@6.95@6.6025@23.23@20.4424@shadowpay@skinport@13.49
Sticker | Calyx | Boston 2018@1.93@1.8335@35.42@31.169600000000003@shadowpay@skinport@29.24
Sticker | RpK (Foil) | Boston 2018@28.24@26.828@119.23@104.9224@shadowpay@skinport@76.68
Sticker | byali (Foil) | Boston 2018@27.55@26.1725@79.01@69.5288@shadowpay@skinport@41.98
Sticker | mou | Boston 2018@2.1@1.995@27.38@24.0944@shadowpay@skinport@21.99
Sticker | keev | Boston 2018@2.38@2.261@21.24@18.6912@shadowpay@skinport@16.31
Sticker | Bullet Rain (Foil)@4.03@3.8285@22.84@20.0992@shadowpay@skinport@16.07
StatTrak™ AWP | PAW (Well-Worn)@7.52@7.143999999999999@92.3@81.224@shadowpay@skinport@73.7
★ Navaja Knife | Stained (Minimal Wear)@133.01@126.35949999999998@276.0@242.88@shadowpay@skinport@109.87
★ Ursus Knife | Case Hardened (Factory New)@539.0@512.05@666.0@586.08@shadowpay@skinport@47.08
★ Talon Knife | Case Hardened (Well-Worn)@607.34@576.973@1000.0@880.0@shadowpay@skinport@272.66
★ Stiletto Knife | Safari Mesh (Battle-Scarred)@222.86@211.717@265.79@233.8952@shadowpay@skinport@11.04
★ Navaja Knife | Stained (Battle-Scarred)@117.39@111.5205@240.88@211.9744@shadowpay@skinport@94.58
★ Stiletto Knife | Forest DDPAT (Battle-Scarred)@224.78@213.541@323.14@284.3632@shadowpay@skinport@59.58
★ Stiletto Knife | Case Hardened (Factory New)@652.11@619.5045@923.02@812.2576@shadowpay@skinport@160.15
★ StatTrak™ Ursus Knife | Case Hardened (Battle-Scarred)@228.63@217.1985@699.99@615.9912@shadowpay@skinport@387.36
Sticker | Tyloo (Foil) | London 2018@24.0@22.8@39.89@35.1032@shadowpay@skinport@11.1
Sticker | woxic (Foil) | London 2018@6.3@5.984999999999999@51.28@45.1264@shadowpay@skinport@38.83
Sticker | Stewie2K (Foil) | London 2018@14.12@13.413999999999998@63.2@55.616@shadowpay@skinport@41.5
Sticker | device | London 2018@8.68@8.245999999999999@51.47@45.2936@shadowpay@skinport@36.61
Sticker | rain (Foil) | London 2018@15.51@14.7345@44.95@39.556@shadowpay@skinport@24.05
Sticker | tarik | London 2018@3.14@2.983@16.86@14.8368@shadowpay@skinport@11.7
