name@price@price_after_sell
G3SG1 | Azure Zebra (Factory New)@2.39@2.3422
G3SG1 | Azure Zebra (Minimal Wear)@2.33@2.2834
G3SG1 | Chronos (Factory New)@370.00@362.59999999999997
G3SG1 | Chronos (Minimal Wear)@280.00@274.4
G3SG1 | Demeter (Factory New)@32.00@31.36
G3SG1 | Desert Storm (Factory New)@4.00@3.92
G3SG1 | Desert Storm (Field-Tested)@1.00@0.98
G3SG1 | Green Apple (Factory New)@0.70@0.6859999999999999
G3SG1 | Green Apple (Minimal Wear)@0.40@0.392
G3SG1 | Jungle Dashed (Field-Tested)@2.20@2.156
G3SG1 | Murky (Factory New)@3.00@2.94
G3SG1 | Orange Crash (Factory New)@6.00@5.88
G3SG1 | Orange Crash (Well-Worn)@0.10@0.098
G3SG1 | Orange Kimono (Battle-Scarred)@5.00@4.9
G3SG1 | Orange Kimono (Field-Tested)@3.50@3.4299999999999997
G3SG1 | Orange Kimono (Minimal Wear)@6.00@5.88
G3SG1 | Safari Mesh (Battle-Scarred)@10.00@9.8
G3SG1 | Stinger (Factory New)@3.00@2.94
G3SG1 | Stinger (Minimal Wear)@0.73@0.7153999999999999
G3SG1 | The Executioner (Field-Tested)@2.00@1.96
G3SG1 | The Executioner (Minimal Wear)@60.00@58.8
G3SG1 | Ventilator (Factory New)@6.00@5.88
Galil AR | Aqua Terrace (Factory New)@155.00@151.9
Galil AR | Aqua Terrace (Field-Tested)@144.16@141.27679999999998
Galil AR | Black Sand (Factory New)@4.50@4.41
Galil AR | Cerberus (Field-Tested)@27.50@26.95
Galil AR | Cerberus (Well-Worn)@19.99@19.5902
Galil AR | Chatterbox (Field-Tested)@80.00@78.4
Galil AR | Eco (Well-Worn)@6.00@5.88
Galil AR | Firefight (Battle-Scarred)@0.75@0.735
Galil AR | Firefight (Factory New)@4.00@3.92
Galil AR | Hunting Blind (Field-Tested)@3.10@3.038
Galil AR | Kami (Battle-Scarred)@2.60@2.548
Galil AR | Kami (Factory New)@3.83@3.7534
Galil AR | Kami (Field-Tested)@3.00@2.94
Galil AR | Kami (Minimal Wear)@2.95@2.891
Galil AR | Rocket Pop (Minimal Wear)@2.65@2.597
Galil AR | Rocket Pop (Well-Worn)@0.80@0.784
Galil AR | Sage Spray (Battle-Scarred)@0.11@0.10779999999999999
Galil AR | Sage Spray (Field-Tested)@2.00@1.96
Galil AR | Sandstorm (Field-Tested)@2.00@1.96
Galil AR | Sandstorm (Minimal Wear)@16.00@15.68
Galil AR | Sandstorm (Well-Worn)@2.06@2.0188
Galil AR | Stone Cold (Well-Worn)@3.00@2.94
Galil AR | Tuxedo (Battle-Scarred)@0.64@0.6272
Galil AR | Tuxedo (Field-Tested)@0.70@0.6859999999999999
Galil AR | Urban Rubble (Field-Tested)@15.88@15.5624
Galil AR | VariCamo (Minimal Wear)@0.40@0.392
Gamma 2 Case@3.10@3.038
Gamma Case@3.15@3.0869999999999997
Gift Package@5.25@5.145
Glock-18 | Blue Fissure (Factory New)@25.00@24.5
Glock-18 | Brass (Factory New)@82.19@80.5462
Glock-18 | Bunsen Burner (Battle-Scarred)@10.00@9.8
Glock-18 | Bunsen Burner (Factory New)@8.00@7.84
Glock-18 | Bunsen Burner (Field-Tested)@0.60@0.588
Glock-18 | Candy Apple (Factory New)@1.15@1.127
Glock-18 | Catacombs (Factory New)@7.00@6.859999999999999
Glock-18 | Catacombs (Field-Tested)@0.35@0.34299999999999997
Glock-18 | Death Rattle (Field-Tested)@0.13@0.1274
Glock-18 | Death Rattle (Minimal Wear)@0.11@0.10779999999999999
Glock-18 | Dragon Tattoo (Factory New)@99.99@97.99019999999999
Glock-18 | Fade (Factory New)@1749.99@1714.9902
Glock-18 | Grinder (Factory New)@2.31@2.2638
Glock-18 | Groundwater (Minimal Wear)@21.98@21.5404
Glock-18 | Night (Battle-Scarred)@4.13@4.0474
Glock-18 | Reactor (Well-Worn)@24.99@24.490199999999998
Glock-18 | Royal Legion (Battle-Scarred)@2.76@2.7047999999999996
Glock-18 | Royal Legion (Factory New)@25.00@24.5
Glock-18 | Steel Disruption (Field-Tested)@3.48@3.4104
