name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
AK-47 | Wasteland Rebel (Well-Worn)@44.99@39.5912
AK-47 | Wild Lotus (Battle-Scarred)@@
AK-47 | Wild Lotus (Factory New)@@
AK-47 | Wild Lotus (Field-Tested)@10824.88@9525.8944
AK-47 | Wild Lotus (Minimal Wear)@11123.94@9789.067200000001
AK-47 | Wild Lotus (Well-Worn)@@
AK-47 | Wintergreen (Battle-Scarred)@@
AK-47 | Wintergreen (Factory New)@@
AK-47 | Wintergreen (Field-Tested)@@
AK-47 | Wintergreen (Minimal Wear)@@
AK-47 | Wintergreen (Well-Worn)@@
AK-47 | X-Ray (Battle-Scarred)@314.74@276.9712
AK-47 | X-Ray (Factory New)@@
AK-47 | X-Ray (Field-Tested)@719.99@633.5912
AK-47 | X-Ray (Minimal Wear)@1197.25@1053.58
AK-47 | X-Ray (Well-Worn)@450.0@396.0
Alyx Pin@27.0@23.76
Ambush Sticker Capsule@1.69@1.4871999999999999
Antwerp 2022 Ancient Souvenir Package@4.0@3.52
Antwerp 2022 Challengers Autograph Capsule@0.2@0.17600000000000002
Antwerp 2022 Challengers Sticker Capsule@0.2@0.17600000000000002
Antwerp 2022 Champions Autograph Capsule@0.35@0.308
Antwerp 2022 Contenders Autograph Capsule@0.31@0.2728
Antwerp 2022 Contenders Sticker Capsule@0.37@0.3256
Antwerp 2022 Dust II Souvenir Package@6.6@5.808
Antwerp 2022 Inferno Souvenir Package@2.67@2.3496
Antwerp 2022 Legends Autograph Capsule@0.17@0.1496
Antwerp 2022 Legends Sticker Capsule@0.33@0.2904
Antwerp 2022 Mirage Souvenir Package@3.32@2.9215999999999998
Antwerp 2022 Nuke Souvenir Package@3.0@2.64
Antwerp 2022 Overpass Souvenir Package@3.5@3.08
Antwerp 2022 Vertigo Souvenir Package@4.78@4.2064
Antwerp 2022 Viewer Pass@20.0@17.6
Antwerp 2022 Viewer Pass + 3 Souvenir Tokens@26.53@23.346400000000003
Anubis Collection Package@1.39@1.2231999999999998
Arno The Overgrown | Guerrilla Warfare@8.4@7.392
Aspirant | Gendarmerie Nationale@6.39@5.6232
Atlanta 2017 Cache Souvenir Package@@
Atlanta 2017 Challengers (Holo-Foil)@64.18@56.47840000000001
Atlanta 2017 Cobblestone Souvenir Package@1300.0@1144.0
Atlanta 2017 Dust II Souvenir Package@25.26@22.228800000000003
Atlanta 2017 Legends (Holo-Foil)@64.18@56.47840000000001
Atlanta 2017 Mirage Souvenir Package@35.74@31.451200000000004
Atlanta 2017 Nuke Souvenir Package@@
Atlanta 2017 Overpass Souvenir Package@35.0@30.8
Atlanta 2017 Train Souvenir Package@@
Audience Participation Parcel@@
AUG | Akihabara Accept (Battle-Scarred)@298.28@262.4864
AUG | Akihabara Accept (Factory New)@3388.0@2981.44
AUG | Akihabara Accept (Field-Tested)@575.0@506.0
AUG | Akihabara Accept (Minimal Wear)@1267.78@1115.6464
AUG | Akihabara Accept (Well-Worn)@323.78@284.9264
