name@price@price_after_sell
★ Huntsman Knife | Blue Steel (Minimal Wear)@290.7@276.16499999999996
★ StatTrak™ Gut Knife | Ultraviolet (Minimal Wear)@242.65@230.51749999999998
★ StatTrak™ Bayonet | Crimson Web (Battle-Scarred)@440.84@418.79799999999994
★ Butterfly Knife | Case Hardened (Well-Worn)@1480.03@1406.0285
★ StatTrak™ Bayonet | Stained (Well-Worn)@324.42@308.199
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested)@102.9@97.755
★ Bayonet | Case Hardened (Well-Worn)@383.8@364.61
★ StatTrak™ Bayonet | Ultraviolet (Field-Tested)@305.25@289.9875
StatTrak™ AWP | Lightning Strike (Factory New)@1020.94@969.893
AK-47 | Jet Set (Factory New)@999.83@949.8385
★ Karambit | Boreal Forest (Battle-Scarred)@759.44@721.4680000000001
★ Bayonet | Crimson Web (Well-Worn)@359.82@341.82899999999995
★ Karambit | Scorched (Field-Tested)@784.0@744.8
★ M9 Bayonet | Ultraviolet (Field-Tested)@742.49@705.3655
★ Huntsman Knife | Case Hardened (Minimal Wear)@329.45@312.97749999999996
Souvenir Desert Eagle | Hand Cannon (Battle-Scarred)@203.25@193.08749999999998
★ Karambit | Urban Masked (Well-Worn)@787.92@748.5239999999999
★ Butterfly Knife | Case Hardened (Battle-Scarred)@1259.0@1196.05
★ Gut Knife | Tiger Tooth (Minimal Wear)@302.93@287.7835
★ Karambit | Safari Mesh (Minimal Wear)@749.99@712.4905
★ Bayonet | Blue Steel (Battle-Scarred)@309.98@294.481
StatTrak™ AWP | Asiimov (Field-Tested)@283.32@269.154
★ Bayonet | Case Hardened (Battle-Scarred)@416.4@395.58
AK-47 | Black Laminate (Factory New)@235.51@223.73449999999997
★ Flip Knife | Case Hardened (Factory New)@539.62@512.639
★ Falchion Knife | Crimson Web (Well-Worn)@191.93@182.3335
★ Karambit | Urban Masked (Battle-Scarred)@776.68@737.8459999999999
★ Bayonet | Crimson Web (Field-Tested)@328.24@311.828
★ StatTrak™ Flip Knife | Blue Steel (Minimal Wear)@294.64@279.90799999999996
★ StatTrak™ M9 Bayonet | Urban Masked (Battle-Scarred)@650.32@617.804
★ Butterfly Knife | Boreal Forest (Minimal Wear)@956.99@909.1405
★ Flip Knife | Slaughter (Field-Tested)@468.99@445.5405
★ M9 Bayonet | Rust Coat (Battle-Scarred)@707.59@672.2105
★ Huntsman Knife | Stained (Factory New)@328.5@312.075
★ Huntsman Knife@234.12@222.414
★ StatTrak™ Flip Knife | Crimson Web (Battle-Scarred)@280.11@266.1045
★ Bayonet | Scorched (Minimal Wear)@271.14@257.58299999999997
Sticker | HellRaisers (Holo) | Katowice 2014@10933.5@10386.824999999999
Souvenir Desert Eagle | Hand Cannon (Well-Worn)@213.0@202.35
★ StatTrak™ Butterfly Knife | Boreal Forest (Field-Tested)@896.58@851.751
★ StatTrak™ Butterfly Knife | Scorched (Field-Tested)@939.97@892.9715
★ M9 Bayonet | Night (Field-Tested)@678.75@644.8125
★ Karambit | Scorched (Battle-Scarred)@752.28@714.6659999999999
★ Butterfly Knife | Urban Masked (Minimal Wear)@1020.0@969.0
★ Falchion Knife | Case Hardened (Minimal Wear)@298.82@283.87899999999996
★ StatTrak™ Flip Knife | Case Hardened (Well-Worn)@309.31@293.8445
★ Butterfly Knife | Night (Field-Tested)@1049.25@996.7874999999999
★ StatTrak™ Gut Knife | Night (Minimal Wear)@369.57@351.0915
★ Gut Knife | Tiger Tooth (Factory New)@195.99@186.1905
★ StatTrak™ Falchion Knife | Scorched (Minimal Wear)@187.99@178.5905
★ M9 Bayonet | Stained (Field-Tested)@773.85@735.1575
★ Flip Knife | Blue Steel (Factory New)@457.58@434.70099999999996
★ Gut Knife | Marble Fade (Factory New)@241.86@229.767
StatTrak™ M4A1-S | Hyper Beast (Field-Tested)@69.91@66.41449999999999
★ M9 Bayonet | Stained (Well-Worn)@774.24@735.528
★ Gut Knife | Fade (Minimal Wear)@314.36@298.642
★ Karambit | Forest DDPAT (Battle-Scarred)@706.85@671.5074999999999
★ Bayonet | Stained (Minimal Wear)@302.01@286.9095
★ StatTrak™ Gut Knife | Slaughter (Minimal Wear)@225.14@213.88299999999998
★ StatTrak™ Falchion Knife | Forest DDPAT (Field-Tested)@146.74@139.403
StatTrak™ M4A4 | Asiimov (Field-Tested)@790.79@751.2504999999999
★ M9 Bayonet | Night (Well-Worn)@684.6@650.37
★ M9 Bayonet | Stained (Battle-Scarred)@709.5@674.025
★ Karambit | Safari Mesh (Field-Tested)@711.76@676.1719999999999
★ StatTrak™ M9 Bayonet | Boreal Forest (Field-Tested)@743.08@705.926
★ Butterfly Knife | Stained (Minimal Wear)@1176.0@1117.2
AK-47 | Hydroponic (Minimal Wear)@1830.0@1738.5
★ StatTrak™ Falchion Knife | Stained (Field-Tested)@162.0@153.9
★ M9 Bayonet | Ultraviolet (Well-Worn)@673.2@639.54
Souvenir USP-S | Road Rash (Battle-Scarred)@17.73@16.8435
★ Flip Knife | Night (Minimal Wear)@264.14@250.93299999999996
★ Karambit | Safari Mesh (Battle-Scarred)@678.76@644.822
★ Huntsman Knife | Case Hardened (Field-Tested)@346.29@328.9755
AWP | Hyper Beast (Factory New)@88.49@84.06549999999999
StatTrak™ SSG 08 | Blood in the Water (Minimal Wear)@195.09@185.3355
★ Falchion Knife | Blue Steel (Minimal Wear)@224.99@213.7405
★ StatTrak™ Falchion Knife | Night (Field-Tested)@177.23@168.36849999999998
★ StatTrak™ Bayonet | Night (Battle-Scarred)@270.91@257.3645
★ M9 Bayonet | Crimson Web (Battle-Scarred)@858.2@815.29
★ M9 Bayonet | Boreal Forest (Minimal Wear)@612.0@581.4
★ Falchion Knife | Stained (Factory New)@224.85@213.6075
★ StatTrak™ M9 Bayonet | Urban Masked (Field-Tested)@586.0@556.6999999999999
★ M9 Bayonet | Forest DDPAT (Minimal Wear)@749.99@712.4905
★ Butterfly Knife | Stained (Field-Tested)@1124.99@1068.7404999999999
★ StatTrak™ Bayonet | Scorched (Field-Tested)@250.2@237.68999999999997
★ Falchion Knife | Crimson Web (Field-Tested)@188.42@178.99899999999997
★ StatTrak™ Falchion Knife | Forest DDPAT (Minimal Wear)@214.48@203.75599999999997
Souvenir Desert Eagle | Urban DDPAT (Factory New)@17.89@16.9955
★ StatTrak™ Falchion Knife | Boreal Forest (Field-Tested)@169.49@161.0155
★ Bayonet | Stained (Field-Tested)@283.34@269.17299999999994
StatTrak™ M4A1-S | Cyrex (Minimal Wear)@106.5@101.175
★ Butterfly Knife | Stained (Battle-Scarred)@1004.02@953.819
