name@price@price_after_sell
Sticker | iM (Holo) | Rio 2022@0.75@0.7124999999999999
Sticker | Cloud9 (Glitter) | Rio 2022@0.22@0.209
Sticker | FlameZ (Holo) | Rio 2022@2.39@2.2705
Sticker | refrezh (Holo) | Rio 2022@2.12@2.014
Sticker | Aleksib (Holo) | Rio 2022@2.1@1.9949999999999999
Souvenir USP-S | Desert Tactical (Battle-Scarred)@0.43@0.4085
Sticker | Staehr (Holo) | Rio 2022@1.6@1.52
Sticker | Zyphon (Holo) | Rio 2022@1.98@1.881
Sticker | Patsi (Holo) | Rio 2022@0.37@0.3515
Sticker | TeSeS (Holo) | Rio 2022@1.2@1.14
Sticker | SunPayus (Holo) | Rio 2022@0.81@0.7695
Souvenir XM1014 | Hieroglyph (Factory New)@0.4@0.38
Sticker | sjuush (Holo) | Rio 2022@1.28@1.216
MAC-10 | Sakkaku (Battle-Scarred)@0.27@0.2565
Sticker | CeRq (Holo) | Rio 2022@1.47@1.3964999999999999
Sticker | Dycha (Holo) | Rio 2022@0.54@0.513
M4A1-S | Mud-Spec (Minimal Wear)@0.27@0.2565
Rio 2022 Challengers Autograph Capsule@0.41@0.38949999999999996
Rio 2022 Contenders Sticker Capsule@0.18@0.17099999999999999
Sticker | nexa (Glitter) | Rio 2022@0.93@0.8835
Sticker | vexite (Holo) | Rio 2022@0.42@0.39899999999999997
Sticker | iM (Glitter) | Rio 2022@0.17@0.1615
Rio 2022 Challengers Sticker Capsule@0.18@0.17099999999999999
Sticker | v4lde (Holo) | Rio 2022@0.57@0.5415
Sticker | IEM (Holo) | Rio 2022@0.28@0.266
Souvenir AK-47 | Steel Delta (Factory New)@17.54@16.662999999999997
Souvenir Glock-18 | Ramese's Reach (Field-Tested)@12.62@11.988999999999999
Sticker | magixx (Holo) | Rio 2022@1.04@0.988
Music Kit | Humanity's Last Breath, Void@0.47@0.44649999999999995
Sticker | fame (Holo, Champion) | Rio 2022@0.45@0.4275
Rio 2022 Legends Autograph Capsule@0.3@0.285
Sticker | qikert (Holo, Champion) | Rio 2022@0.41@0.38949999999999996
Sticker | FL1T (Holo, Champion) | Rio 2022@0.52@0.494
Rio 2022 Legends Sticker Capsule@0.23@0.2185
Sticker | n0rb3r7 (Holo, Champion) | Rio 2022@0.8@0.76
Souvenir MAC-10 | Echoing Sands (Minimal Wear)@0.17@0.1615
Sticker | sh1ro (Glitter) | Rio 2022@1.33@1.2635
M4A1-S | Mud-Spec (Well-Worn)@0.29@0.27549999999999997
Rio 2022 Champions Autograph Capsule@0.45@0.4275
Souvenir R8 Revolver | Inlay (Factory New)@0.18@0.17099999999999999
Sticker | Ax1Le (Glitter) | Rio 2022@0.16@0.152
Sticker | cadiaN (Glitter) | Rio 2022@0.22@0.209
Sticker | 00 Nation | Rio 2022@0.14@0.133
StatTrak™ SCAR-20 | Fragments (Battle-Scarred)@0.1@0.095
Souvenir SSG 08 | Azure Glyph (Battle-Scarred)@0.24@0.22799999999999998
Sticker | b1t (Glitter) | Rio 2022@0.26@0.247
Sticker | Team Liquid (Glitter) | Rio 2022@0.07@0.0665
Sticker | w0nderful (Glitter) | Rio 2022@0.26@0.247
Sticker | frozen (Glitter) | Rio 2022@0.16@0.152
Sticker | KSCERATO (Glitter) | Rio 2022@0.13@0.1235
Sticker | sdy (Glitter) | Rio 2022@0.11@0.1045
Souvenir MAC-10 | Echoing Sands (Field-Tested)@0.19@0.1805
Sticker | Vitality (Glitter) | Rio 2022@0.06@0.056999999999999995
Sticker | rain (Glitter) | Rio 2022@0.13@0.1235
Sticker | GamerLegion (Glitter) | Rio 2022@0.16@0.152
Sticker | syrsoN (Glitter) | Rio 2022@1.37@1.3015
Sticker | kabal (Glitter) | Rio 2022@0.11@0.1045
Sticker | IHC Esports (Glitter) | Rio 2022@0.08@0.076
Sticker | Hobbit (Glitter) | Rio 2022@0.16@0.152
Sticker | TRY (Glitter) | Rio 2022@1.88@1.7859999999999998
Sticker | ZywOo | Rio 2022@0.12@0.11399999999999999
Sticker | BUDA (Glitter) | Rio 2022@2.03@1.9284999999999997
Sticker | MOUZ | Rio 2022@0.01@0.0095
Sticker | Baby Fire Serpent@0.09@0.08549999999999999
Sticker | Aleksib (Glitter) | Rio 2022@0.1@0.095
Souvenir AUG | Snake Pit (Well-Worn)@0.33@0.3135
Sticker | broky (Glitter) | Rio 2022@0.13@0.1235
Sticker | Clicking Heads@0.07@0.0665
Sticker | INS | Rio 2022@0.18@0.17099999999999999
Sticker | qikert (Glitter) | Rio 2022@0.47@0.44649999999999995
Sticker | saffee (Glitter) | Rio 2022@0.13@0.1235
Sticker | Grayhound Gaming (Glitter) | Rio 2022@0.04@0.038
Sticker | Brehze (Glitter) | Rio 2022@0.06@0.056999999999999995
Sticker | Zap Cat@0.06@0.056999999999999995
Sticker | coldzera | Rio 2022@0.27@0.2565
Sticker | Perfecto (Glitter) | Rio 2022@0.09@0.08549999999999999
Souvenir XM1014 | Hieroglyph (Minimal Wear)@0.05@0.0475
Sticker | tabseN (Glitter) | Rio 2022@0.6@0.57
Rio 2022 Contenders Autograph Capsule@0.32@0.304
Sticker | FaZe Clan (Glitter) | Rio 2022@0.17@0.1615
Souvenir M249 | Submerged (Factory New)@0.12@0.11399999999999999
Sticker | NQZ | Rio 2022@0.19@0.1805
Sticker | electronic (Glitter) | Rio 2022@0.2@0.19
Sticker | dav1deuS (Glitter) | Rio 2022@0.19@0.1805
Sticker | Cloud9 | Rio 2022@0.02@0.019
Souvenir MP7 | Sunbaked (Battle-Scarred)@0.07@0.0665
Sticker | max | Rio 2022@0.11@0.1045
Sticker | vexite (Glitter) | Rio 2022@0.08@0.076
Sticker | Laser Beam@0.07@0.0665
Sticker | Booth@0.05@0.0475
Sticker | EliGE (Glitter) | Rio 2022@0.07@0.0665
Sticker | chopper (Glitter) | Rio 2022@0.09@0.08549999999999999
Souvenir MP7 | Sunbaked (Minimal Wear)@0.04@0.038
Sticker | HexT (Glitter) | Rio 2022@0.1@0.095
Sticker | isak (Glitter) | Rio 2022@0.33@0.3135
Sticker | rigoN (Glitter) | Rio 2022@0.64@0.608
Sticker | IEM (Glitter) | Rio 2022@0.04@0.038
Sticker | faveN (Glitter) | Rio 2022@0.07@0.0665
Sticker | v4lde (Glitter) | Rio 2022@0.07@0.0665
Sticker | qikert (Glitter, Champion) | Rio 2022@0.06@0.056999999999999995
Sticker | Run T, Run@0.1@0.095
Sticker | S1ren (Glitter) | Rio 2022@0.07@0.0665
Sticker | maden (Glitter) | Rio 2022@0.15@0.1425
Sticker | Staehr (Glitter) | Rio 2022@0.06@0.056999999999999995
Sticker | Monster@0.07@0.0665
Sticker | BUDA | Rio 2022@0.13@0.1235
Sticker | Outsiders | Rio 2022@0.01@0.0095
Sticker | Natus Vincere | Rio 2022@0.01@0.0095
Sticker | Dreams And Mimics@0.08@0.076
Sticker | fer | Rio 2022@0.2@0.19
Sticker | Beaky Decade@0.18@0.17099999999999999
Sticker | iM | Rio 2022@0.06@0.056999999999999995
Sticker | Hobbit | Rio 2022@0.24@0.22799999999999998
Souvenir AUG | Snake Pit (Field-Tested)@0.1@0.095
Sticker | dav1deuS | Rio 2022@0.74@0.703
Souvenir R8 Revolver | Inlay (Minimal Wear)@0.04@0.038
Sticker | Cursed Penmanship@0.05@0.0475
Sticker | C-S On The Go@0.04@0.038
Sticker | Imperial Esports | Rio 2022@0.01@0.0095
Sticker | Twistzz | Rio 2022@0.54@0.513
Sticker | Exo Jumper@0.03@0.028499999999999998
Sticker | Not For Resale@0.05@0.0475
Sticker | TV On Mirage@0.04@0.038
Sticker | TRY | Rio 2022@0.12@0.11399999999999999
Sticker | FaZe Clan | Rio 2022@0.02@0.019
Sticker | boltz | Rio 2022@0.09@0.08549999999999999
Sticker | Choose Wisely@0.3@0.285
Sticker | interz | Rio 2022@0.13@0.1235
Sticker | Chicken Whisperer@0.03@0.028499999999999998
Sticker | ropz | Rio 2022@0.08@0.076
Sticker | syrsoN | Rio 2022@0.17@0.1615
Souvenir XM1014 | Hieroglyph (Battle-Scarred)@0.02@0.019
Souvenir R8 Revolver | Inlay (Field-Tested)@0.03@0.028499999999999998
Sticker | Jame | Rio 2022@0.17@0.1615
Souvenir M249 | Submerged (Minimal Wear)@0.01@0.0095
Sticker | electronic | Rio 2022@0.06@0.056999999999999995
Sticker | Free Range@0.02@0.019
Sticker | frozen | Rio 2022@0.06@0.056999999999999995
Sticker | dumau | Rio 2022@0.15@0.1425
Sticker | kabal | Rio 2022@0.04@0.038
Sticker | latto | Rio 2022@0.5@0.475
Souvenir M249 | Submerged (Field-Tested)@0.01@0.0095
Sticker | Sprout Esports | Rio 2022@0.07@0.0665
Sticker | karrigan | Rio 2022@0.02@0.019
Sticker | refrezh | Rio 2022@0.1@0.095
Sticker | qikert | Rio 2022@0.53@0.5035
Sticker | degster | Rio 2022@0.05@0.0475
Sticker | torzsi | Rio 2022@0.09@0.08549999999999999
Sticker | FlameZ | Rio 2022@0.04@0.038
Sticker | FL1T | Rio 2022@0.12@0.11399999999999999
Sticker | sjuush | Rio 2022@0.15@0.1425
Sticker | Perfecto | Rio 2022@0.08@0.076
Sticker | juanflatroo | Rio 2022@0.06@0.056999999999999995
Sticker | Heroic | Rio 2022@0.01@0.0095
Sticker | sdy | Rio 2022@0.12@0.11399999999999999
Sticker | Techno4K | Rio 2022@0.04@0.038
Sticker | TeSeS | Rio 2022@0.07@0.0665
Sticker | gxx- | Rio 2022@0.13@0.1235
Sticker | apEX | Rio 2022@0.06@0.056999999999999995
Sticker | yuurih | Rio 2022@0.07@0.0665
Sticker | siuhy | Rio 2022@0.04@0.038
Sticker | drop | Rio 2022@0.04@0.038
Sticker | Spinx | Rio 2022@0.02@0.019
Sticker | JDC | Rio 2022@0.08@0.076
Sticker | Fnatic | Rio 2022@0.01@0.0095
Sticker | w0nderful | Rio 2022@0.06@0.056999999999999995
Sticker | Vitality | Rio 2022@0.01@0.0095
Sticker | n0rb3r7 (Champion) | Rio 2022@0.02@0.019
Sticker | NEOFRAG | Rio 2022@0.03@0.028499999999999998
Sticker | sinnopsyy | Rio 2022@0.12@0.11399999999999999
Sticker | Keoz | Rio 2022@0.03@0.028499999999999998
Sticker | v4lde | Rio 2022@0.04@0.038
Sticker | S1ren | Rio 2022@0.03@0.028499999999999998
Sticker | tabseN | Rio 2022@0.02@0.019
Sticker | fame (Champion) | Rio 2022@0.01@0.0095
Sticker | HexT | Rio 2022@0.04@0.038
Sticker | GamerLegion | Rio 2022@0.01@0.0095
Sticker | FASHR | Rio 2022@0.04@0.038
Sticker | IHC Esports | Rio 2022@0.01@0.0095
Sticker | aliStair | Rio 2022@0.03@0.028499999999999998
Sticker | OG | Rio 2022@0.01@0.0095
Sticker | Patsi | Rio 2022@0.02@0.019
Sticker | EliGE | Rio 2022@0.05@0.0475
Sticker | faveN | Rio 2022@0.02@0.019
Sticker | Bad News Eagles | Rio 2022@0.01@0.0095
Sticker | Grayhound Gaming | Rio 2022@0.01@0.0095
Sticker | CeRq | Rio 2022@0.08@0.076
Sticker | chopper | Rio 2022@0.04@0.038
Sticker | BIG | Rio 2022@0.01@0.0095
Sticker | Evil Geniuses | Rio 2022@0.01@0.0095
Sticker | karrigan (Glitter) | Rio 2022@0.15@0.1425
Sticker | Dycha (Glitter) | Rio 2022@0.13@0.1235
Sticker | Press Start@0.05@0.0475
Souvenir AUG | Snake Pit (Battle-Scarred)@0.09@0.08549999999999999
Sticker | Not A Bot@0.08@0.076
Sticker | dexter | Rio 2022@0.11@0.1045
Sticker | TACO | Rio 2022@0.29@0.27549999999999997
Sticker | xertioN | Rio 2022@0.13@0.1235
Sticker | Team Spirit | Rio 2022@0.02@0.019
Sticker | rain | Rio 2022@0.08@0.076
Sticker | fame | Rio 2022@0.11@0.1045
Sticker | FURIA | Rio 2022@0.01@0.0095
Sticker | YEKINDAR | Rio 2022@0.02@0.019
Sticker | sk0R | Rio 2022@0.05@0.0475
Sticker | Jame (Champion) | Rio 2022@0.03@0.028499999999999998
Sticker | magixx | Rio 2022@0.04@0.038
Sticker | nicoodoz | Rio 2022@0.18@0.17099999999999999
Sticker | Brollan | Rio 2022@0.02@0.019
Sticker | stavn | Rio 2022@0.03@0.028499999999999998
Sticker | ANNIHILATION | Rio 2022@0.05@0.0475
Sticker | autimatic | Rio 2022@0.19@0.1805
Sticker | maden | Rio 2022@0.03@0.028499999999999998
★ Specialist Gloves | Tiger Strike (Factory New)@2340.0@2223.0
M4A4 | Eye of Horus (Factory New)@621.19@590.1305
★ StatTrak™ Flip Knife | Doppler (Factory New)@655.1@622.345
★ StatTrak™ Flip Knife | Doppler (Factory New)@655.09@622.3355
★ StatTrak™ Flip Knife | Doppler (Factory New)@621.26@590.197
★ StatTrak™ Flip Knife | Doppler (Factory New)@621.27@590.2065
★ StatTrak™ Flip Knife | Doppler (Factory New)@2890.0@2745.5
★ StatTrak™ Flip Knife | Doppler (Factory New)@7000.0@6650.0
★ StatTrak™ Gut Knife | Doppler (Factory New)@257.99@245.0905
★ StatTrak™ Gut Knife | Doppler (Factory New)@811.94@771.343
★ StatTrak™ Gut Knife | Doppler (Factory New)@258.0@245.1
★ StatTrak™ Gut Knife | Doppler (Factory New)@269.99@256.4905
★ Gut Knife | Doppler (Minimal Wear)@272.24@258.628
★ Gut Knife | Doppler (Minimal Wear)@267.66@254.27700000000002
★ Gut Knife | Doppler (Minimal Wear)@267.65@254.26749999999996
★ Bayonet | Doppler (Factory New)@753.89@716.1954999999999
★ Bayonet | Doppler (Factory New)@899.23@854.2685
★ Bayonet | Doppler (Factory New)@753.88@716.1859999999999
★ Bayonet | Doppler (Factory New)@767.6@729.22
★ Bayonet | Doppler (Factory New)@3703.2@3518.0399999999995
★ Bayonet | Doppler (Factory New)@3217.5@3056.625
★ Bayonet | Doppler (Minimal Wear)@945.0@897.75
★ Bayonet | Doppler (Minimal Wear)@888.0@843.5999999999999
★ Bayonet | Doppler (Minimal Wear)@737.38@700.511
★ Bayonet | Doppler (Minimal Wear)@819.99@778.9905
★ Bayonet | Doppler (Minimal Wear)@3120.0@2964.0
★ Flip Knife | Doppler (Factory New)@610.0@579.5
★ Flip Knife | Doppler (Factory New)@740.21@703.1995000000001
★ Flip Knife | Doppler (Factory New)@598.79@568.8504999999999
★ Flip Knife | Doppler (Factory New)@613.5@582.8249999999999
★ Flip Knife | Doppler (Factory New)@3038.9@2886.955
★ Flip Knife | Doppler (Minimal Wear)@848.31@805.8944999999999
★ Flip Knife | Doppler (Minimal Wear)@602.78@572.641
★ M9 Bayonet | Doppler (Factory New)@1739.85@1652.8574999999998
★ M9 Bayonet | Doppler (Factory New)@2259.9@2146.905
★ M9 Bayonet | Doppler (Factory New)@1728.0@1641.6
★ M9 Bayonet | Doppler (Factory New)@2017.35@1916.4824999999998
★ M9 Bayonet | Doppler (Factory New)@10785.0@10245.75
★ M9 Bayonet | Doppler (Minimal Wear)@2308.97@2193.5215
★ M9 Bayonet | Doppler (Minimal Wear)@1793.4@1703.73
★ Karambit | Doppler (Factory New)@2316.41@2200.5894999999996
★ Karambit | Doppler (Factory New)@3375.0@3206.25
★ Karambit | Doppler (Factory New)@2316.42@2200.599
★ Karambit | Doppler (Factory New)@2231.0@2119.45
★ Gut Knife | Doppler (Factory New)@241.76@229.67199999999997
★ Gut Knife | Doppler (Factory New)@236.01@224.2095
★ Gut Knife | Doppler (Factory New)@237.35@225.4825
★ Gut Knife | Doppler (Factory New)@236.0@224.2
★ Gut Knife | Doppler (Factory New)@749.85@712.3575
★ Gut Knife | Doppler (Factory New)@675.0@641.25
★ Karambit | Doppler (Minimal Wear)@2475.0@2351.25
★ Karambit | Doppler (Minimal Wear)@2394.99@2275.2405
★ Karambit | Doppler (Minimal Wear)@2395.0@2275.25
★ StatTrak™ Bayonet | Doppler (Factory New)@919.0@873.05
★ StatTrak™ Bayonet | Doppler (Factory New)@965.0@916.75
★ StatTrak™ Bayonet | Doppler (Factory New)@4100.0@3895.0
★ StatTrak™ M9 Bayonet | Doppler (Factory New)@1690.76@1606.222
★ StatTrak™ M9 Bayonet | Doppler (Factory New)@1690.75@1606.2124999999999
★ StatTrak™ M9 Bayonet | Doppler (Minimal Wear)@11000.0@10450.0
★ StatTrak™ Karambit | Doppler (Factory New)@2222.0@2110.9
★ StatTrak™ Karambit | Doppler (Factory New)@2828.0@2686.6
★ StatTrak™ Karambit | Doppler (Minimal Wear)@2500.0@2375.0
★ Gut Knife | Gamma Doppler (Factory New)@309.84@294.34799999999996
★ Gut Knife | Gamma Doppler (Factory New)@309.85@294.3575
★ Gut Knife | Gamma Doppler (Factory New)@292.89@278.2455
★ Gut Knife | Gamma Doppler (Factory New)@862.4@819.28
★ Flip Knife | Gamma Doppler (Factory New)@814.81@774.0695
★ Flip Knife | Gamma Doppler (Factory New)@1064.99@1011.7405
★ Flip Knife | Gamma Doppler (Factory New)@793.1@753.4449999999999
★ Flip Knife | Gamma Doppler (Factory New)@793.09@753.4355
★ Flip Knife | Gamma Doppler (Factory New)@3144.82@2987.579
★ Flip Knife | Gamma Doppler (Minimal Wear)@900.0@855.0
★ Flip Knife | Gamma Doppler (Minimal Wear)@824.85@783.6075
★ Flip Knife | Gamma Doppler (Minimal Wear)@899.99@854.9905
★ Gut Knife | Gamma Doppler (Minimal Wear)@329.99@313.4905
★ Gut Knife | Gamma Doppler (Minimal Wear)@426.9@405.55499999999995
★ Gut Knife | Gamma Doppler (Minimal Wear)@426.89@405.54549999999995
★ Bayonet | Gamma Doppler (Factory New)@1146.0@1088.7
★ Bayonet | Gamma Doppler (Factory New)@1145.99@1088.6905
★ Bayonet | Gamma Doppler (Factory New)@3850.0@3657.5
★ M9 Bayonet | Gamma Doppler (Factory New)@2457.94@2335.043
★ M9 Bayonet | Gamma Doppler (Factory New)@3355.5@3187.725
★ M9 Bayonet | Gamma Doppler (Factory New)@2490.0@2365.5
★ M9 Bayonet | Gamma Doppler (Factory New)@2499.9@2374.905
★ M9 Bayonet | Gamma Doppler (Factory New)@16800.0@15960.0
★ Karambit | Gamma Doppler (Factory New)@3694.35@3509.6324999999997
★ Karambit | Gamma Doppler (Factory New)@5100.0@4845.0
★ Karambit | Gamma Doppler (Factory New)@3900.0@3705.0
★ Bayonet | Gamma Doppler (Minimal Wear)@1099.99@1044.9904999999999
★ Bayonet | Gamma Doppler (Minimal Wear)@1100.0@1045.0
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New)@801.44@761.368
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New)@801.43@761.3584999999999
★ StatTrak™ Gut Knife | Gamma Doppler (Factory New)@383.79@364.6005
★ StatTrak™ Gut Knife | Gamma Doppler (Factory New)@383.8@364.61
★ StatTrak™ Gut Knife | Gamma Doppler (Factory New)@374.08@355.376
★ StatTrak™ Bayonet | Gamma Doppler (Factory New)@969.24@920.778
★ StatTrak™ Bayonet | Gamma Doppler (Factory New)@1312.63@1246.9985000000001
★ StatTrak™ Karambit | Gamma Doppler (Factory New)@3299.85@3134.8574999999996
★ StatTrak™ Karambit | Gamma Doppler (Factory New)@3184.99@3025.7404999999994
★ StatTrak™ Karambit | Gamma Doppler (Factory New)@3164.99@3006.7404999999994
★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)@3700.0@3515.0
★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)@2319.72@2203.734
★ StatTrak™ M9 Bayonet | Gamma Doppler (Factory New)@2319.71@2203.7245
★ M9 Bayonet | Gamma Doppler (Minimal Wear)@2700.0@2565.0
★ M9 Bayonet | Gamma Doppler (Minimal Wear)@2895.01@2750.2595
★ Karambit | Gamma Doppler (Minimal Wear)@3702.0@3516.8999999999996
★ Shadow Daggers | Doppler (Factory New)@239.53@227.55349999999999
★ Shadow Daggers | Doppler (Factory New)@309.75@294.2625
★ Shadow Daggers | Doppler (Factory New)@241.39@229.32049999999998
★ Shadow Daggers | Doppler (Factory New)@249.47@236.9965
★ Shadow Daggers | Doppler (Factory New)@570.0@541.5
★ Shadow Daggers | Doppler (Factory New)@475.0@451.25
★ Falchion Knife | Doppler (Factory New)@491.58@467.001
★ Falchion Knife | Doppler (Factory New)@609.75@579.2624999999999
★ Falchion Knife | Doppler (Factory New)@491.59@467.0105
★ Falchion Knife | Doppler (Factory New)@507.68@482.296
★ Falchion Knife | Doppler (Factory New)@1327.48@1261.106
★ Falchion Knife | Doppler (Factory New)@932.0@885.4
★ Huntsman Knife | Doppler (Factory New)@699.9@664.905
★ Huntsman Knife | Doppler (Factory New)@554.87@527.1265
★ Huntsman Knife | Doppler (Factory New)@698.05@663.1474999999999
★ Huntsman Knife | Doppler (Factory New)@1250.0@1187.5
★ Bowie Knife | Doppler (Factory New)@596.89@567.0455
★ Bowie Knife | Doppler (Factory New)@591.18@561.621
★ Bowie Knife | Doppler (Factory New)@523.77@497.58149999999995
★ Bowie Knife | Doppler (Factory New)@523.76@497.57199999999995
★ Bowie Knife | Doppler (Factory New)@1700.0@1615.0
★ Bowie Knife | Doppler (Factory New)@1100.0@1045.0
★ Bowie Knife | Doppler (Factory New)@2500.0@2375.0
★ Butterfly Knife | Doppler (Factory New)@4004.85@3804.6074999999996
★ Butterfly Knife | Doppler (Factory New)@7972.49@7573.8655
★ Butterfly Knife | Doppler (Factory New)@3574.39@3395.6704999999997
★ Butterfly Knife | Doppler (Factory New)@4755.0@4517.25
★ Butterfly Knife | Doppler (Factory New)@18107.0@17201.649999999998
★ StatTrak™ Bowie Knife | Doppler (Factory New)@585.8@556.5099999999999
★ StatTrak™ Bowie Knife | Doppler (Factory New)@1340.0@1273.0
★ StatTrak™ Bowie Knife | Doppler (Factory New)@994.85@945.1075
★ StatTrak™ Butterfly Knife | Doppler (Factory New)@8085.0@7680.75
★ StatTrak™ Butterfly Knife | Doppler (Factory New)@3413.8@3243.11
★ StatTrak™ Butterfly Knife | Doppler (Factory New)@5555.0@5277.25
★ StatTrak™ Shadow Daggers | Doppler (Factory New)@585.49@556.2155
★ StatTrak™ Shadow Daggers | Doppler (Factory New)@303.0@287.84999999999997
★ StatTrak™ Shadow Daggers | Doppler (Factory New)@900.46@855.437
★ Falchion Knife | Doppler (Minimal Wear)@668.16@634.752
★ Falchion Knife | Doppler (Minimal Wear)@612.5@581.875
★ Falchion Knife | Doppler (Minimal Wear)@668.15@634.7425
★ StatTrak™ Falchion Knife | Doppler (Factory New)@613.27@582.6065
★ StatTrak™ Falchion Knife | Doppler (Factory New)@558.6@530.67
★ StatTrak™ Falchion Knife | Doppler (Factory New)@585.8@556.5099999999999
★ StatTrak™ Huntsman Knife | Doppler (Factory New)@874.53@830.8035
★ StatTrak™ Huntsman Knife | Doppler (Factory New)@829.31@787.8444999999999
★ Butterfly Knife | Doppler (Minimal Wear)@3677.67@3493.7864999999997
★ Butterfly Knife | Doppler (Minimal Wear)@3675.0@3491.25
★ Bowie Knife | Doppler (Minimal Wear)@683.85@649.6575
★ Bowie Knife | Doppler (Minimal Wear)@683.84@649.648
★ Shadow Daggers | Doppler (Minimal Wear)@295.0@280.25
★ Shadow Daggers | Doppler (Minimal Wear)@294.54@279.813
★ Shadow Daggers | Doppler (Minimal Wear)@294.55@279.8225
★ StatTrak™ Huntsman Knife | Doppler (Minimal Wear)@980.0@931.0
★ Huntsman Knife | Doppler (Minimal Wear)@927.63@881.2484999999999
★ Huntsman Knife | Doppler (Minimal Wear)@1244.12@1181.9139999999998
★ Huntsman Knife | Doppler (Minimal Wear)@754.82@717.0790000000001
★ StatTrak™ Butterfly Knife | Doppler (Minimal Wear)@3515.78@3339.991
★ Talon Knife | Doppler (Minimal Wear)@1333.2@1266.54
★ Talon Knife | Doppler (Minimal Wear)@1565.5@1487.225
★ Stiletto Knife | Doppler (Factory New)@862.5@819.375
★ Stiletto Knife | Doppler (Factory New)@1079.25@1025.2875
★ Stiletto Knife | Doppler (Factory New)@846.13@803.8235
★ Stiletto Knife | Doppler (Factory New)@3543.6@3366.4199999999996
★ Stiletto Knife | Doppler (Factory New)@2715.0@2579.25
★ Talon Knife | Doppler (Factory New)@1350.0@1282.5
★ Talon Knife | Doppler (Factory New)@1579.8@1500.81
★ Talon Knife | Doppler (Factory New)@1318.35@1252.4325
★ Talon Knife | Doppler (Factory New)@5531.9@5255.304999999999
★ Talon Knife | Doppler (Factory New)@4899.71@4654.7245
★ Ursus Knife | Doppler (Factory New)@522.75@496.61249999999995
★ Ursus Knife | Doppler (Factory New)@524.2@497.99
★ Ursus Knife | Doppler (Factory New)@522.74@496.603
★ Ursus Knife | Doppler (Factory New)@1860.29@1767.2755
★ Ursus Knife | Doppler (Factory New)@1404.9@1334.655
★ Ursus Knife | Doppler (Factory New)@1599.0@1519.05
★ Navaja Knife | Doppler (Factory New)@213.9@203.20499999999998
★ Navaja Knife | Doppler (Factory New)@248.46@236.037
★ Navaja Knife | Doppler (Factory New)@213.89@203.19549999999998
★ Navaja Knife | Doppler (Factory New)@213.88@203.18599999999998
★ Navaja Knife | Doppler (Factory New)@599.85@569.8575
★ Navaja Knife | Doppler (Factory New)@579.14@550.183
★ Ursus Knife | Doppler (Minimal Wear)@594.0@564.3
★ Ursus Knife | Doppler (Minimal Wear)@790.0@750.5
★ Stiletto Knife | Doppler (Minimal Wear)@1000.0@950.0
★ StatTrak™ Talon Knife | Doppler (Factory New)@1408.2@1337.79
★ StatTrak™ Talon Knife | Doppler (Factory New)@5000.0@4750.0
★ StatTrak™ Ursus Knife | Doppler (Factory New)@568.4@539.9799999999999
★ StatTrak™ Ursus Knife | Doppler (Factory New)@568.41@539.9894999999999
★ StatTrak™ Ursus Knife | Doppler (Factory New)@1524.0@1447.8
★ StatTrak™ Navaja Knife | Doppler (Factory New)@328.15@311.74249999999995
★ StatTrak™ Navaja Knife | Doppler (Factory New)@461.99@438.8905
★ StatTrak™ Stiletto Knife | Doppler (Factory New)@1009.64@959.1579999999999
★ StatTrak™ Stiletto Knife | Doppler (Factory New)@1009.63@959.1484999999999
★ StatTrak™ Stiletto Knife | Doppler (Factory New)@3676.12@3492.314
★ Navaja Knife | Doppler (Minimal Wear)@259.29@246.3255
★ Navaja Knife | Doppler (Minimal Wear)@262.0@248.89999999999998
★ Navaja Knife | Doppler (Minimal Wear)@247.45@235.0775
★ StatTrak™ Stiletto Knife | Doppler (Minimal Wear)@1100.0@1045.0
★ Bowie Knife | Gamma Doppler (Factory New)@447.39@425.02049999999997
★ Bowie Knife | Gamma Doppler (Factory New)@457.33@434.46349999999995
★ Bowie Knife | Gamma Doppler (Factory New)@447.38@425.01099999999997
★ Bowie Knife | Gamma Doppler (Factory New)@449.88@427.38599999999997
★ Bowie Knife | Gamma Doppler (Factory New)@1271.0@1207.45
★ Bowie Knife | Gamma Doppler (Minimal Wear)@477.0@453.15
★ Bowie Knife | Gamma Doppler (Minimal Wear)@476.99@453.1405
★ Bowie Knife | Gamma Doppler (Minimal Wear)@1206.65@1146.3175
★ Falchion Knife | Gamma Doppler (Factory New)@468.2@444.78999999999996
★ Falchion Knife | Gamma Doppler (Factory New)@478.04@454.138
★ Falchion Knife | Gamma Doppler (Factory New)@468.21@444.79949999999997
★ Falchion Knife | Gamma Doppler (Factory New)@470.4@446.87999999999994
★ Falchion Knife | Gamma Doppler (Factory New)@1140.0@1083.0
★ Huntsman Knife | Gamma Doppler (Factory New)@522.0@495.9
★ Huntsman Knife | Gamma Doppler (Factory New)@484.5@460.275
★ Huntsman Knife | Gamma Doppler (Factory New)@487.5@463.125
★ Huntsman Knife | Gamma Doppler (Factory New)@1472.5@1398.875
★ Huntsman Knife | Gamma Doppler (Minimal Wear)@534.96@508.212
★ Huntsman Knife | Gamma Doppler (Minimal Wear)@534.97@508.2215
