name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Ursus Knife | Tiger Tooth (Factory New)@374.84@356.098@469.99@460.5902@shadowpay@csdeals@85.75
★ StatTrak™ Ursus Knife | Slaughter (Factory New)@376.0@330.88@736.94@700.0930000000001@skinport@shadowpay@324.09
★ StatTrak™ Ursus Knife | Marble Fade (Minimal Wear)@415.36@365.5168@509.85@484.3575@skinport@shadowpay@69.0
★ StatTrak™ Ursus Knife | Marble Fade (Factory New)@414.75@364.98@549.99@538.9902@skinport@csdeals@124.24
★ StatTrak™ Ursus Knife | Marble Fade (Factory New)@368.65@350.2175@549.99@538.9902@shadowpay@csdeals@170.34
★ StatTrak™ Ursus Knife | Forest DDPAT (Field-Tested)@136.92@120.4896@174.66@165.927@skinport@shadowpay@29.01
★ StatTrak™ Ursus Knife | Fade (Factory New)@465.21@409.3848@548.71@521.2745@skinport@shadowpay@56.06
★ StatTrak™ Ursus Knife | Fade (Factory New)@465.21@409.3848@775.0@759.5@skinport@csdeals@294.29
★ StatTrak™ Ursus Knife | Fade (Factory New)@548.71@521.2745@775.0@759.5@shadowpay@csdeals@210.79
★ StatTrak™ Ursus Knife | Doppler (Factory New)@495.0@435.6@568.4@539.9799999999999@skinport@shadowpay@44.98
★ StatTrak™ Ursus Knife | Doppler (Factory New)@495.0@435.6@568.41@539.9894999999999@skinport@shadowpay@44.99
★ StatTrak™ Ursus Knife | Doppler (Factory New)@495.0@435.6@1524.0@1447.8@skinport@shadowpay@952.8
★ StatTrak™ Ursus Knife | Damascus Steel (Factory New)@200.0@176.0@300.0@285.0@skinport@shadowpay@85.0
★ StatTrak™ Ursus Knife | Damascus Steel (Factory New)@213.58@209.3084@300.0@285.0@csdeals@shadowpay@71.42
★ StatTrak™ Ursus Knife | Case Hardened (Minimal Wear)@294.54@279.813@419.99@369.5912@shadowpay@skinport@75.05
★ StatTrak™ Ursus Knife | Case Hardened (Battle-Scarred)@228.63@217.1985@699.99@615.9912@shadowpay@skinport@387.36
★ StatTrak™ Ursus Knife | Boreal Forest (Field-Tested)@160.24@141.0112@249.0@236.55@skinport@shadowpay@76.31
★ StatTrak™ Ursus Knife | Blue Steel (Minimal Wear)@205.11@180.4968@346.5@329.175@skinport@shadowpay@124.06
★ StatTrak™ Ursus Knife@282.0@248.16@365.0@357.7@skinport@csdeals@75.7
★ StatTrak™ Ursus Knife@264.14@250.933@365.0@357.7@shadowpay@csdeals@93.56
★ StatTrak™ Talon Knife | Ultraviolet (Field-Tested)@420.87@370.3656@648.59@616.1605@skinport@shadowpay@195.29
★ StatTrak™ Talon Knife | Tiger Tooth (Factory New)@789.0@694.32@903.66@858.477@skinport@shadowpay@69.48
★ StatTrak™ Talon Knife | Stained (Field-Tested)@416.5@366.52@599.01@569.0595@skinport@shadowpay@152.56
★ StatTrak™ Talon Knife | Scorched (Well-Worn)@320.0@281.6@367.5@349.125@skinport@shadowpay@29.12
★ StatTrak™ Talon Knife | Marble Fade (Factory New)@855.0@752.4@1590.08@1510.5759999999998@skinport@shadowpay@655.58
★ StatTrak™ Talon Knife | Marble Fade (Factory New)@855.0@752.4@1085.0@1063.3@skinport@csdeals@208.3
★ StatTrak™ Talon Knife | Marble Fade (Factory New)@1085.0@1063.3@1590.08@1510.5759999999998@csdeals@shadowpay@425.58
★ StatTrak™ Talon Knife | Forest DDPAT (Minimal Wear)@454.13@399.6344@641.64@609.558@skinport@shadowpay@155.43
★ StatTrak™ Talon Knife | Fade (Minimal Wear)@1599.0@1519.05@1845.12@1623.7056@shadowpay@skinport@24.71
★ StatTrak™ Talon Knife | Fade (Minimal Wear)@1499.99@1469.9902@1845.12@1623.7056@csdeals@skinport@123.72
★ StatTrak™ Talon Knife | Fade (Minimal Wear)@1499.99@1469.9902@1599.0@1519.05@csdeals@shadowpay@19.06
★ StatTrak™ Talon Knife | Fade (Factory New)@1297.31@1141.6328@1451.34@1378.773@skinport@shadowpay@81.46
★ StatTrak™ Talon Knife | Doppler (Factory New)@1173.11@1032.3367999999998@1408.2@1337.79@skinport@shadowpay@164.68
★ StatTrak™ Talon Knife | Doppler (Factory New)@1173.11@1032.3367999999998@5000.0@4750.0@skinport@shadowpay@3576.89
★ StatTrak™ Talon Knife | Damascus Steel (Minimal Wear)@550.0@539.0@608.28@577.866@csdeals@shadowpay@27.87
★ StatTrak™ Talon Knife | Damascus Steel (Field-Tested)@450.72@396.6336@490.0@480.2@skinport@csdeals@29.48
★ StatTrak™ Talon Knife | Boreal Forest (Minimal Wear)@408.59@359.5592@469.0@445.55@skinport@shadowpay@36.96
★ StatTrak™ Talon Knife | Boreal Forest (Field-Tested)@399.99@351.9912@456.79@433.9505@skinport@shadowpay@33.96
★ StatTrak™ Talon Knife | Blue Steel (Minimal Wear)@600.0@528.0@881.21@837.1495@skinport@shadowpay@237.15
★ StatTrak™ Talon Knife@536.1@471.768@625.0@612.5@skinport@csdeals@76.4
★ StatTrak™ Talon Knife@569.99@541.4905@625.0@612.5@shadowpay@csdeals@42.51
★ StatTrak™ Survival Knife | Urban Masked (Battle-Scarred)@131.98@116.1424@162.41@154.28949999999998@skinport@shadowpay@22.31
★ StatTrak™ Survival Knife | Stained (Field-Tested)@140.0@123.2@175.42@166.64899999999997@skinport@shadowpay@26.65
★ StatTrak™ Survival Knife | Stained (Battle-Scarred)@180.11@171.1045@817.99@719.8312@shadowpay@skinport@539.72
★ StatTrak™ Survival Knife | Slaughter (Minimal Wear)@278.21@264.2995@320.0@313.6@shadowpay@csdeals@35.39
★ StatTrak™ Survival Knife | Slaughter (Factory New)@290.65@255.772@348.07@330.6665@skinport@shadowpay@40.02
★ StatTrak™ Survival Knife | Slaughter (Factory New)@290.65@255.772@525.0@514.5@skinport@csdeals@223.85
★ StatTrak™ Survival Knife | Slaughter (Factory New)@348.07@330.6665@525.0@514.5@shadowpay@csdeals@166.43
★ StatTrak™ Survival Knife | Case Hardened (Minimal Wear)@250.0@220.0@304.99@289.7405@skinport@shadowpay@39.74
★ StatTrak™ Survival Knife | Case Hardened (Field-Tested)@215.33@189.4904@259.55@246.5725@skinport@shadowpay@31.24
★ StatTrak™ Survival Knife | Blue Steel (Factory New)@327.52@288.2176@390.0@370.5@skinport@shadowpay@42.98
★ StatTrak™ Survival Knife@208.02@183.0576@330.0@323.4@skinport@csdeals@115.38
★ StatTrak™ Survival Knife@186.38@177.06099999999998@330.0@323.4@shadowpay@csdeals@137.02
★ StatTrak™ Stiletto Knife | Ultraviolet (Minimal Wear)@365.0@321.2@394.88@375.136@skinport@shadowpay@10.14
★ StatTrak™ Stiletto Knife | Tiger Tooth (Factory New)@551.29@485.1352@615.32@584.554@skinport@shadowpay@33.26
★ StatTrak™ Stiletto Knife | Stained (Battle-Scarred)@415.07@365.2616@494.85@470.1075@skinport@shadowpay@55.04
★ StatTrak™ Stiletto Knife | Rust Coat (Battle-Scarred)@307.85@270.908@353.83@336.1385@skinport@shadowpay@28.29
★ StatTrak™ Stiletto Knife | Night Stripe (Field-Tested)@256.22@225.47360000000003@290.34@275.823@skinport@shadowpay@19.6
★ StatTrak™ Stiletto Knife | Fade (Factory New)@800.0@704.0@945.13@897.8734999999999@skinport@shadowpay@97.87
★ StatTrak™ Stiletto Knife | Fade (Factory New)@800.0@704.0@925.0@906.5@skinport@csdeals@106.5
★ StatTrak™ Stiletto Knife | Doppler (Factory New)@1000.0@880.0@3676.12@3492.314@skinport@shadowpay@2492.31
★ StatTrak™ Stiletto Knife | Damascus Steel (Minimal Wear)@405.0@356.4@472.21@448.5995@skinport@shadowpay@43.6
★ StatTrak™ Stiletto Knife | Damascus Steel (Factory New)@415.5@365.64@525.0@498.75@skinport@shadowpay@83.25
★ StatTrak™ Stiletto Knife | Crimson Web (Minimal Wear)@456.66@401.8608@680.0@646.0@skinport@shadowpay@189.34
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested)@337.87@297.3256@488.96@464.512@skinport@shadowpay@126.64
