name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Talon Knife | Blue Steel (Well-Worn)@445.33@436.4234@536.0@509.2@csdeals@shadowpay@63.87
★ Navaja Knife | Blue Steel (Field-Tested)@84.27@82.5846@104.52@99.294@csdeals@shadowpay@15.02
★ StatTrak™ Stiletto Knife | Crimson Web (Field-Tested)@374.99@367.4902@425.0@403.75@csdeals@shadowpay@28.76
Sticker | DickStacy | Katowice 2019@40.0@39.2@57.13@54.2735@csdeals@shadowpay@14.27
Sticker | NiKo (Foil) | Katowice 2019@9.14@8.9572@45.15@42.8925@csdeals@shadowpay@33.75
★ StatTrak™ Talon Knife@699.99@685.9902@799.0@759.05@csdeals@shadowpay@59.06
★ Talon Knife | Night Stripe (Well-Worn)@327.9@321.342@360.66@342.627@csdeals@shadowpay@14.73
★ Ursus Knife | Marble Fade (Factory New)@517.71@507.3558@568.28@539.866@csdeals@shadowpay@22.16
Sticker | DickStacy | Berlin 2019@21.99@21.5502@27.29@25.9255@csdeals@shadowpay@3.94
Sticker | forZe eSports (Foil) | Berlin 2019@7.0@6.859999999999999@12.38@11.761@csdeals@shadowpay@4.76
Sticker | f0rest (Gold) | Berlin 2019@50.0@49.0@54.8@52.06@csdeals@shadowpay@2.06
AUG | Death by Puppy (Factory New)@12.0@11.76@14.91@14.1645@csdeals@shadowpay@2.16
★ Classic Knife | Fade (Factory New)@879.9@862.3019999999999@999.98@949.981@csdeals@shadowpay@70.08
★ Classic Knife@499.99@489.9902@529.98@503.481@csdeals@shadowpay@3.49
StatTrak™ AUG | Death by Puppy (Factory New)@25.99@25.4702@52.75@50.1125@csdeals@shadowpay@24.12
Desert Eagle | Emerald Jörmungandr (Factory New)@299.99@293.9902@318.3@302.385@csdeals@shadowpay@2.39
AWP | Containment Breach (Well-Worn)@65.0@63.7@76.38@72.56099999999999@csdeals@shadowpay@7.56
AUG | Midnight Lily (Minimal Wear)@350.0@343.0@467.89@444.4955@csdeals@shadowpay@94.5
AUG | Midnight Lily (Factory New)@380.0@372.4@474.45@450.7275@csdeals@shadowpay@70.73
★ StatTrak™ Survival Knife@319.99@313.5902@480.0@456.0@csdeals@shadowpay@136.01
Glock-18 | Synth Leaf (Factory New)@299.99@293.9902@498.64@473.708@csdeals@shadowpay@173.72
★ StatTrak™ Classic Knife | Scorched (Field-Tested)@144.0@141.12@229.98@218.481@csdeals@shadowpay@74.48
★ Paracord Knife | Night Stripe (Field-Tested)@134.99@132.2902@148.05@140.6475@csdeals@shadowpay@5.66
★ Survival Knife | Scorched (Battle-Scarred)@130.99@128.3702@157.0@149.15@csdeals@shadowpay@18.16
Sticker | Health (Gold)@14.99@14.6902@20.64@19.608@csdeals@shadowpay@4.62
StatTrak™ AWP | Capillary (Factory New)@7.45@7.301@10.4@9.88@csdeals@shadowpay@2.43
StatTrak™ MAG-7 | Justice (Minimal Wear)@12.9@12.642@17.92@17.024@csdeals@shadowpay@4.12
FAMAS | Dark Water (Minimal Wear)@11.99@11.7502@16.07@15.2665@csdeals@shadowpay@3.28
USP-S | Monster Mashup (Field-Tested)@14.46@14.1708@17.43@16.5585@csdeals@shadowpay@2.1
Sticker | Hello AK-47 (Gold)@4.34@4.2532@7.74@7.353@csdeals@shadowpay@3.01
Patch | Metal Silver Demon@14.99@14.6902@21.5@20.425@csdeals@shadowpay@5.44
★ Moto Gloves | 3rd Commando Company (Battle-Scarred)@60.0@58.8@71.19@67.6305@csdeals@shadowpay@7.63
StatTrak™ M4A1-S | Printstream (Battle-Scarred)@175.0@171.5@200.0@190.0@csdeals@shadowpay@15.0
Five-SeveN | Berries And Cherries (Minimal Wear)@64.99@63.6902@85.47@81.1965@csdeals@shadowpay@16.21
★ Broken Fang Gloves | Unhinged (Battle-Scarred)@55.0@53.9@64.01@60.8095@csdeals@shadowpay@5.81
Glock-18 | Gamma Doppler (Field-Tested)@23.58@23.1084@27.5@26.125@csdeals@shadowpay@2.55
G3SG1 | New Roots (Field-Tested)@15.99@15.6702@20.28@19.266@csdeals@shadowpay@3.28
Glock-18 | Gamma Doppler (Minimal Wear)@30.39@29.7822@34.1@32.395@csdeals@shadowpay@2.01
Sticker | Flame Buttery (Holo)@7.25@7.105@10.53@10.0035@csdeals@shadowpay@2.75
AUG | Sand Storm (Factory New)@55.0@53.9@86.75@82.4125@csdeals@shadowpay@27.41
USP-S | Orange Anolis (Minimal Wear)@89.01@87.2298@99.17@94.2115@csdeals@shadowpay@5.2
AK-47 | Green Laminate (Field-Tested)@10.99@10.7702@15.0@14.25@csdeals@shadowpay@3.26
AK-47 | Leet Museo (Minimal Wear)@23.05@22.589@26.8@25.46@csdeals@shadowpay@2.41
Sticker | Mood Ring Strafe (Holo)@6.9@6.7620000000000005@14.08@13.376@csdeals@shadowpay@6.48
★ Butterfly Knife | Bright Water (Factory New)@1200.0@1176.0@1390.0@1320.5@csdeals@shadowpay@120.5
★ Huntsman Knife | Black Laminate (Field-Tested)@178.2@174.636@213.77@203.0815@csdeals@shadowpay@24.88
★ Huntsman Knife | Black Laminate (Minimal Wear)@190.0@186.2@254.14@241.433@csdeals@shadowpay@51.43
★ StatTrak™ Huntsman Knife | Freehand (Factory New)@199.99@195.9902@249.99@237.4905@csdeals@shadowpay@37.5
Sticker | 9z Team (Holo) | Antwerp 2022@7.5@7.35@10.16@9.652@csdeals@shadowpay@2.15
USP-S | Printstream (Field-Tested)@48.18@47.2164@53.38@50.711@csdeals@shadowpay@2.53
StatTrak™ SG 553 | Dragon Tech (Field-Tested)@1.31@1.2838@7.43@7.0585@csdeals@shadowpay@5.75
StatTrak™ M249 | Downtown (Factory New)@5.34@5.2332@9.3@8.835@csdeals@shadowpay@3.5
StatTrak™ USP-S | Printstream (Minimal Wear)@150.0@147.0@187.1@177.74499999999998@csdeals@shadowpay@27.74
Sticker | 00 Nation (Gold) | Rio 2022@19.99@19.5902@25.97@24.6715@csdeals@shadowpay@4.68
Sticker | BUDA (Holo) | Rio 2022@4.0@3.92@6.53@6.2035@csdeals@shadowpay@2.2
AK-47 | Head Shot (Battle-Scarred)@15.0@14.7@18.68@17.746@csdeals@shadowpay@2.75
