name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ StatTrak™ Navaja Knife | Marble Fade (Factory New)@207.0@196.65@245.6@216.128@shadowpay@skinport@9.13
★ StatTrak™ Navaja Knife | Safari Mesh (Minimal Wear)@104.0@98.8@122.62@107.9056@shadowpay@skinport@3.91
★ StatTrak™ Paracord Knife@385.0@365.75@456.28@401.5264@shadowpay@skinport@16.53
★ StatTrak™ Paracord Knife | Blue Steel (Battle-Scarred)@185.84@176.548@222.58@195.8704@shadowpay@skinport@10.03
★ StatTrak™ Paracord Knife | Case Hardened (Minimal Wear)@430.0@408.5@500.0@440.0@shadowpay@skinport@10.0
★ StatTrak™ Paracord Knife | Crimson Web (Field-Tested)@300.0@285.0@356.12@313.3856@shadowpay@skinport@13.39
★ StatTrak™ Paracord Knife | Scorched (Minimal Wear)@163.0@154.85@229.48@201.9424@shadowpay@skinport@38.94
★ StatTrak™ Paracord Knife | Urban Masked (Minimal Wear)@149.74@142.253@192.91@169.7608@shadowpay@skinport@20.02
★ StatTrak™ Shadow Daggers | Doppler (Factory New)@294.63@279.8985@343.54@302.3152@shadowpay@skinport@7.69
★ StatTrak™ Shadow Daggers | Freehand (Field-Tested)@153.93@146.2335@187.29@164.8152@shadowpay@skinport@10.89
★ StatTrak™ Shadow Daggers | Urban Masked (Field-Tested)@143.27@136.1065@207.8@182.864@shadowpay@skinport@39.59
★ StatTrak™ Skeleton Knife | Case Hardened (Field-Tested)@770.0@731.5@973.78@856.9264@shadowpay@skinport@86.93
★ StatTrak™ Skeleton Knife | Case Hardened (Well-Worn)@538.0@511.1@8867.34@7803.2592@shadowpay@skinport@7265.26
★ StatTrak™ Skeleton Knife | Crimson Web (Battle-Scarred)@850.0@807.5@1000.0@880.0@shadowpay@skinport@30.0
★ StatTrak™ Skeleton Knife | Stained (Minimal Wear)@641.82@609.729@818.47@720.2536@shadowpay@skinport@78.43
★ StatTrak™ Skeleton Knife | Urban Masked (Field-Tested)@363.63@345.4485@664.53@584.7864@shadowpay@skinport@221.16
★ StatTrak™ Survival Knife | Blue Steel (Minimal Wear)@213.66@202.977@265.44@233.5872@shadowpay@skinport@19.93
★ StatTrak™ Talon Knife | Fade (Factory New)@1745.47@1658.1965@2186.39@1924.0232@shadowpay@skinport@178.55
★ StatTrak™ Ursus Knife | Case Hardened (Minimal Wear)@298.98@284.031@723.38@636.5744@shadowpay@skinport@337.59
★ StatTrak™ Ursus Knife | Damascus Steel (Minimal Wear)@229.99@218.4905@332.5@292.6@shadowpay@skinport@62.61
★ StatTrak™ Ursus Knife | Rust Coat (Battle-Scarred)@144.89@137.64549999999997@181.56@159.7728@shadowpay@skinport@14.88
★ StatTrak™ Ursus Knife | Safari Mesh (Minimal Wear)@184.03@174.8285@298.73@262.8824@shadowpay@skinport@78.85
★ StatTrak™ Ursus Knife | Stained (Minimal Wear)@219.0@208.05@277.4@244.112@shadowpay@skinport@25.11
★ Stiletto Knife | Damascus Steel (Battle-Scarred)@260.33@247.3135@311.55@274.164@shadowpay@skinport@13.83
★ Stiletto Knife | Doppler (Minimal Wear)@800.0@760.0@4339.86@3819.0768@shadowpay@skinport@3019.08
★ Stiletto Knife | Rust Coat (Well-Worn)@315.0@299.25@481.93@424.0984@shadowpay@skinport@109.1
★ Survival Knife | Safari Mesh (Well-Worn)@121.47@115.3965@207.74@182.8112@shadowpay@skinport@61.34
★ Survival Knife | Stained (Well-Worn)@137.2@130.33999999999995@189.19@166.4872@shadowpay@skinport@29.29
★ Talon Knife | Blue Steel (Well-Worn)@405.16@384.902@483.11@425.1368@shadowpay@skinport@19.98
★ Talon Knife | Case Hardened (Factory New)@1127.2@1070.84@15433.46@13581.4448@shadowpay@skinport@12454.24
★ Talon Knife | Stained (Well-Worn)@378.9@359.955@455.01@400.4088@shadowpay@skinport@21.51
★ Ursus Knife | Boreal Forest (Minimal Wear)@140.0@133.0@161.37@142.00560000000002@shadowpay@skinport@2.01
★ Ursus Knife | Night Stripe (Battle-Scarred)@125.85@119.5575@150.24@132.21120000000002@shadowpay@skinport@6.36
★ Ursus Knife | Safari Mesh (Battle-Scarred)@115.0@109.25@288.04@253.47520000000003@shadowpay@skinport@138.48
AK-47 | Black Laminate (Field-Tested)@29.26@27.797@35.61@31.3368@shadowpay@skinport@2.08
AK-47 | Black Laminate (Minimal Wear)@36.01@34.2095@43.4@38.192@shadowpay@skinport@2.18
AK-47 | Black Laminate (Well-Worn)@30.68@29.146@1899.0@1671.12@shadowpay@skinport@1640.44
AK-47 | Blue Laminate (Well-Worn)@11.33@10.7635@15.55@13.684@shadowpay@skinport@2.35
AK-47 | Emerald Pinstripe (Factory New)@13.63@12.9485@20.87@18.3656@shadowpay@skinport@4.74
AK-47 | Green Laminate (Well-Worn)@21.12@20.064@52.66@46.3408@shadowpay@skinport@25.22
AK-47 | Head Shot (Factory New)@169.86@161.36700000000002@216.79@190.7752@shadowpay@skinport@20.92
AK-47 | Jungle Spray (Battle-Scarred)@5.91@5.6145@10.0@8.8@shadowpay@skinport@2.89
AK-47 | Orbit Mk01 (Well-Worn)@12.54@11.912999999999998@26.32@23.1616@shadowpay@skinport@10.62
AK-47 | Red Laminate (Factory New)@498.0@473.1@721.82@635.2016000000001@shadowpay@skinport@137.2
AK-47 | Wasteland Rebel (Battle-Scarred)@25.22@23.959@31.22@27.4736@shadowpay@skinport@2.25
AK-47 | X-Ray (Field-Tested)@940.0@893.0@1435.71@1263.4248@shadowpay@skinport@323.42
AK-47 | X-Ray (Minimal Wear)@1600.0@1520.0@2099.0@1847.12@shadowpay@skinport@247.12
Antwerp 2022 Dust II Souvenir Package@11.07@10.5165@15.91@14.0008@shadowpay@skinport@2.93
AUG | Anodized Navy (Factory New)@24.92@23.674@32.26@28.3888@shadowpay@skinport@3.47
AUG | Carved Jade (Factory New)@22.55@21.4225@32.87@28.9256@shadowpay@skinport@6.38
AUG | Copperhead (Minimal Wear)@168.28@159.866@222.58@195.8704@shadowpay@skinport@27.59
AUG | Navy Murano (Factory New)@2.73@2.5935@5.55@4.884@shadowpay@skinport@2.15
AUG | Random Access (Factory New)@6.5@6.175@10.67@9.3896@shadowpay@skinport@2.89
Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016@5.5@5.225@9.47@8.3336@shadowpay@skinport@2.83
AWP | Desert Hydra (Minimal Wear)@2600.0@2470.0@3056.7@2689.896@shadowpay@skinport@89.9
AWP | Elite Build (Factory New)@30.36@28.842@41.17@36.229600000000005@shadowpay@skinport@5.87
AWP | Gungnir (Battle-Scarred)@7704.99@7319.7405@9181.34@8079.5792@shadowpay@skinport@374.59
AWP | Phobos (Well-Worn)@2.6@2.47@22.25@19.58@shadowpay@skinport@16.98
AWP | Safari Mesh (Factory New)@2.54@2.413@5.55@4.884@shadowpay@skinport@2.34
AWP | Silk Tiger (Well-Worn)@113.09@107.4355@154.69@136.1272@shadowpay@skinport@23.04
Boston 2018 Cache Souvenir Package@22.0@20.9@27.82@24.4816@shadowpay@skinport@2.48
CZ75-Auto | Poison Dart (Factory New)@5.23@4.968500000000001@11.12@9.7856@shadowpay@skinport@4.56
CZ75-Auto | Tread Plate (Factory New)@8.57@8.1415@19.28@16.9664@shadowpay@skinport@8.4
CZ75-Auto | Victoria (Factory New)@11.53@10.953499999999998@15.57@13.7016@shadowpay@skinport@2.17
CZ75-Auto | Victoria (Field-Tested)@6.81@6.469499999999999@166.93@146.8984@shadowpay@skinport@140.09
CZ75-Auto | Xiangliu (Well-Worn)@8.13@7.7235@12.24@10.7712@shadowpay@skinport@2.64
Desert Eagle | Code Red (Battle-Scarred)@16.18@15.371@21.49@18.9112@shadowpay@skinport@2.73
Desert Eagle | Hand Cannon (Minimal Wear)@364.99@346.7405@430.0@378.4@shadowpay@skinport@13.41
Desert Eagle | Night Heist (Field-Tested)@6.83@6.4885@10.56@9.2928@shadowpay@skinport@2.46
Desert Eagle | Pilot (Minimal Wear)@94.65@89.9175@111.29@97.9352@shadowpay@skinport@3.29
Desert Eagle | Sunset Storm 弐 (Field-Tested)@299.96@284.962@602.06@529.8127999999999@shadowpay@skinport@229.85
Desert Eagle | Urban DDPAT (Factory New)@18.0@17.099999999999998@31.15@27.412@shadowpay@skinport@9.41
Dual Berettas | Anodized Navy (Factory New)@1.4@1.3299999999999998@4.79@4.2152@shadowpay@skinport@2.82
Dual Berettas | Black Limba (Minimal Wear)@7.3@6.935@24.09@21.1992@shadowpay@skinport@13.9
Dual Berettas | Demolition (Well-Worn)@4.83@4.5885@8.76@7.7088@shadowpay@skinport@2.88
Dual Berettas | Dezastre (Factory New)@5.63@5.3485@10.56@9.2928@shadowpay@skinport@3.66
Dual Berettas | Dualing Dragons (Factory New)@1.55@1.4725@4.26@3.7488@shadowpay@skinport@2.2
Dual Berettas | Duelist (Factory New)@150.0@142.5@178.05@156.684@shadowpay@skinport@6.68
Dual Berettas | Hemoglobin (Factory New)@10.22@9.709@15.0@13.2@shadowpay@skinport@2.98
Dual Berettas | Switch Board (Factory New)@1.85@1.7575@5.09@4.4792@shadowpay@skinport@2.63
Dual Berettas | Twin Turbo (Battle-Scarred)@2.37@2.2515@5.45@4.796@shadowpay@skinport@2.43
Dual Berettas | Twin Turbo (Factory New)@12.78@12.140999999999998@22.26@19.588800000000003@shadowpay@skinport@6.81
Dust II Pin@31.94@30.343@39.29@34.5752@shadowpay@skinport@2.64
FAMAS | Afterimage (Factory New)@67.0@63.65@105.72@93.0336@shadowpay@skinport@26.03
FAMAS | Afterimage (Minimal Wear)@36.32@34.504@47.08@41.4304@shadowpay@skinport@5.11
FAMAS | Eye of Athena (Factory New)@12.54@11.912999999999998@16.69@14.6872@shadowpay@skinport@2.15
FAMAS | Meltdown (Factory New)@26.44@25.118@34.49@30.3512@shadowpay@skinport@3.91
FAMAS | Prime Conspiracy (Factory New)@70.48@66.956@84.76@74.5888@shadowpay@skinport@4.11
FAMAS | Prime Conspiracy (Field-Tested)@81.66@77.577@97.13@85.4744@shadowpay@skinport@3.81
FAMAS | Rapid Eye Movement (Factory New)@9.54@9.063@20.02@17.6176@shadowpay@skinport@8.08
FAMAS | Styx (Minimal Wear)@5.2@4.94@16.14@14.2032@shadowpay@skinport@9.0
FAMAS | ZX Spectron (Factory New)@6.19@5.8805000000000005@10.0@8.8@shadowpay@skinport@2.61
Five-SeveN | Fowl Play (Well-Worn)@2.1@1.995@5.56@4.892799999999999@shadowpay@skinport@2.79
Five-SeveN | Hyper Beast (Battle-Scarred)@22.0@20.9@27.81@24.4728@shadowpay@skinport@2.47
Five-SeveN | Jungle (Minimal Wear)@3.85@3.6575@11.47@10.0936@shadowpay@skinport@6.24
Five-SeveN | Neon Kimono (Field-Tested)@240.0@228.0@303.72@267.27360000000004@shadowpay@skinport@27.27
Five-SeveN | Nitro (Factory New)@29.0@27.55@71.07@62.5416@shadowpay@skinport@33.54
G3SG1 | Chronos (Factory New)@380.09@361.0855@1391.11@1224.1768@shadowpay@skinport@844.09
G3SG1 | Violet Murano (Minimal Wear)@22.82@21.679@28.92@25.4496@shadowpay@skinport@2.63
Galil AR | Aqua Terrace (Minimal Wear)@121.43@115.3585@178.06@156.6928@shadowpay@skinport@35.26
Galil AR | Cerberus (Field-Tested)@13.6@12.92@18.23@16.0424@shadowpay@skinport@2.44
Galil AR | Chromatic Aberration (Factory New)@8.52@8.094@12.12@10.6656@shadowpay@skinport@2.15
Galil AR | Dusk Ruins (Factory New)@11.99@11.3905@17.8@15.664@shadowpay@skinport@3.67
Galil AR | Phoenix Blacklight (Minimal Wear)@34.11@32.4045@66.76@58.7488@shadowpay@skinport@24.64
Galil AR | Stone Cold (Factory New)@4.81@4.5695@10.02@8.8176@shadowpay@skinport@4.01
Galil AR | Tornado (Factory New)@5.3@5.034999999999999@13.82@12.1616@shadowpay@skinport@6.86
Galil AR | Urban Rubble (Factory New)@12.49@11.8655@17.32@15.2416@shadowpay@skinport@2.75
Glock-18 | Blue Fissure (Factory New)@14.24@13.528@20.02@17.6176@shadowpay@skinport@3.38
Glock-18 | Brass (Well-Worn)@11.9@11.305@22.25@19.58@shadowpay@skinport@7.68
Glock-18 | Franklin (Field-Tested)@41.57@39.4915@66.76@58.7488@shadowpay@skinport@17.18
Glock-18 | Pink DDPAT (Factory New)@152.93@145.2835@189.69@166.9272@shadowpay@skinport@14.0
Glock-18 | Ramese's Reach (Factory New)@23.99@22.7905@56.52@49.7376@shadowpay@skinport@25.75
Glock-18 | Reactor (Factory New)@15.4@14.63@24.72@21.7536@shadowpay@skinport@6.35
Glock-18 | Umbral Rabbit (Factory New)@2.58@2.451@5.55@4.884@shadowpay@skinport@2.3
M249 | Humidor (Factory New)@11.92@11.324@16.7@14.696@shadowpay@skinport@2.78
M249 | Shipping Forecast (Factory New)@13.77@13.081499999999998@21.13@18.5944@shadowpay@skinport@4.82
M4A1-S | Blue Phosphor (Minimal Wear)@612.22@581.609@723.38@636.5744@shadowpay@skinport@24.35
M4A1-S | Control Panel (Battle-Scarred)@9.2@8.739999999999998@15.57@13.7016@shadowpay@skinport@4.5
M4A1-S | Moss Quartz (Field-Tested)@17.71@16.8245@24.48@21.5424@shadowpay@skinport@3.83
M4A1-S | Moss Quartz (Minimal Wear)@18.6@17.67@25.3@22.264@shadowpay@skinport@3.66
M4A1-S | Welcome to the Jungle (Well-Worn)@847.0@804.65@1224.18@1077.2784@shadowpay@skinport@230.28
M4A4 | Eye of Horus (Battle-Scarred)@249.27@236.8065@295.61@260.1368@shadowpay@skinport@10.87
M4A4 | Neo-Noir (Well-Worn)@3.82@3.629@6.67@5.8696@shadowpay@skinport@2.05
M4A4 | Radiation Hazard (Battle-Scarred)@17.5@16.625@25.24@22.2112@shadowpay@skinport@4.71
M4A4 | Royal Paladin (Minimal Wear)@20.98@19.931@30.04@26.4352@shadowpay@skinport@5.46
M4A4 | Temukau (Well-Worn)@29.49@28.0155@37.28@32.806400000000004@shadowpay@skinport@3.32
M4A4 | The Coalition (Battle-Scarred)@8.31@7.8945@13.35@11.748@shadowpay@skinport@3.44
M4A4 | Zirka (Well-Worn)@40.73@38.69349999999999@166.93@146.8984@shadowpay@skinport@106.17
MAC-10 | Amber Fade (Minimal Wear)@9.9@9.405@16.9@14.871999999999998@shadowpay@skinport@4.97
MAC-10 | Heat (Factory New)@5.72@5.433999999999999@11.47@10.0936@shadowpay@skinport@4.37
MAC-10 | Indigo (Factory New)@11.0@10.45@23.09@20.3192@shadowpay@skinport@9.32
MAC-10 | Nuclear Garden (Factory New)@10.56@10.032@16.17@14.2296@shadowpay@skinport@3.67
MAC-10 | Red Filigree (Factory New)@115.0@109.25@173.22@152.4336@shadowpay@skinport@37.43
MAC-10 | Surfwood (Minimal Wear)@2.3@2.185@5.28@4.6464@shadowpay@skinport@2.35
MAG-7 | Bulldozer (Minimal Wear)@13.9@13.205@30.35@26.708@shadowpay@skinport@12.81
MAG-7 | Carbon Fiber (Minimal Wear)@1.83@1.7385@4.36@3.8368@shadowpay@skinport@2.01
MAG-7 | Core Breach (Minimal Wear)@2.59@2.4605@5.44@4.7872@shadowpay@skinport@2.2
MAG-7 | Hazard (Minimal Wear)@11.92@11.324@17.8@15.664@shadowpay@skinport@3.74
