name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Butterfly Knife | Ultraviolet (Field-Tested)@825.0@726.0@1099.99@1077.9902@skinport@csdeals@252.99
Chroma 2 Case Key@15.04@13.2352@30.0@29.4@skinport@csdeals@14.36
★ Classic Knife@410.65@361.372@499.99@489.9902@skinport@csdeals@79.34
★ Classic Knife | Boreal Forest (Field-Tested)@141.59@124.5992@159.95@156.75099999999998@skinport@csdeals@15.16
★ Classic Knife | Crimson Web (Field-Tested)@354.62@312.0656@408.01@399.8498@skinport@csdeals@45.23
★ Classic Knife | Fade (Factory New)@800.0@704.0@879.9@862.3019999999999@skinport@csdeals@62.3
Cmdr. Davida 'Goggles' Fernandez | SEAL Frogman@49.9@43.912@54.99@53.8902@skinport@csdeals@3.99
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@40.77@35.8776@44.99@44.0902@skinport@csdeals@3.32
Collectible Pins Capsule Series 1@12.1@10.648@22.0@21.56@skinport@csdeals@9.46
Cologne 2016 Dust II Souvenir Package@50.0@44.0@79.98@78.38040000000001@skinport@csdeals@28.38
CS20 Case Key@22.26@19.588800000000003@30.0@29.4@skinport@csdeals@7.14
CZ75-Auto | Army Sheen (Factory New)@2.1@1.848@5.0@4.9@skinport@csdeals@2.8
CZ75-Auto | Circaetus (Factory New)@0.31@0.2728@17.0@16.66@skinport@csdeals@16.35
CZ75-Auto | Distressed (Factory New)@0.28@0.2464@5.0@4.9@skinport@csdeals@4.62
CZ75-Auto | Eco (Factory New)@2.76@2.4288@18.0@17.64@skinport@csdeals@14.88
CZ75-Auto | Hexane (Factory New)@3.25@2.86@8.0@7.84@skinport@csdeals@4.59
CZ75-Auto | Midnight Palm (Factory New)@2.0@1.76@20.0@19.6@skinport@csdeals@17.6
CZ75-Auto | Midnight Palm (Field-Tested)@1.62@1.4256000000000002@15.0@14.7@skinport@csdeals@13.08
CZ75-Auto | Pole Position (Factory New)@1.55@1.364@20.0@19.6@skinport@csdeals@18.05
CZ75-Auto | Syndicate (Battle-Scarred)@1.89@1.6632@4.0@3.92@skinport@csdeals@2.03
CZ75-Auto | Tigris (Factory New)@2.1@1.848@12.0@11.76@skinport@csdeals@9.66
CZ75-Auto | Tuxedo (Factory New)@2.56@2.2528@16.0@15.68@skinport@csdeals@13.12
CZ75-Auto | Twist (Factory New)@2.37@2.0856@8.0@7.84@skinport@csdeals@5.47
