name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
StatTrak™ P250 | Hive (Minimal Wear)@3.97@3.7715@7.75@7.3625@skinwallet@shadowpay@3.39
StatTrak™ P250 | Muertos (Factory New)@19.99@18.9905@40.18@38.171@skinwallet@shadowpay@18.18
StatTrak™ P250 | Muertos (Minimal Wear)@11.35@10.7825@14.81@14.0695@skinwallet@shadowpay@2.72
StatTrak™ P250 | Steel Disruption (Factory New)@3.19@3.0305@5.68@5.396@skinwallet@shadowpay@2.21
StatTrak™ PP-Bizon | High Roller (Field-Tested)@3.71@3.5245@6.27@5.956499999999999@skinwallet@shadowpay@2.25
StatTrak™ PP-Bizon | Water Sigil (Field-Tested)@2.44@2.318@5.0@4.75@skinwallet@shadowpay@2.31
StatTrak™ SG 553 | Dragon Tech (Battle-Scarred)@0.84@0.7979999999999999@5.58@5.301@skinwallet@shadowpay@4.46
StatTrak™ SG 553 | Dragon Tech (Field-Tested)@0.86@0.817@7.43@7.0585@skinwallet@shadowpay@6.2
StatTrak™ SG 553 | Wave Spray (Field-Tested)@4.07@3.8665@7.54@7.162999999999999@skinwallet@shadowpay@3.09
StatTrak™ Tec-9 | Bamboozle (Factory New)@2.55@2.4225@5.25@4.9875@skinwallet@shadowpay@2.44
StatTrak™ UMP-45 | Gold Bismuth (Minimal Wear)@4.35@4.132499999999999@7.48@7.106@skinwallet@shadowpay@2.76
StatTrak™ USP-S | Guardian (Factory New)@9.21@8.749500000000001@12.23@11.6185@skinwallet@shadowpay@2.41
StatTrak™ USP-S | Overgrowth (Minimal Wear)@80.71@76.6745@92.04@87.438@skinwallet@shadowpay@6.73
StatTrak™ USP-S | Stainless (Minimal Wear)@22.08@20.976@36.54@34.713@skinwallet@shadowpay@12.63
StatTrak™ XM1014 | Tranquility (Minimal Wear)@18.08@17.176@26.32@25.004@skinwallet@shadowpay@6.92
Sticker Capsule 2@17.71@16.8245@20.79@19.7505@skinwallet@shadowpay@2.04
Sticker | Calyx (Foil) | London 2018@31.81@30.2195@69.15@65.6925@skinwallet@shadowpay@33.88
Sticker | gob b (Foil) | London 2018@10.3@9.785@30.0@28.5@skinwallet@shadowpay@18.2
Sticker | k0nfig | Krakow 2017@1.61@1.5295@6.66@6.327@skinwallet@shadowpay@4.72
Sticker | mousesports | Krakow 2017@2.0@1.9@6.88@6.536@skinwallet@shadowpay@4.54
Sticker | PGL | Krakow 2017@0.99@0.9405@4.56@4.332@skinwallet@shadowpay@3.34
Sticker | ScreaM | Cologne 2015@6.81@6.469499999999999@10.19@9.6805@skinwallet@shadowpay@2.87
Tec-9 | Cut Out (Factory New)@5.27@5.006499999999999@10.38@9.861@skinwallet@shadowpay@4.59
Tec-9 | Safety Net (Factory New)@0.64@0.608@3.02@2.869@skinwallet@shadowpay@2.23
