name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Blueberries' Buckshot | NSWC SEAL@3.03@2.8785@6.12@5.3856@skinwallet@skinport@2.36
★ Hand Wraps | Duct Tape (Field-Tested)@50.7@48.165@62.99@55.4312@skinwallet@skinport@4.73
★ Huntsman Knife | Night (Field-Tested)@123.77@117.5815@148.4@130.592@skinwallet@skinport@6.82
★ Huntsman Knife | Slaughter (Factory New)@340.17@323.1615@430.87@379.1656@skinwallet@skinport@39.0
★ Hydra Gloves | Case Hardened (Battle-Scarred)@52.19@49.5805@65.94@58.0272@skinwallet@skinport@5.84
★ Hydra Gloves | Emerald (Battle-Scarred)@45.73@43.44349999999999@55.63@48.9544@skinwallet@skinport@3.22
★ M9 Bayonet | Black Laminate (Field-Tested)@694.96@660.212@899.0@791.12@skinwallet@skinport@96.16
★ Moto Gloves | Smoke Out (Field-Tested)@159.29@151.32549999999998@186.95@164.516@skinwallet@skinport@5.23
★ Moto Gloves | Transport (Minimal Wear)@147.23@139.86849999999998@193.64@170.4032@skinwallet@skinport@23.17
★ Navaja Knife | Crimson Web (Field-Tested)@93.93@89.2335@110.0@96.8@skinwallet@skinport@2.87
★ Navaja Knife | Tiger Tooth (Factory New)@137.88@130.986@164.15@144.452@skinwallet@skinport@6.57
★ Navaja Knife | Ultraviolet (Field-Tested)@73.42@69.749@86.79@76.3752@skinwallet@skinport@2.96
★ Paracord Knife | Boreal Forest (Field-Tested)@95.07@90.3165@114.63@100.8744@skinwallet@skinport@5.8
★ Paracord Knife | Night Stripe (Battle-Scarred)@100.71@95.6745@139.71@122.9448@skinwallet@skinport@22.23
★ Shadow Daggers | Autotronic (Minimal Wear)@107.25@101.8875@125.75@110.66@skinwallet@skinport@3.41
★ Shadow Daggers | Crimson Web (Field-Tested)@114.06@108.357@150.0@132.0@skinwallet@skinport@17.94
★ Shadow Daggers | Gamma Doppler (Factory New)@173.41@164.7395@208.56@183.5328@skinwallet@skinport@10.12
★ Shadow Daggers | Ultraviolet (Field-Tested)@88.34@83.923@104.17@91.6696@skinwallet@skinport@3.33
