name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Bowie Knife | Autotronic (Field-Tested)@191.42@168.4496@204.76@194.522@skinport@shadowpay@3.1
★ Bowie Knife | Autotronic (Minimal Wear)@233.71@205.6648@251.65@239.0675@skinport@shadowpay@5.36
★ Bowie Knife | Black Laminate (Battle-Scarred)@144.68@127.3184@159.0@151.04999999999998@skinport@shadowpay@6.37
★ Bowie Knife | Black Laminate (Field-Tested)@127.98@112.6224@153.36@145.692@skinport@shadowpay@17.71
★ Bowie Knife | Blue Steel (Field-Tested)@146.52@128.9376@174.89@166.14549999999997@skinport@shadowpay@19.63
★ Bowie Knife | Blue Steel (Minimal Wear)@150.23@132.20239999999998@192.99@183.3405@skinport@shadowpay@33.11
★ Bowie Knife | Boreal Forest (Field-Tested)@122.42@107.7296@144.02@136.81900000000002@skinport@shadowpay@14.4
★ Bowie Knife | Boreal Forest (Minimal Wear)@127.97@112.6136@170.0@161.5@skinport@shadowpay@33.53
★ Bowie Knife | Bright Water (Minimal Wear)@138.6@121.968@160.58@152.55100000000002@skinport@shadowpay@13.95
★ Bowie Knife | Case Hardened (Battle-Scarred)@244.82@215.4416@349.9@332.405@skinport@shadowpay@87.58
★ Bowie Knife | Damascus Steel (Factory New)@209.23@184.1224@299.0@284.05@skinport@shadowpay@74.82
★ Bowie Knife | Damascus Steel (Minimal Wear)@175.0@154.0@196.94@187.093@skinport@shadowpay@12.09
★ Bowie Knife | Damascus Steel (Well-Worn)@160.0@140.8@180.0@171.0@skinport@shadowpay@11.0
★ Bowie Knife | Doppler (Factory New)@356.11@313.3768@410.0@389.5@skinport@shadowpay@33.39
★ Bowie Knife | Forest DDPAT (Field-Tested)@117.97@103.8136@126.97@120.6215@skinport@shadowpay@2.65
★ Bowie Knife | Freehand (Factory New)@192.59@169.4792@274.99@261.2405@skinport@shadowpay@68.65
★ Bowie Knife | Freehand (Field-Tested)@145.76@128.2688@157.9@150.005@skinport@shadowpay@4.25
★ Bowie Knife | Freehand (Minimal Wear)@171.92@151.28959999999998@201.18@191.121@skinport@shadowpay@19.2
★ Bowie Knife | Freehand (Well-Worn)@160.41@141.1608@172.77@164.1315@skinport@shadowpay@3.72
★ Bowie Knife | Lore (Battle-Scarred)@183.63@161.5944@215.1@204.345@skinport@shadowpay@20.72
★ Bowie Knife | Lore (Factory New)@667.73@587.6024@792.0@752.4@skinport@shadowpay@84.67
★ Bowie Knife | Lore (Well-Worn)@236.2@207.856@255.0@242.25@skinport@shadowpay@6.05
★ Bowie Knife | Marble Fade (Minimal Wear)@411.71@362.3048@490.0@465.5@skinport@shadowpay@53.79
★ Bowie Knife | Scorched (Battle-Scarred)@107.94@94.9872@180.81@171.7695@skinport@shadowpay@63.83
★ Bowie Knife | Scorched (Well-Worn)@95.53@84.0664@255.0@242.25@skinport@shadowpay@146.72
★ Bowie Knife | Slaughter (Factory New)@338.31@297.7128@653.3@620.6349999999999@skinport@shadowpay@282.32
★ Bowie Knife | Slaughter (Field-Tested)@306.66@269.86080000000004@356.96@339.112@skinport@shadowpay@32.45
★ Bowie Knife | Slaughter (Minimal Wear)@321.0@282.48@400.0@380.0@skinport@shadowpay@59.0
★ Bowie Knife | Stained (Battle-Scarred)@125.31@110.2728@162.49@154.3655@skinport@shadowpay@29.06
★ Bowie Knife | Stained (Field-Tested)@139.1@122.408@268.44@255.018@skinport@shadowpay@115.92
★ Bowie Knife | Tiger Tooth (Factory New)@298.76@262.9088@324.44@308.218@skinport@shadowpay@9.46
★ Bowie Knife | Tiger Tooth (Minimal Wear)@300.93@264.8184@410.0@389.5@skinport@shadowpay@88.57
★ Bowie Knife | Ultraviolet (Minimal Wear)@164.73@144.9624@194.84@185.098@skinport@shadowpay@20.37
★ Bowie Knife | Urban Masked (Field-Tested)@110.16@96.9408@138.0@131.1@skinport@shadowpay@20.94
★ Broken Fang Gloves | Jade (Battle-Scarred)@94.32@83.0016@107.29@101.9255@skinport@shadowpay@7.61
★ Broken Fang Gloves | Jade (Minimal Wear)@280.44@246.7872@349.99@332.4905@skinport@shadowpay@52.05
★ Broken Fang Gloves | Jade (Well-Worn)@111.28@97.9264@127.61@121.2295@skinport@shadowpay@9.95
★ Broken Fang Gloves | Needle Point (Battle-Scarred)@51.29@45.1352@62.91@59.76449999999999@skinport@shadowpay@8.47
★ Broken Fang Gloves | Needle Point (Field-Tested)@55.9@49.192@66.3@62.98499999999999@skinport@shadowpay@7.08
★ Broken Fang Gloves | Needle Point (Minimal Wear)@107.36@94.4768@115.63@109.8485@skinport@shadowpay@2.49
★ Broken Fang Gloves | Unhinged (Battle-Scarred)@54.97@48.3736@64.01@60.8095@skinport@shadowpay@5.84
★ Broken Fang Gloves | Unhinged (Minimal Wear)@126.89@111.6632@136.09@129.28549999999998@skinport@shadowpay@2.4
★ Broken Fang Gloves | Yellow-banded (Field-Tested)@82.9@72.95200000000001@91.99@87.39049999999999@skinport@shadowpay@4.49
★ Broken Fang Gloves | Yellow-banded (Minimal Wear)@169.69@149.3272@198.3@188.385@skinport@shadowpay@18.69
★ Butterfly Knife@1880.78@1655.0864@2099.99@1994.9905@skinport@shadowpay@114.21
★ Butterfly Knife | Autotronic (Factory New)@2514.15@2212.452@2700.0@2565.0@skinport@shadowpay@50.85
★ Butterfly Knife | Autotronic (Field-Tested)@1344.16@1182.8608000000002@1457.41@1384.5395@skinport@shadowpay@40.38
★ Butterfly Knife | Black Laminate (Battle-Scarred)@1001.6@881.408@1238.49@1176.5655@skinport@shadowpay@174.97
★ Butterfly Knife | Black Laminate (Field-Tested)@1114.0@980.32@1235.0@1173.25@skinport@shadowpay@59.25
★ Butterfly Knife | Black Laminate (Well-Worn)@1016.06@894.1328@1129.79@1073.3004999999998@skinport@shadowpay@57.24
★ Butterfly Knife | Blue Steel (Battle-Scarred)@1000.0@880.0@1105.0@1049.75@skinport@shadowpay@49.75
★ Butterfly Knife | Blue Steel (Field-Tested)@874.99@769.9912@950.0@902.5@skinport@shadowpay@27.51
★ Butterfly Knife | Blue Steel (Minimal Wear)@1080.0@950.4@1140.0@1083.0@skinport@shadowpay@3.0
★ Butterfly Knife | Blue Steel (Well-Worn)@944.84@831.4592@1200.0@1140.0@skinport@shadowpay@195.16
★ Butterfly Knife | Boreal Forest (Field-Tested)@585.22@514.9936@618.96@588.0120000000001@skinport@shadowpay@2.79
★ Butterfly Knife | Bright Water (Factory New)@1100.15@968.132@1390.0@1320.5@skinport@shadowpay@220.35
★ Butterfly Knife | Case Hardened (Field-Tested)@885.25@779.02@975.0@926.25@skinport@shadowpay@41.0
★ Butterfly Knife | Case Hardened (Well-Worn)@800.0@704.0@865.11@821.8545@skinport@shadowpay@21.85
★ Butterfly Knife | Crimson Web (Battle-Scarred)@817.96@719.8048@887.91@843.5144999999999@skinport@shadowpay@25.55
★ Butterfly Knife | Crimson Web (Field-Tested)@975.0@858.0@1110.52@1054.994@skinport@shadowpay@79.99
★ Butterfly Knife | Damascus Steel (Factory New)@1087.63@957.1144@1702.75@1617.6125@skinport@shadowpay@529.98
★ Butterfly Knife | Fade (Factory New)@3168.02@2787.8576@3750.0@3562.5@skinport@shadowpay@394.48
★ Butterfly Knife | Forest DDPAT (Minimal Wear)@735.25@647.02@998.5@948.575@skinport@shadowpay@213.33
★ Butterfly Knife | Forest DDPAT (Well-Worn)@591.22@520.2736@900.0@855.0@skinport@shadowpay@263.78
★ Butterfly Knife | Freehand (Factory New)@1163.94@1024.2672@1334.52@1267.794@skinport@shadowpay@103.85
★ Butterfly Knife | Freehand (Minimal Wear)@1101.95@969.716@1217.65@1156.7675@skinport@shadowpay@54.82
