name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
Desert Eagle | Conspiracy (Factory New)@7.43@7.0585@19.99@19.5902@shadowpay@csdeals@12.16
Desert Eagle | Directive (Factory New)@12.9@12.255@25.0@24.5@shadowpay@csdeals@11.6
Desert Eagle | Emerald Jörmungandr (Minimal Wear)@307.78@292.391@385.0@377.3@shadowpay@csdeals@69.52
Desert Eagle | Fennec Fox (Battle-Scarred)@360.0@342.0@500.0@490.0@shadowpay@csdeals@130.0
Desert Eagle | Fennec Fox (Field-Tested)@349.58@332.10099999999994@399.9@391.902@shadowpay@csdeals@42.32
Desert Eagle | Golden Koi (Factory New)@80.0@76.0@99.09@97.1082@shadowpay@csdeals@17.11
Desert Eagle | Hypnotic (Factory New)@136.54@129.713@149.99@146.99020000000002@shadowpay@csdeals@10.45
Desert Eagle | Kumicho Dragon (Factory New)@33.06@31.407@36.42@35.6916@shadowpay@csdeals@2.63
Desert Eagle | Midnight Storm (Factory New)@26.37@25.0515@30.99@30.3702@shadowpay@csdeals@4.0
Desert Eagle | Midnight Storm (Minimal Wear)@18.99@18.0405@23.99@23.5102@shadowpay@csdeals@4.52
Desert Eagle | Mudder (Factory New)@1.54@1.463@6.0@5.88@shadowpay@csdeals@4.34
Desert Eagle | Ocean Drive (Field-Tested)@19.46@18.487@22.27@21.8246@shadowpay@csdeals@2.36
Desert Eagle | Ocean Drive (Minimal Wear)@45.88@43.586@54.99@53.8902@shadowpay@csdeals@8.01
Desert Eagle | Printstream (Battle-Scarred)@33.9@32.205@37.99@37.2302@shadowpay@csdeals@3.33
Desert Eagle | Printstream (Factory New)@111.82@106.22899999999998@129.99@127.3902@shadowpay@csdeals@15.57
Desert Eagle | Printstream (Minimal Wear)@61.27@58.2065@65.99@64.6702@shadowpay@csdeals@3.4
Desert Eagle | Sunset Storm 弐 (Factory New)@294.99@280.2405@400.81@392.7938@shadowpay@csdeals@97.8
Desert Eagle | Sunset Storm 弐 (Field-Tested)@299.96@284.962@380.0@372.4@shadowpay@csdeals@72.44
Desert Eagle | Urban DDPAT (Minimal Wear)@1.89@1.7955@4.0@3.92@shadowpay@csdeals@2.03
Dual Berettas | Balance (Factory New)@2.32@2.204@13.0@12.74@shadowpay@csdeals@10.42
Dual Berettas | Black Limba (Factory New)@25.29@24.0255@60.0@58.8@shadowpay@csdeals@33.51
Dual Berettas | Briar (Minimal Wear)@1.48@1.406@4.0@3.92@shadowpay@csdeals@2.44
