name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
StatTrak™ XM1014 | Incinegator (Field-Tested)@3.27@3.1065@7.0@6.859999999999999@shadowpay@csdeals@3.59
StatTrak™ XM1014 | Scumbria (Factory New)@2.41@2.2895@5.0@4.9@shadowpay@csdeals@2.49
StatTrak™ XM1014 | XOXO (Field-Tested)@3.03@2.8785@8.0@7.84@shadowpay@csdeals@4.81
StatTrak™ XM1014 | Zombie Offensive (Minimal Wear)@0.93@0.8835@3.0@2.94@shadowpay@csdeals@2.01
Sticker | 00 Nation (Glitter) | Rio 2022@1.58@1.501@3.74@3.6652@shadowpay@csdeals@2.09
Sticker | 00 Nation (Holo) | Rio 2022@9.64@9.158@23.49@23.0202@shadowpay@csdeals@13.38
Sticker | Assassin@0.74@0.703@3.0@2.94@shadowpay@csdeals@2.2
Sticker | Astralis (Glitter) | Antwerp 2022@0.65@0.6174999999999999@4.0@3.92@shadowpay@csdeals@3.27
Sticker | Astralis (Holo) | Berlin 2019@0.5@0.475@3.0@2.94@shadowpay@csdeals@2.44
Sticker | Astralis | Cologne 2016@6.79@6.4505@16.0@15.68@shadowpay@csdeals@8.89
Sticker | Avangar (Holo) | Katowice 2019@3.73@3.5435@6.0@5.88@shadowpay@csdeals@2.15
Sticker | Bad News Eagles (Holo) | Rio 2022@1.47@1.3965@8.0@7.84@shadowpay@csdeals@6.37
Sticker | BIG (Gold) | Antwerp 2022@4.01@3.8095@9.0@8.82@shadowpay@csdeals@4.81
Sticker | BIG (Holo) | Antwerp 2022@0.91@0.8644999999999999@5.0@4.9@shadowpay@csdeals@3.99
Sticker | BIG (Holo) | Stockholm 2021@6.14@5.832999999999999@25.0@24.5@shadowpay@csdeals@18.36
Sticker | blameF (Gold) | Antwerp 2022@16.29@15.475499999999998@25.0@24.5@shadowpay@csdeals@8.21
Sticker | Boombl4 (Gold) | Stockholm 2021@2.57@2.4415@7.0@6.859999999999999@shadowpay@csdeals@4.29
Sticker | Brollan (Holo) | Antwerp 2022@0.61@0.5795@3.0@2.94@shadowpay@csdeals@2.33
Sticker | Cloud9 (Glitter) | Antwerp 2022@3.65@3.4675@11.0@10.78@shadowpay@csdeals@7.13
Sticker | Cloud9 (Holo) | Rio 2022@10.0@9.5@32.0@31.36@shadowpay@csdeals@21.36
Sticker | Coiled Strike (Holo)@1.47@1.3965@4.0@3.92@shadowpay@csdeals@2.45
Sticker | coldzera | Cluj-Napoca 2015@8.71@8.2745@11.0@10.78@shadowpay@csdeals@2.07
Sticker | coldzera | Cologne 2016@2.51@2.3845@7.0@6.859999999999999@shadowpay@csdeals@4.35
Sticker | Complexity Gaming (Glitter) | Antwerp 2022@0.51@0.4845@5.0@4.9@shadowpay@csdeals@4.39
Sticker | Crown (Foil)@782.1@742.995@1199.99@1175.9902@shadowpay@csdeals@393.89
Sticker | DD | London 2018@2.37@2.2515@5.0@4.9@shadowpay@csdeals@2.53
Sticker | Dragon Lore Surf Ava (Foil)@10.21@9.6995@22.0@21.56@shadowpay@csdeals@11.35
Sticker | dupreeh (Gold) | Berlin 2019@20.0@19.0@22.77@22.3146@shadowpay@csdeals@2.31
Sticker | Edward | Cologne 2015@1.7@1.615@5.0@4.9@shadowpay@csdeals@3.2
Sticker | electroNic (Gold) | Stockholm 2021@8.73@8.2935@19.0@18.62@shadowpay@csdeals@9.89
Sticker | ENCE (Holo) | Katowice 2019@1.98@1.881@7.0@6.859999999999999@shadowpay@csdeals@4.88
Sticker | Epsilon eSports (Holo) | Cologne 2014@39.99@37.9905@53.69@52.6162@shadowpay@csdeals@12.63
Sticker | es3tag (Gold) | Antwerp 2022@2.7@2.565@13.0@12.74@shadowpay@csdeals@10.04
Sticker | ESL | Cologne 2016@1.62@1.539@4.0@3.92@shadowpay@csdeals@2.3
Sticker | ESL One | Katowice 2015@9.0@8.549999999999999@12.0@11.76@shadowpay@csdeals@2.76
Sticker | ESPADA (Gold) | 2020 RMR@2.85@2.7075@5.0@4.9@shadowpay@csdeals@2.05
Sticker | Eternal Fire (Glitter) | Antwerp 2022@1.54@1.463@6.0@5.88@shadowpay@csdeals@4.34
Sticker | Evil Geniuses (Gold) | 2020 RMR@3.17@3.0115@6.0@5.88@shadowpay@csdeals@2.71
Sticker | Evil Geniuses (Holo) | Rio 2022@0.81@0.7695@3.0@2.94@shadowpay@csdeals@2.13
Sticker | FACEIT (Holo) | London 2018@4.46@4.237@9.0@8.82@shadowpay@csdeals@4.36
Sticker | fame (Holo) | Rio 2022@0.76@0.722@3.0@2.94@shadowpay@csdeals@2.18
Sticker | Fancy Koi (Foil)@3.3@3.135@11.0@10.78@shadowpay@csdeals@7.48
Sticker | FaZe (Gold) | 2020 RMR@4.84@4.598@8.3@8.134@shadowpay@csdeals@3.29
Sticker | FaZe Clan (Glitter) | Antwerp 2022@0.4@0.38@3.2@3.136@shadowpay@csdeals@2.74
Sticker | FaZe Clan | Katowice 2019@2.48@2.356@7.0@6.859999999999999@shadowpay@csdeals@4.38
Sticker | fer (Holo) | Antwerp 2022@2.63@2.4985@11.0@10.78@shadowpay@csdeals@8.15
Sticker | Flame Tier6 (Holo)@20.92@19.874@50.0@49.0@shadowpay@csdeals@28.08
Sticker | flamie | Krakow 2017@2.4@2.28@6.0@5.88@shadowpay@csdeals@3.48
Sticker | Flipsid3 Tactics (Holo) | Katowice 2015@379.0@360.05@2000.0@1960.0@shadowpay@csdeals@1581.0
Sticker | Flipsid3 Tactics | MLG Columbus 2016@7.25@6.887499999999999@13.0@12.74@shadowpay@csdeals@5.49
Sticker | flusha | Krakow 2017@1.42@1.349@5.0@4.9@shadowpay@csdeals@3.48
Sticker | Fnatic (Gold) | 2020 RMR@2.74@2.603@10.0@9.8@shadowpay@csdeals@7.06
Sticker | Fnatic (Holo) | Katowice 2015@158.0@150.1@178.13@174.5674@shadowpay@csdeals@16.57
Sticker | Fnatic (Holo) | Rio 2022@1.97@1.8715@6.0@5.88@shadowpay@csdeals@3.91
Sticker | Fnatic | Cologne 2016@2.22@2.109@6.0@5.88@shadowpay@csdeals@3.66
Sticker | FURIA (Glitter) | Antwerp 2022@0.28@0.266@3.0@2.94@shadowpay@csdeals@2.66
Sticker | FURIA (Gold) | 2020 RMR@3.63@3.4485@7.99@7.8302@shadowpay@csdeals@4.2
Sticker | FURIA (Holo) | Katowice 2019@30.87@29.3265@49.69@48.6962@shadowpay@csdeals@17.83
Sticker | FURIA (Holo) | Rio 2022@2.45@2.3275@17.0@16.66@shadowpay@csdeals@14.21
Sticker | FURIA | Katowice 2019@1.44@1.368@4.0@3.92@shadowpay@csdeals@2.48
Sticker | G2 Esports (Glitter) | Antwerp 2022@0.78@0.741@5.2@5.096@shadowpay@csdeals@4.32
Sticker | G2 Esports (Holo) | Antwerp 2022@7.34@6.973@50.0@49.0@shadowpay@csdeals@41.66
Sticker | G2 Esports (Holo) | Stockholm 2021@4.27@4.0565@11.04@10.8192@shadowpay@csdeals@6.55
Sticker | G2 Esports | Katowice 2019@1.98@1.881@10.0@9.8@shadowpay@csdeals@7.82
Sticker | Gambit Gaming (Holo) | Stockholm 2021@2.85@2.7075@14.0@13.72@shadowpay@csdeals@10.87
Sticker | Gambit Gaming | Atlanta 2017@1.52@1.444@4.0@3.92@shadowpay@csdeals@2.4
Sticker | gob b (Foil) | London 2018@30.0@28.5@48.0@47.04@shadowpay@csdeals@17.04
Sticker | Grayhound Gaming (Foil) | Berlin 2019@1.64@1.5579999999999998@4.0@3.92@shadowpay@csdeals@2.28
Sticker | Great Wave (Holo)@10.15@9.6425@12.86@12.602799999999998@shadowpay@csdeals@2.45
Sticker | Happy | Cluj-Napoca 2015@2.75@2.6125@5.0@4.9@shadowpay@csdeals@2.15
Sticker | HellRaisers (Holo) | Berlin 2019@1.86@1.767@4.0@3.92@shadowpay@csdeals@2.06
Sticker | HellRaisers (Holo) | Cologne 2014@34.0@32.3@44.99@44.0902@shadowpay@csdeals@10.09
Sticker | Heresy (Holo)@1.7@1.615@4.0@3.92@shadowpay@csdeals@2.22
Sticker | Heroic (Gold) | 2020 RMR@2.28@2.166@5.56@5.448799999999999@shadowpay@csdeals@3.17
Sticker | Heroic (Holo) | Antwerp 2022@2.4@2.28@20.0@19.6@shadowpay@csdeals@17.2
Sticker | iBUYPOWER (Holo) | Cologne 2014@225.58@214.301@295.0@289.1@shadowpay@csdeals@63.52
Sticker | IHC Esports (Holo) | Rio 2022@1.1@1.045@4.0@3.92@shadowpay@csdeals@2.82
Sticker | imoRR (Holo) | Antwerp 2022@0.96@0.912@5.0@4.9@shadowpay@csdeals@3.94
Sticker | Imperial Esports (Holo) | Antwerp 2022@17.49@16.615499999999997@20.99@20.5702@shadowpay@csdeals@3.08
Sticker | Imperial Esports (Holo) | Rio 2022@2.87@2.7265@11.0@10.78@shadowpay@csdeals@7.91
Sticker | Ivette (Holo)@3.79@3.6005@8.0@7.84@shadowpay@csdeals@4.05
Sticker | Jack (Holo)@2.63@2.4985@6.0@5.88@shadowpay@csdeals@3.25
Sticker | JACKZ (Holo) | Stockholm 2021@0.99@0.9405@6.0@5.88@shadowpay@csdeals@4.89
Sticker | k0nfig (Gold) | Antwerp 2022@4.67@4.4365@15.0@14.7@shadowpay@csdeals@10.03
Sticker | Keyd Stars (Holo) | Katowice 2015@285.0@270.75@1300.0@1274.0@shadowpay@csdeals@989.0
Sticker | Kill Count (Holo)@7.11@6.7545@18.0@17.64@shadowpay@csdeals@10.53
Sticker | Last Vance (Gold)@3.95@3.7525@11.0@10.78@shadowpay@csdeals@6.83
Sticker | LGB eSports (Holo) | Katowice 2015@450.0@427.5@668.01@654.6498@shadowpay@csdeals@204.65
Sticker | LNZ (Holo) | Stockholm 2021@0.7@0.6649999999999999@3.0@2.94@shadowpay@csdeals@2.24
Sticker | m0NESY (Glitter) | Antwerp 2022@1.14@1.083@12.0@11.76@shadowpay@csdeals@10.62
Sticker | MAJ3R (Foil) | London 2018@1.88@1.7859999999999998@5.0@4.9@shadowpay@csdeals@3.02
Sticker | mousesports | MLG Columbus 2016@4.8@4.56@7.0@6.859999999999999@shadowpay@csdeals@2.06
Sticker | Movistar Riders (Holo) | Stockholm 2021@17.0@16.15@45.0@44.1@shadowpay@csdeals@27.1
Sticker | MTS GameGod Wolf (Holo) | Cologne 2014@32.0@30.4@55.69@54.5762@shadowpay@csdeals@22.58
Sticker | Natus Vincere | Cologne 2015@2.73@2.5935@7.0@6.859999999999999@shadowpay@csdeals@4.13
Sticker | NEO | Krakow 2017@2.29@2.1755@5.0@4.9@shadowpay@csdeals@2.61
Sticker | nexa (Holo) | Stockholm 2021@0.75@0.7124999999999999@3.0@2.94@shadowpay@csdeals@2.19
Sticker | NiKo (Glitter) | Antwerp 2022@0.66@0.627@3.3@3.234@shadowpay@csdeals@2.57
Sticker | NiKo (Gold) | Stockholm 2021@56.5@53.675@79.99@78.3902@shadowpay@csdeals@21.89
Sticker | nin9 (Holo) | Antwerp 2022@1.85@1.7575@11.0@10.78@shadowpay@csdeals@8.93
Sticker | Ninjas in Pyjamas (Gold) | 2020 RMR@2.14@2.033@5.65@5.537@shadowpay@csdeals@3.4
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2014@2763.99@2625.7905@3000.0@2940.0@shadowpay@csdeals@176.01
Sticker | No Pats (Holo)@2.45@2.3275@5.0@4.9@shadowpay@csdeals@2.45
Sticker | paiN Gaming (Holo) | Stockholm 2021@7.77@7.381499999999999@13.8@13.524@shadowpay@csdeals@5.75
Sticker | pashaBiceps | Atlanta 2017@3.74@3.553@6.0@5.88@shadowpay@csdeals@2.14
Sticker | Pegasus (Holo)@2.4@2.28@5.0@4.9@shadowpay@csdeals@2.5
Sticker | Perfecto (Holo) | Antwerp 2022@5.32@5.054@13.0@12.74@shadowpay@csdeals@7.42
Sticker | Poorly Drawn SAS (Holo)@1.82@1.729@4.0@3.92@shadowpay@csdeals@2.1
Sticker | pyth (Foil) | MLG Columbus 2016@5.12@4.864@10.0@9.8@shadowpay@csdeals@4.68
Sticker | rain | Cologne 2016@20.6@19.57@37.0@36.26@shadowpay@csdeals@15.66
Sticker | Rekt (Holo)@1.58@1.501@4.0@3.92@shadowpay@csdeals@2.34
Sticker | Renegades (Gold) | 2020 RMR@2.25@2.1375@7.0@6.859999999999999@shadowpay@csdeals@4.61
Sticker | Renegades (Gold) | Antwerp 2022@3.38@3.211@8.0@7.84@shadowpay@csdeals@4.46
Sticker | Renegades (Holo) | Antwerp 2022@1.77@1.6815@6.0@5.88@shadowpay@csdeals@4.11
Sticker | Rising Skull@0.8@0.76@3.0@2.94@shadowpay@csdeals@2.14
Sticker | ropz | London 2018@1.82@1.729@4.0@3.92@shadowpay@csdeals@2.1
Sticker | Runtime (Holo)@7.92@7.524@13.9@13.622@shadowpay@csdeals@5.7
Sticker | RUSH | Boston 2018@2.05@1.9475@6.0@5.88@shadowpay@csdeals@3.83
Sticker | Rush 4x20 (Holo)@1.39@1.3204999999999998@4.0@3.92@shadowpay@csdeals@2.53
Sticker | s1mple (Holo) | Stockholm 2021@1.4@1.3299999999999998@9.0@8.82@shadowpay@csdeals@7.42
Sticker | saffee (Holo) | Rio 2022@0.74@0.703@3.0@2.94@shadowpay@csdeals@2.2
Sticker | sh1ro (Holo) | Stockholm 2021@1.35@1.2825@4.7@4.606@shadowpay@csdeals@3.26
Sticker | Shave Master@0.51@0.4845@3.0@2.94@shadowpay@csdeals@2.43
Sticker | Sherry (Holo)@3.23@3.0685@6.0@5.88@shadowpay@csdeals@2.65
Sticker | Stan (Holo)@3.27@3.1065@6.0@5.88@shadowpay@csdeals@2.61
Sticker | syrsoN (Gold) | Antwerp 2022@6.4@6.08@23.0@22.54@shadowpay@csdeals@16.14
Sticker | Tamara (Holo)@5.56@5.281999999999999@8.0@7.84@shadowpay@csdeals@2.28
Sticker | Team EnVyUs (Holo) | Atlanta 2017@56.76@53.922@90.0@88.2@shadowpay@csdeals@31.44
Sticker | Team EnVyUs (Holo) | Katowice 2015@103.82@98.629@111.33@109.1034@shadowpay@csdeals@5.28
Sticker | Team EnVyUs | Atlanta 2017@5.35@5.0825@11.0@10.78@shadowpay@csdeals@5.43
Sticker | Team EnVyUs | Cluj-Napoca 2015@2.45@2.3275@5.0@4.9@shadowpay@csdeals@2.45
Sticker | Team Liquid (Gold) | Antwerp 2022@8.82@8.379@23.0@22.54@shadowpay@csdeals@13.72
Sticker | Team Liquid (Holo) | Berlin 2019@0.41@0.3894999999999999@2.8@2.744@shadowpay@csdeals@2.33
Sticker | Team Liquid (Holo) | Stockholm 2021@4.63@4.398499999999999@20.0@19.6@shadowpay@csdeals@14.97
Sticker | Team Liquid | Atlanta 2017@11.75@11.1625@24.0@23.52@shadowpay@csdeals@11.77
Sticker | Team Liquid | MLG Columbus 2016@7.72@7.334@11.0@10.78@shadowpay@csdeals@3.06
Sticker | Team Spirit (Holo) | Stockholm 2021@4.36@4.142@24.0@23.52@shadowpay@csdeals@19.16
Sticker | Titan (Holo) | Cologne 2014@135.0@128.25@139.99@137.1902@shadowpay@csdeals@2.19
Sticker | Twistzz (Holo) | Rio 2022@2.46@2.337@23.0@22.54@shadowpay@csdeals@20.08
Sticker | TYLOO (Gold) | 2020 RMR@18.0@17.099999999999998@60.0@58.8@shadowpay@csdeals@40.8
Sticker | TYLOO (Holo) | 2020 RMR@0.84@0.7979999999999999@4.0@3.92@shadowpay@csdeals@3.08
Sticker | Tyloo | London 2018@0.73@0.6935@3.0@2.94@shadowpay@csdeals@2.21
Sticker | Viggo (Holo)@1.85@1.7575@4.0@3.92@shadowpay@csdeals@2.07
Sticker | Virtus.pro (Gold) | 2020 RMR@3.46@3.287@8.0@7.84@shadowpay@csdeals@4.38
Sticker | Virtus.Pro | Atlanta 2017@7.0@6.65@11.0@10.78@shadowpay@csdeals@3.78
Sticker | Virtus.Pro | Cologne 2015@3.19@3.0305@6.0@5.88@shadowpay@csdeals@2.69
Sticker | Vitality (Holo) | Stockholm 2021@3.8@3.61@11.44@11.2112@shadowpay@csdeals@7.41
Sticker | YEKINDAR (Holo) | Antwerp 2022@3.41@3.2395@11.0@10.78@shadowpay@csdeals@7.37
Sticker | yuurih (Holo) | Stockholm 2021@0.91@0.8644999999999999@4.0@3.92@shadowpay@csdeals@3.01
Sticker Capsule 2@20.79@19.7505@26.9@26.362@shadowpay@csdeals@5.57
Stockholm 2021 Challengers Patch Pack@12.42@11.799@14.99@14.6902@shadowpay@csdeals@2.27
Sustenance! Pin@5.57@5.2915@8.0@7.84@shadowpay@csdeals@2.27
Tec-9 | Avalanche (Factory New)@3.42@3.249@25.0@24.5@shadowpay@csdeals@21.08
Tec-9 | Brother (Factory New)@1.26@1.1969999999999998@4.0@3.92@shadowpay@csdeals@2.66
Tec-9 | Cut Out (Factory New)@10.38@9.861@40.0@39.2@shadowpay@csdeals@28.82
Tec-9 | Fubar (Minimal Wear)@0.83@0.7885@15.0@14.7@shadowpay@csdeals@13.87
Tec-9 | Fuel Injector (Field-Tested)@2.75@2.6125@6.0@5.88@shadowpay@csdeals@3.13
Tec-9 | Orange Murano (Minimal Wear)@5.59@5.310499999999999@10.0@9.8@shadowpay@csdeals@4.21
Tec-9 | Red Quartz (Factory New)@0.21@0.1994999999999999@12.0@11.76@shadowpay@csdeals@11.55
Tec-9 | Remote Control (Well-Worn)@2.34@2.223@4.6@4.508@shadowpay@csdeals@2.17
Tec-9 | Snek-9 (Factory New)@0.5@0.475@10.0@9.8@shadowpay@csdeals@9.3
Tec-9 | Toxic (Field-Tested)@3.61@3.4294999999999995@7.0@6.859999999999999@shadowpay@csdeals@3.25
Trapper Aggressor | Guerrilla Warfare@4.97@4.7215@7.99@7.8302@shadowpay@csdeals@2.86
UMP-45 | Briefing (Factory New)@0.26@0.247@12.0@11.76@shadowpay@csdeals@11.5
UMP-45 | Exposure (Factory New)@1.28@1.216@9.0@8.82@shadowpay@csdeals@7.54
UMP-45 | Plastique (Factory New)@1.75@1.6625@15.0@14.7@shadowpay@csdeals@12.95
UMP-45 | Primal Saber (Factory New)@10.99@10.4405@14.99@14.6902@shadowpay@csdeals@3.7
UMP-45 | Primal Saber (Field-Tested)@2.49@2.3655@4.7@4.606@shadowpay@csdeals@2.12
UMP-45 | Primal Saber (Minimal Wear)@4.79@4.5505@10.0@9.8@shadowpay@csdeals@5.01
USP-S | Blueprint (Factory New)@36.59@34.7605@59.99@58.7902@shadowpay@csdeals@22.2
USP-S | Blueprint (Minimal Wear)@9.3@8.835@11.74@11.5052@shadowpay@csdeals@2.21
USP-S | Kill Confirmed (Minimal Wear)@78.97@75.02149999999999@104.9@102.802@shadowpay@csdeals@23.83
USP-S | Lead Conduit (Factory New)@1.65@1.5675@6.0@5.88@shadowpay@csdeals@4.23
USP-S | Para Green (Field-Tested)@5.98@5.681@11.0@10.78@shadowpay@csdeals@4.8
USP-S | Printstream (Battle-Scarred)@35.86@34.067@49.99@48.9902@shadowpay@csdeals@13.13
USP-S | Printstream (Minimal Wear)@76.89@73.0455@94.64@92.7472@shadowpay@csdeals@15.86
USP-S | Stainless (Battle-Scarred)@3.31@3.1445@6.4@6.272@shadowpay@csdeals@2.96
USP-S | Stainless (Field-Tested)@3.26@3.0969999999999995@7.9@7.742@shadowpay@csdeals@4.48
USP-S | The Traitor (Well-Worn)@10.9@10.355@25.0@24.5@shadowpay@csdeals@13.6
USP-S | Whiteout (Well-Worn)@22.0@20.9@33.0@32.34@shadowpay@csdeals@10.34
Vortigaunt Pin@4.71@4.4745@7.0@6.859999999999999@shadowpay@csdeals@2.15
Vypa Sista of the Revolution | Guerrilla Warfare@16.52@15.694@20.99@20.5702@shadowpay@csdeals@4.05
Welcome to the Clutch Pin@3.44@3.268@7.0@6.859999999999999@shadowpay@csdeals@3.42
Wildfire Pin@3.82@3.629@7.0@6.859999999999999@shadowpay@csdeals@3.04
XM1014 | Banana Leaf (Field-Tested)@14.12@13.413999999999998@26.0@25.48@shadowpay@csdeals@11.36
XM1014 | Black Tie (Factory New)@1.71@1.6244999999999998@15.0@14.7@shadowpay@csdeals@12.99
XM1014 | Entombed (Factory New)@7.99@7.5905@13.3@13.034@shadowpay@csdeals@5.04
XM1014 | Heaven Guard (Factory New)@15.26@14.497@30.0@29.4@shadowpay@csdeals@14.14
XM1014 | Incinegator (Minimal Wear)@16.61@15.7795@40.0@39.2@shadowpay@csdeals@22.59
XM1014 | Quicksilver (Factory New)@0.3@0.285@4.0@3.92@shadowpay@csdeals@3.62
XM1014 | Scumbria (Factory New)@0.64@0.608@8.0@7.84@shadowpay@csdeals@7.2
XM1014 | Teclu Burner (Factory New)@1.88@1.7859999999999998@20.0@19.6@shadowpay@csdeals@17.72
XM1014 | Watchdog (Factory New)@1.89@1.7955@17.0@16.66@shadowpay@csdeals@14.77
XM1014 | XOXO (Minimal Wear)@3.1@2.945@8.0@7.84@shadowpay@csdeals@4.74
XM1014 | Ziggy (Minimal Wear)@0.53@0.5035@15.0@14.7@shadowpay@csdeals@14.17
